Characteristics of Influenza-Associated Hospitalizations (data downloaded on 3/7/2025),Medical Conditions Breakdown by Season (data downloaded on 3/7/2025),Influenza-Associated Hospitalizations by Virus Type Number,Influenza-Associated Hospitalizations by Virus Type Percent
PERCENT,,,
36.8,,,
26.6,,,
18.8,,,
2.2,,,
0.1,,,
15.5,,,
57.3,,,
42.7,,,
11.3,,,
88.7,,,
3.4,,,
96.6,,,
22.9,,,
77.1,,,
0.4,,,
99.6,,,
25,,,
75,,,
25,,,
75,,,
0.4,,,
99.6,,,
22.9,,,
77.1,,,
3.4,,,
96.6,,,
11.3,,,
88.7,,,
57.3,,,
42.7,,,
36.8,,,
26.6,,,
18.8,,,
2.2,,,
0.1,,,
15.5,,,
80.1,,,
19.9,,,
37.9,,,
24.7,,,
20.3,,,
3.9,,,
0.3,,,
12.8,,,
56.9,,,
43.1,,,
12.4,,,
87.6,,,
5.5,,,
94.5,,,
16.9,,,
83.1,,,
23.1,,,
76.9,,,
0.7,,,
99.3,,,
0.7,,,
99.3,,,
23.1,,,
76.9,,,
16.9,,,
83.1,,,
5.5,,,
94.5,,,
12.4,,,
87.6,,,
56.9,,,
43.1,,,
37.9,,,
24.7,,,
20.3,,,
3.9,,,
0.3,,,
12.8,,,
68.5,,,
31.5,,,
56.2,,,
43.8,,,
34.7,,,
22.8,,,
22.1,,,
4.1,,,
0.6,,,
15.7,,,
13.2,,,
86.8,,,
6.7,,,
93.3,,,
20.4,,,
79.6,,,
0.6,,,
99.4,,,
23.9,,,
76.1,,,
48.1,,,
51.9,,,
7.7,,,
92.3,,,
27,,,
73,,,
1.1,,,
98.9,,,
13.3,,,
86.7,,,
46,,,
54,,,
36,,,
38.2,,,
9.9,,,
1.4,,,
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",,,
14.5,,,
56.6,,,
20.1,,,
6.8,,,
1.4,,,
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",,,
15.1,,,
48.4,,,
51.6,,,
19.6,,,
80.4,,,
3.7,,,
96.3,,,
30.1,,,
69.9,,,
11.9,,,
88.1,,,
49.3,,,
50.7,,,
61.9,,,
38.1,,,
10.8,,,
89.2,,,
33.8,,,
66.2,,,
5.9,,,
94.1,,,
15.3,,,
84.7,,,
40.2,,,
59.8,,,
66.7,,,
11.6,,,
2.3,,,
1.8,,,
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",,,
17.5,,,
60.2,,,
15.9,,,
3.5,,,
2,,,
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",,,
18.4,,,
45.3,,,
54.7,,,
20.4,,,
79.6,,,
7.5,,,
92.5,,,
28.4,,,
71.6,,,
12.4,,,
87.6,,,
59.7,,,
40.3,,,
61.6,,,
38.4,,,
10.6,,,
89.4,,,
35,,,
65,,,
4.7,,,
95.3,,,
13.1,,,
86.9,,,
41.3,,,
58.8,,,
68.1,,,
11.9,,,
1.9,,,
1.6,,,
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",,,
16.6,,,
70.9,,,
6.9,,,
2,,,
2,,,
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",,,
18.2,,,
33.5,,,
66.5,,,
13.8,,,
86.2,,,
6.4,,,
93.6,,,
37.4,,,
62.6,,,
9.4,,,
90.6,,,
64.5,,,
35.5,,,
3,,,
97,,,
27.5,,,
72.5,,,
44.6,,,
55.4,,,
8.9,,,
91.1,,,
14.7,,,
85.3,,,
49.4,,,
20.5,,,
11.2,,,
2.5,,,
0.2,,,
16.1,,,
47.8,,,
52.2,,,
27,,,
9.5,,,
14.7,,,
11.3,,,
37.4,,,
35.2,,,
22,,,
28.9,,,
2.7,,,
0.4,,,
10.9,,,
60.4,,,
39.6,,,
13.6,,,
86.4,,,
6.7,,,
93.3,,,
25.8,,,
74.2,,,
19.3,,,
80.7,,,
0.4,,,
99.6,,,
26.8,,,
73.2,,,
1.2,,,
98.8,,,
44.3,,,
55.7,,,
7.7,,,
92.3,,,
12.6,,,
87.4,,,
48.2,,,
30.2,,,
9,,,
2,,,
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",,,
10.6,,,
41.5,,,
58.5,,,
48.4,,,
51.6,,,
55.5,,,
20.6,,,
5.8,,,
3.2,,,
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",,,
14.8,,,
21.3,,,
78.7,,,
12.3,,,
87.7,,,
49,,,
51,,,
1.9,,,
98.1,,,
32.9,,,
67.1,,,
42.8,,,
57.2,,,
4.5,,,
95.5,,,
56.9,,,
43.1,,,
10.7,,,
89.3,,,
17.7,,,
82.3,,,
66.8,,,
11,,,
4.5,,,
4.2,,,
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",,,
13.5,,,
38.9,,,
61.1,,,
44.2,,,
55.8,,,
64.2,,,
18.3,,,
5,,,
5,,,
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",,,
7.5,,,
19.2,,,
80.8,,,
10,,,
90,,,
48.3,,,
51.7,,,
2.5,,,
97.5,,,
40,,,
60,,,
39.9,,,
60.1,,,
4.7,,,
95.3,,,
62.8,,,
37.2,,,
12.8,,,
87.2,,,
17.6,,,
82.4,,,
68.9,,,
6.8,,,
4.1,,,
3.4,,,
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",,,
16.9,,,
43.2,,,
56.8,,,
24.1,,,
75.9,,,
66.7,,,
8,,,
4.6,,,
4.6,,,
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",,,
16.1,,,
16.1,,,
83.9,,,
8,,,
92,,,
58.6,,,
41.4,,,
6.9,,,
93.1,,,
51.7,,,
48.3,,,
31.6,,,
68.4,,,
8.7,,,
91.3,,,
1.9,,,
98.1,,,
38.2,,,
61.8,,,
15.5,,,
84.5,,,
49.3,,,
50.7,,,
48.9,,,
20.3,,,
15.5,,,
3.1,,,
0.2,,,
12.1,,,
30.7,,,
10.2,,,
19.2,,,
12.1,,,
27.8,,,
55.3,,,
44.7,,,
38.1,,,
24.4,,,
22.4,,,
5.1,,,
0.6,,,
9.4,,,
11.6,,,
88.4,,,
3.7,,,
96.3,,,
21.3,,,
78.7,,,
0.1,,,
99.9,,,
17.2,,,
82.8,,,
50.4,,,
49.6,,,
0.8,,,
99.2,,,
