episode,reward,loss
1,295.5820992710069,40.87233043670654
2,290.12084157485515,39.323728642463685
3,272.62825043220073,34.60671384811401
4,274.87210155744106,35.1804674577713
5,283.4201753260568,37.051405878067015
6,287.0893159629777,38.172017936706546
7,280.5346278967336,36.32674812316895
8,273.97303984779865,34.82954814910889
9,283.90995146054775,37.36957978725433
10,276.5476329745725,35.47837592601776
11,274.584456843324,35.14555478096008
12,273.88384999055415,34.876334385871886
13,286.36258275527507,37.70770792007446
14,277.7713556708768,35.703940591812135
15,282.2462350251153,36.812735357284545
16,285.2568043889478,37.409088668823244
17,286.9611436249688,37.97898090362549
18,286.03191660065204,38.22582761287689
19,290.2613502861932,39.249358496665955
20,276.7214548708871,35.007595767974856
21,282.2750745834783,36.80736037731171
22,282.0519936205819,36.75894593238831
23,278.84505824465305,35.835946707725526
24,291.466464263387,38.21034937858582
25,292.55161867756397,37.98326850891113
26,289.6679049851373,36.707064065933224
27,278.19740058202296,31.969052639007568
28,284.52383042592555,32.19399027466774
29,282.6450152816251,31.734438946242445
30,289.8931701602414,31.12477740302682
31,280.0225454689935,25.18820208735764
32,289.35449586529285,20.28891350924998
33,284.65075598377734,20.904653422861593
34,285.0237298132852,14.0936445922032
35,285.44998945016414,10.299293637573719
36,272.6439605774358,8.396107250899076
37,286.81974203605205,11.840183092844672
38,282.1520434441045,14.703364203415113
39,289.5021018506959,12.74941706167534
40,295.7442709924653,15.000267798379063
41,295.82924262899905,39.13680398799479
42,281.3052073242143,8.480790058543207
43,275.58102534431964,7.042223985764431
44,282.50976742524654,7.880685915668728
45,269.44770888704807,5.239991962453351
46,279.70670000929385,9.84771681592916
47,280.0254479171708,7.7817631839215755
48,287.1776381256059,7.560938224978745
49,276.5562689425424,7.385951191261411
50,284.67243523616344,9.87844415073283
51,285.3136325003579,13.291793398760491
52,290.44033245462924,6.5348094569332895
53,289.0242773415521,5.771036533345469
54,284.20025275368243,7.559470730535686
55,280.91996402759105,6.682322895606048
56,281.9028477491811,12.201292512845248
57,282.50869185943156,5.629431368188234
58,280.5422908188775,5.8758650337858125
59,289.34612454194576,7.9569213211257015
60,292.99287663120776,14.356478592124768
61,287.6085144402459,9.34208190877922
62,282.5615535797551,9.436011734008789
63,284.1805191459134,6.863174492120743
64,286.05654777307063,7.499735772786662
65,288.15587179083377,6.5070742008276286
66,288.27699930686504,7.2599869050830605
67,289.5051001133397,6.036142671187409
68,279.5746111990884,7.187781959653367
69,291.18933619279414,5.4327726562973115
70,286.27721683401614,4.907433084286749
71,289.2753146709874,4.170339571470395
72,282.3229371132329,8.156336893849074
73,285.94295890349895,6.412770315445959
74,289.79499520082027,6.143171640969813
75,276.33222476858646,5.913288786397316
76,274.6034674467519,4.329879112658091
77,288.5379460575059,4.615898299701512
78,281.4834487559274,7.953508063480258
79,281.06717975158244,5.422131649106741
80,283.74073953647166,11.474657266456633
81,283.498213452287,5.790907692173496
82,285.1559966923669,6.506275329738855
83,279.8973484458402,5.359470950067044
84,283.3620076002553,6.017224547080696
85,283.4463934721425,3.8038193887891247
86,285.0442527355626,6.337148140445351
87,282.6961377384141,5.527545436639339
88,277.85535739082843,5.358918482665904
89,279.06228096503764,4.925105895027518
90,289.46429060120136,4.573785797730088
91,285.5213013412431,4.231939692664891
92,296.764420283027,5.841394255980849
93,289.82828454393893,4.095022454969585
94,302.37878413219005,4.314166288096458
95,286.63929001707584,6.009180608391762
96,281.2038244428113,4.386739129573106
97,286.2358632804826,3.6310293256025763
98,275.7792319478467,8.324416865487583
99,296.911673408933,4.613310821321793
100,277.04173789639026,2.647708559241146
101,290.5676905931905,4.477373837106861
102,280.957078945823,4.525186176919378
103,280.22495941538364,6.614067433681339
104,291.3457352044061,8.828547753621825
105,287.91056276578456,3.80613858117722
106,286.1125749470666,3.931199514903128
107,277.3059442760423,3.392967323530465
108,280.7375246407464,2.675608297009021
109,288.4774762513116,3.7572434108983725
110,281.71520696301013,3.934884146787226
111,290.90287776011974,3.6326772448280824
112,294.36669797915965,10.181920146010816
113,285.1449157418683,2.659338522818871
114,287.48431028146297,2.6227008781209586
115,287.9477533819154,3.3142513172701
116,285.6422235192731,1.720650187865831
117,287.4692094447091,2.4593658878700806
118,277.1094709755853,2.4809430496022107
119,277.84519405383617,1.7645595847908409
120,278.93545792717487,2.2229066281951964
121,290.3943108143285,3.092095793001354
122,289.2326632263139,3.016968806409277
123,283.81240637321025,2.8590990570234136
124,283.7510484578088,2.945023480113596
125,283.7370802583173,1.792700205151923
126,276.19447739142925,1.5139402078511193
127,285.6787550570443,3.433180731725879
128,281.37919293064624,1.3028167121263687
129,294.10244823712856,2.043458833862096
130,283.78817440290004,1.2682222998747603
131,273.1058471025899,3.175919061587192
132,294.63100151438266,6.248898093015887
133,287.04201759118587,6.565128761027008
134,277.0310977222398,3.5874780556745827
135,290.12011514324695,6.166956349113025
136,282.3888325812295,4.839777598697692
137,283.3517611147836,1.4403500474570319
138,282.8761105360463,1.2439331464329735
139,288.76865179557353,1.115422346703708
140,282.4276293935254,1.603928762357682
141,280.9666609885171,1.0602335337828845
142,289.0995943667367,1.131545109236613
143,289.72931639570743,1.5362630713218823
144,279.08328400272876,1.496966293337755
145,283.8613763572648,0.971997384284623
146,286.8419847013429,1.4614514440577477
147,281.88843966741115,0.901302093602717
148,279.2634716751054,0.8772982954885811
149,284.1758409263566,1.3600361935701222
150,287.388022554107,1.3213448282238096
151,288.5716688754037,0.40617271622177215
152,281.8472631396726,1.199101769165136
153,274.6214960636571,0.7974196368129924
154,278.63155857939273,1.3449791501136497
155,289.68781174439937,1.350524227116257
156,279.6779067935422,1.9343790603242814
157,290.8620485784486,7.593846773975529
158,280.15868694800884,2.391740000792779
159,288.24119941610843,1.0375050383107736
160,272.5777682783082,5.417039844691754
161,281.67597995419055,11.991217129123397
162,283.34365264791995,3.8077848106343297
163,283.821667146869,0.8390649302909151
164,291.77665160316974,0.726893803300336
165,293.40935201663524,0.608385857520625
166,287.94074044842273,0.756193049759604
167,280.82843871135265,1.1577745471335947
168,283.9798492314294,1.1718642634013667
169,290.3028027834371,1.1402119933720678
170,281.83682085294276,1.18284533677157
171,276.03486121911556,3.3667237735399977
172,285.0041788937524,1.5631496639549731
173,282.7166934432462,0.7950241597555577
174,282.6047362508252,1.296777314255014
175,283.33869339246303,1.2989488256722688
176,288.11990545410663,1.6784909090492874
177,287.43578748125583,8.640778824519366
178,279.83096839208156,8.8137434742786
179,291.8304920317605,0.8947084558056667
180,291.98131040949374,1.5617735041305423
181,282.69716934580356,1.7343087965529411
182,278.9618972064927,0.7906006686482578
183,288.277798009105,0.7966258995805401
184,291.5187169732526,0.6507911466574297
185,286.05222047585994,0.5218620702903718
186,277.0521065713838,0.8699148172140121
187,297.71474362630397,1.1371337580587715
188,286.04526208061725,6.761135228984058
189,274.5718525471166,1.2822676628362388
190,288.88374747056514,0.9018619421357289
191,285.7701112451032,0.9611781638907269
192,283.04340348858386,0.8559656234038994
193,290.2082459749654,2.5124479505140336
194,295.20369188208133,0.8548114933678881
195,281.7192603768781,0.7317698733741418
196,282.41898999828845,0.40748098610085437
197,289.17582408804446,0.41395804243627937
198,283.5028299810365,0.2828913783561438
199,276.8860247852281,0.6862633039848879
200,280.25806964654475,1.3757045772625134
201,289.6447530509904,7.983792274850421
202,277.0695024849847,12.414515003226697
203,285.4388667764142,3.030582876187982
204,279.57887293118984,0.7690318364324048
205,279.4871685029939,0.6976746680401266
206,288.05794717092067,0.6916055177524686
207,279.20015917439014,0.6857590345898643
208,286.66707189101726,0.6925488307140768
209,282.2969199838117,0.9437087685475126
210,279.6070248009637,0.6451319549663458
211,281.63514883536845,0.6981022348580882
212,285.84434644598514,0.6683501945994794
213,285.34424395579845,1.2218194061750547
214,283.73078034538776,5.831120878299698
