episode,reward,loss
1,201.73408963903785,30.61309675179422
2,198.62283616885543,28.93184327977011
3,198.53103179112077,28.695851547122
4,199.103354614228,26.541716246008875
5,191.59033871814609,24.42316080823541
6,203.15771944448352,28.645285965390503
7,204.8253949098289,29.77325254485011
8,185.67626456543803,26.114158091265708
9,186.69419782236218,25.312125938348473
10,190.79136149957776,25.97678655743599
11,199.14721604809165,25.933820111751558
12,192.75056236609817,25.86440817385912
13,189.87529742345214,27.127022302523255
14,190.81886222586036,26.7475796244503
15,196.5339771322906,27.49663085258231
16,191.41084894910455,26.652055694907904
17,193.3330567292869,27.574640093792695
18,192.1138039790094,25.523838483989238
19,198.11974968388677,26.677794184088707
20,199.59591999277472,27.12802883785218
21,199.76167797669768,27.796251320838927
22,196.90510193631053,28.139487530447077
23,201.95057659968734,28.479472143650057
24,203.36857259646058,27.99627824306488
25,189.45288065448403,24.248704722970725
26,183.59880243614316,24.492497754395007
27,204.36719239875674,27.91037444417749
28,198.6217969097197,27.01799354583025
29,199.94282397255301,25.648099146783352
30,202.35296735540032,26.335204518437386
31,199.81357149407268,26.49934584800154
32,203.1956840865314,26.356914408802986
33,194.12835955247283,25.001508729457854
34,194.96958165988326,26.57769902765751
35,200.3799813874066,26.502392909303307
36,202.66627119854093,26.492411312125622
37,198.7955850996077,25.39798663930036
38,202.84211989864707,29.82271784067154
39,196.25906087830663,24.65010650895536
40,187.06520326808095,24.8008702288568
41,196.23835523799062,26.02130995720625
42,203.00667186453938,27.67945629363414
43,193.1949968598783,24.631003390951083
44,185.78313006088138,24.36276793718338
45,192.56947783753276,26.337678305767476
46,203.64374335482717,27.336813309309072
47,193.39429676905274,24.4133090788126
48,195.66312394663692,24.60307742107194
49,197.73116033896804,25.73309617295861
50,189.84198822453618,26.254873973000795
51,181.43383096531034,22.6969468145445
52,188.59342220798135,23.262328735738993
53,191.38868936523795,23.66410394385457
54,194.4724495075643,25.13307989940047
55,188.06748506054282,24.81153984233737
56,196.26533311232924,26.40570554691367
57,205.06498592719436,28.850565578257665
58,189.9543333388865,24.55306769385934
59,188.00372121110559,24.373241509459913
60,191.88384582474828,24.775867697040912
61,195.47310708090663,24.24905995197594
62,191.05651058629155,23.75126772414311
63,200.12749137356877,25.892055544555188
64,192.74653493240476,24.256692108660936
65,194.54610918089747,24.283950677625835
66,192.91804352030158,24.484570268739482
67,194.90231976285577,25.570884962868877
68,184.2730548493564,23.225079586803915
69,193.0702648870647,24.27870384775102
70,189.29751108959317,25.86338848147541
71,197.59668701514602,27.497776884809138
72,204.82036152109504,27.449805092811584
73,201.516061861068,26.55412035524845
74,187.4150206334889,23.189269775748254
75,200.1242272220552,26.168370964620262
76,202.94545928016305,26.385329060554504
77,192.32650993391871,24.310858031734824
78,191.2683950997889,24.97921640098095
79,195.89035281911492,25.330767868235707
80,209.12536078318954,27.9504202824831
81,192.0621304474771,24.459180620834232
82,196.28894711658359,24.547096375077963
83,186.94524044170976,23.49156574043678
84,189.67160374298692,24.28783171703195
85,195.16093453392386,24.869579654078812
86,197.202507507056,24.870508321523666
87,192.12144016101956,24.165492346379907
88,196.92707104608417,25.529977911412715
89,198.75427896901965,25.00546356568113
90,201.8345959596336,26.202130725383757
91,199.39818981662393,25.461668527550646
92,193.75767176225781,24.245352316722276
93,183.14601631090045,22.319912890046837
94,194.27659369632602,24.063966795857997
95,197.16023207828403,24.917639186691957
96,207.5696817971766,26.987084387377546
97,195.63933653756976,24.597199119598955
98,206.34681202098727,26.803320847139695
99,201.25296118482947,25.544243380986153
100,195.29910111054778,24.392267274737243
101,200.37476276233792,25.221381973698737
102,197.58714540675282,25.10240771017037
103,205.61152373626828,26.20294107347727
104,195.61331751570106,24.48977428161772
105,210.5219388268888,27.573339203399374
106,182.79212933406234,22.009499255679547
107,194.87691270932555,24.126108646113426
108,186.9222259260714,22.566841479605063
109,202.08934926614165,26.04037188399583
110,197.6690084002912,24.764443583735265
111,190.18594889715314,23.451567913028413
112,189.26314124837518,23.8779716162011
113,193.4063184224069,24.556457280009052
114,191.3742148987949,23.706620121225715
115,193.12620728835464,23.979686942509872
116,211.02083906903863,27.390369640886785
117,205.86106884106994,26.346760047338904
118,179.44819528236985,21.240154913924634
119,190.21822480484843,22.424774908050896
120,193.5755065716803,23.957752440869807
121,182.57502955570817,21.739600329957902
122,189.54628689214587,23.283431773437187
123,194.5147375576198,24.289108695462346
124,200.43805289641023,25.669335785589645
125,204.4227612875402,26.19059406340122
126,201.40053084120154,25.56303173614666
127,194.71133134141564,23.769425141178072
128,183.87638667598367,21.63407663302551
129,189.40091064199805,23.285631558833412
130,183.39727054908872,21.886706774742343
131,192.16535126790404,23.243644309318626
132,200.6201785095036,25.07949302665889
133,194.67057139799,24.70417302325368
134,196.25287053361535,24.79991882480681
135,199.95308545604348,25.851926662586628
136,197.4352734349668,24.951171682626008
137,200.324318703264,25.655571273714305
138,184.24794537946582,21.915452865958216
139,176.05105463042855,21.239920927248896
140,190.23118758574128,23.545509014520793
141,193.5017211548984,23.900891983751208
142,194.08875651285052,24.20923072218895
143,192.87285999581218,23.925574509985744
144,196.9011512361467,24.634075263440607
145,202.77534436807036,25.384376733186656
146,194.46613949909806,23.90056037071161
147,193.22584084048867,23.744734365581536
