episode,reward
200,234.23879670817405
201,226.63180820364505
202,249.10271034855396
203,233.079699520953
204,226.9860684769228
205,232.74110309500247
206,236.84612560737878
207,230.00154479313642
208,243.7028673859313
209,241.79051696229726
210,249.52666903752834
211,241.3154648663476
212,242.3220431478694
213,239.07796759624034
214,227.25686748791486
215,232.09859905857593
216,236.85135739762336
217,237.0291886376217
218,226.02271836716682
219,235.01738805044442
220,230.1848643841222
221,234.0346843795851
222,242.8172045024112
223,236.66547026950866
224,226.13875180203468
225,228.06975032854825
226,242.89539579022676
227,228.51785939652473
228,224.05560281593353
229,240.46779565233737
230,229.61279480624944
231,228.50213405210525
232,236.4809027807787
233,229.8284921022132
234,247.32263046968728
235,243.19717491883785
236,233.38386247772723
237,227.69619489926845
238,238.2850508587435
239,223.291185204871
240,234.74083108920604
241,224.32382074464113
242,244.98023999948055
243,235.21582171786577
244,234.84338869620115
245,230.34923899639398
246,249.99707797635347
247,237.72706180531532
248,236.96568339783698
249,229.57189544755965
250,250.90025809872895
251,238.77719362545758
252,239.52283023763448
253,226.67012277711183
254,228.84125348646194
255,240.829901647754
256,225.17407002020627
257,219.31877438444644
258,243.91347056347877
259,220.2529169889167
260,239.05073786247522
261,241.8738359855488
262,235.14200465846807
263,238.12993914354593
264,224.50130725372583
265,228.10499117244035
266,238.8076671110466
267,227.05345704127103
268,230.24817670602351
269,242.90711176861078
270,234.38219345081598
271,228.24697354156524
272,252.42164573539048
273,227.91702461708337
274,254.6621702061966
275,231.4677668856457
276,235.26092687714845
277,229.8443413125351
278,245.99649174977094
279,239.36815542448312
280,240.31710733938962
281,237.93200155813247
282,243.6042527453974
283,234.0993265779689
284,240.83689331728965
285,226.99219213891774
286,229.24828731734306
287,240.174708542414
288,244.38106380868703
289,225.22348676342517
290,212.39736734796315
291,243.07822493184358
292,218.13671080488712
293,237.30035724211484
294,241.1733647705987
295,226.82351311016828
296,235.69598170835525
297,245.66000663209707
298,229.87391557265073
299,231.52228706795722
300,241.08274151105434
