episode,reward
1,233.71274427045137
2,222.38503305334598
3,227.4396665515378
4,228.30012227315456
5,243.27741525042802
6,227.7793545247987
7,240.84000884462148
8,246.06792648602277
9,244.14819395262748
10,228.8155434699729
11,235.80631203670055
12,245.47315956372768
13,239.45064475107938
14,236.18225460965186
15,235.44711413700134
16,226.37023666966707
17,226.4784373017028
18,224.37427225429565
19,244.7171672033146
20,244.27036529500037
21,232.1608818517998
22,231.6929692896083
23,239.16364394593984
24,235.3960860716179
25,239.15416638273746
26,240.6263947011903
27,225.42386007029563
28,232.57156898546964
29,229.9951650844887
30,248.08170716185123
31,229.08439513016492
32,239.21353647578508
33,210.18638484645635
34,238.8535122172907
35,241.53180899936706
36,238.95194674748927
37,232.70354903955013
38,243.8065174119547
39,240.75696287769824
40,245.67154587525874
41,243.30787501949817
42,241.38029984850436
43,234.6270081596449
44,241.4741882281378
45,236.9772984208539
46,240.48720669467002
47,244.4993474157527
48,233.4705501096323
49,226.98108941037208
50,224.5910153882578
51,236.46755801606923
52,232.58689215499908
53,233.43283625412732
54,250.3436494069174
55,229.065230098553
56,237.13206396717578
57,230.2843014569953
58,234.62524554599077
59,247.45627958793193
60,229.77990854997188
61,233.25937032420188
62,244.1469975458458
63,239.58431448508054
64,232.16393389273435
65,242.67113119829446
66,241.08676564414054
67,225.82515852618963
68,233.51349561382085
69,248.9136390509084
70,248.4669214533642
71,235.44659208972007
72,246.5182773368433
73,245.1577573614195
74,240.10173980612308
75,235.166300480254
76,233.95379800815135
77,246.99968833196908
78,241.82176731247455
79,234.42948735225946
80,235.54451682139188
81,244.4632637547329
82,239.02015788573772
83,228.09093365538865
84,241.92101837415248
85,241.09560074377805
86,227.85169638413936
87,246.61855058837682
88,233.8338019149378
89,232.2532699452713
90,242.08379685599357
91,225.63110159058124
92,246.1293216543272
93,235.9167185993865
94,233.7787286909297
95,241.4732405738905
96,239.47110940236598
97,232.53096791822463
98,240.07754062581807
99,232.0606471495703
100,240.27683976013213
101,244.4550693081692
102,220.24165124911815
103,228.93623725045472
104,233.06737541873008
105,234.89700112957507
106,223.00838938821107
107,237.73164796549827
108,239.03456634748727
109,230.43791588861495
110,246.61252945382148
111,235.87746890354902
112,245.85949487704784
113,236.99804148543626
114,237.61953613627702
115,227.18874209094793
116,220.84561770875007
117,220.64567260164768
118,231.20537141431123
119,244.1419130982831
120,242.09354662615806
121,239.28738306928426
122,231.99415428657085
123,226.8588413419202
124,237.4385881992057
125,238.64117939490825
126,230.43188871163875
127,245.7709403904155
128,253.60926669556648
129,236.94281683582813
130,230.6425646962598
131,237.03235473949462
132,237.52536485809833
133,235.3961794571951
134,236.06085101980716
135,238.58425938803703
136,235.8716424005106
137,241.32093491125852
138,239.0072615193203
139,223.84581044036895
140,224.1030702488497
141,229.63461263198406
142,247.10540725011379
143,242.54939412791282
144,225.65922161657363
145,228.251005676575
146,236.27296276111156
147,229.13198413420469
148,234.6084712939337
149,245.35503510851413
150,226.2674878211692
151,241.2728894399479
152,233.54450285900384
153,239.56879134941846
154,230.56318334955722
155,233.44538655597717
156,236.95196863729507
157,235.945323725231
158,237.14765041787177
159,240.953592245467
160,245.42384531069547
161,236.57950865197927
162,235.5482803704217
163,240.93822273332626
164,254.1895694406703
165,241.07300717104226
166,233.8392798351124
167,243.3130911635235
168,243.44390959013253
169,240.5357840405777
170,242.4805051209405
171,224.979134243913
172,225.36808852571994
173,232.17440021503717
174,230.7970063732937
175,244.57879344094545
176,221.57117505837232
177,250.67903007287532
178,242.68201791960746
179,239.60954332817346
180,231.82632062304765
181,235.85489175934345
182,244.15541334915906
183,232.96518680173904
184,238.45452984143049
185,245.9023543568328
186,242.5232198284939
187,231.1531435744837
188,245.21265039313585
189,232.3675272213295
190,235.42685810942203
191,238.9118142100051
192,237.25975762773305
193,237.8213522033766
194,239.6303934948519
195,229.37771480251104
196,234.71577448118478
197,241.54592403490096
198,241.27732991892844
199,231.94307467062026
