AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
2017-18,20,6.6,6.1,,5.9,5.9,43,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""955""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""998""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""50""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""622""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,21,6.4,6.0,,5.8,5.8,26,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""951""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""977""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""50""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""932""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,22,6.3,5.9,,5.7,5.7,26,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""905""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""931""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""51""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""047""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,23,6.2,5.8,,5.6,5.6,14,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""908""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""922""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""52""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""003""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,24,6.1,5.7,,5.7,5.7,14,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""935""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""949""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""51""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""390""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,25,6.0,5.6,,5.6,5.6,7,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""866""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""873""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""51""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""047""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,26,5.9,5.5,,5.7,5.7,9,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""868""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""877""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""50""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""857""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,27,5.8,5.4,,5.4,5.4,10,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""769""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""779""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""51""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""684""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,28,5.8,5.3,,5.4,5.4,5,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""781""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""786""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""51""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""193""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,29,5.7,5.3,,5.4,5.4,8,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""706""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""714""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""50""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""612""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,30,5.7,5.2,,5.4,5.4,12,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""700""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""712""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""50""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""278""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,31,5.7,5.2,,5.3,5.3,4,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""661""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""665""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""50""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""639""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,32,5.7,5.2,,5.3,5.3,10,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""673""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""683""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""50""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""967""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,33,5.7,5.2,,5.2,5.2,5,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""616""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""621""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""50""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""301""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,34,5.7,5.2,,5.4,5.4,10,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""713""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""723""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""50""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""463""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,35,5.7,5.3,,5.2,5.2,6,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""630""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""636""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""50""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""612""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,36,5.8,5.3,,5.5,5.5,6,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""749""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""755""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""50""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""300""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,37,5.8,5.4,,5.4,5.4,8,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""761""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""769""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""51""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""083""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
