Influenza-Associated Pediatric Deaths by HHS Region (data downloaded on 3/7/2025)
COUNT
5
9
9
7
4
0
1
2
10
0
3
8
5
3
1
4
2
3
17
0
1
8
3
14
14
18
2
4
8
5
9
9
8
14
14
14
2
4
10
4
4
21
11
16
18
16
1
10
37
3
7
20
15
54
36
78
8
16
44
10
4
11
12
19
21
19
2
9
25
2
0
2
2
4
3
8
1
0
16
1
9
22
10
24
32
32
4
13
24
1
3
12
10
20
10
33
4
3
15
1
3
7
11
22
30
33
7
11
21
3
5
7
6
18
14
12
3
5
23
2
5
8
9
26
23
11
8
2
12
6
5
11
18
46
33
32
5
5
28
5
7
11
12
21
25
22
11
10
19
5
3
16
15
41
29
35
10
6
30
14
2
3
3
9
13
7
1
6
3
2
11
16
12
36
33
25
11
6
27
9
7
22
13
53
30
26
15
12
26
3
8
14
6
14
19
10
5
3
17
2
