"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
29,66,11.1765,3.41176,7.76471
67,7,5.81304,5.26316,0.549882
98,13,5.4869,4.84429,0.64261
17,4,1.62917,1.31885,0.310318
281,96,9.90541,7.38308,2.52233
175,21,5.38166,4.80505,0.576606
76,48,4.07761,2.49918,1.57843
18,2,2.6178,2.35602,0.26178
68,68,7.3079,3.65395,3.65395
193,87,12.7737,8.80474,3.96898
42,66,12,4.66667,7.33333
102,4,8.37283,8.05687,0.315956
160,21,8.49765,7.51174,0.985915
28,6,2.70916,2.23108,0.478088
448,140,14.3555,10.9375,3.41797
296,42,8.18997,7.17228,1.01769
90,83,5.53777,2.88092,2.65685
27,6,3.76712,3.08219,0.684932
121,108,11.1762,5.90532,5.27086
245,103,14.665,10.3245,4.3405
55,74,13.3679,5.69948,7.66839
85,28,8.05991,6.06277,1.99715
254,38,12.0066,10.4441,1.5625
46,11,3.88548,3.13565,0.74983
574,152,15.8481,12.53,3.31805
422,50,10.6667,9.53672,1.12994
202,143,9.75127,5.70944,4.04183
40,2,4.01914,3.82775,0.191388
177,127,14.0936,8.20584,5.88781
382,195,20.6958,13.7016,6.99426
83,118,18.2894,7.55232,10.737
161,24,14.1114,12.2807,1.83066
387,43,16.431,14.7879,1.6431
84,37,7.9085,5.4902,2.4183
638,137,16.166,13.3083,2.85774
687,80,14.9164,13.3606,1.55581
354,282,15.9759,8.89224,7.08365
65,10,6.62544,5.74205,0.883392
231,138,14.3023,8.95349,5.34884
436,229,22.5042,14.7547,7.74958
92,112,17.4957,7.89022,9.60549
260,26,16.5701,15.0637,1.50637
626,64,21.9396,19.9046,2.03498
201,28,12.5548,11.0197,1.53509
979,203,20.5102,16.9877,3.52247
1094,119,19.5866,17.6651,1.92152
412,261,16.1701,9.89909,6.27102
89,8,7.82889,7.18321,0.645682
262,154,15.8779,10,5.87786
388,285,22.0583,12.7171,9.3412
99,128,18.2623,7.9646,10.2977
332,69,20.0801,16.6249,3.45518
906,103,27.7732,24.9381,2.83512
271,48,15.2924,12.9914,2.30105
1036,243,20.6058,16.6908,3.91493
1474,171,23.297,20.8752,2.42175
496,359,19.2438,11.1636,8.08013
113,21,10.859,9.15721,1.70178
388,200,20.0272,13.2153,6.81199
351,277,21.3243,11.9185,9.40577
156,138,21.9731,11.6592,10.3139
565,102,26.8952,22.7823,4.1129
1055,197,30.1469,25.4033,4.74356
534,132,26.1381,20.9576,5.18053
1144,346,22.0251,16.9106,5.11456
1835,259,25.6461,22.474,3.17208
532,399,20.6843,11.8196,8.8647
158,28,13.1728,11.1898,1.983
442,193,21.5036,14.9678,6.53573
268,213,19.1329,10.6603,8.47255
146,149,22.8682,11.3178,11.5504
469,118,23.2291,18.5596,4.66957
870,213,27.8693,22.3881,5.48121
421,146,21.228,15.7619,5.46612
805,275,18.5249,13.8079,4.71698
1201,251,20.2907,16.7831,3.50755
436,326,18.2166,10.4231,7.79345
92,19,8.71956,7.22702,1.49254
414,143,19.5028,14.4958,5.007
181,179,13.9914,7.03459,6.95686
158,120,21.7527,12.3631,9.38967
398,128,21.3647,16.1657,5.19903
678,213,24.6201,18.7345,5.8856
373,155,20.9857,14.8251,6.16057
643,241,17.092,12.4323,4.65971
773,220,17.2606,13.4365,3.82409
364,265,17.5063,10.1308,7.37545
82,20,8.46473,6.80498,1.65975
329,134,17.9388,12.747,5.19179
137,131,13.016,6.65372,6.36231
142,145,23.8968,11.8235,12.0733
352,141,20.7143,14.7899,5.92437
458,205,20.1949,13.9507,6.24429
277,145,18.1897,11.9397,6.25
401,242,14.0639,8.77078,5.29309
570,168,14.611,11.2849,3.32607
360,291,17.6136,9.74026,7.87338
76,31,9.35315,6.64336,2.70979
253,101,16.0181,11.448,4.57014
100,71,9.61755,5.6243,3.99325
118,119,20.2737,10.0941,10.1796
184,132,16.0896,9.36864,6.72098
274,204,16.9684,9.72666,7.24175
147,125,14.7186,7.95455,6.76407
307,258,13.1487,7.14452,6.00419
374,156,11.6817,8.24333,3.4384
284,241,17.7425,9.59784,8.14464
49,28,8.20896,5.22388,2.98507
191,89,14.6444,9.98954,4.65481
65,68,7.91196,3.86675,4.04521
96,89,18.0312,9.35673,8.67446
142,154,16.9822,8.14687,8.83534
188,211,16.2857,7.67347,8.61224
128,142,15.6522,7.42029,8.23188
232,254,12.0267,5.74115,6.28557
393,178,14.372,9.89177,4.48024
177,223,13.7883,6.10134,7.687
40,39,8.8565,4.4843,4.3722
102,72,10.5968,6.21194,4.3849
48,33,5.72438,3.39223,2.33216
56,58,12.6526,6.21532,6.43729
114,147,16.2921,7.1161,9.17603
150,220,16.5474,6.70841,9.839
119,206,18.9284,6.93069,11.9977
181,244,11.2345,4.78456,6.44991
223,184,11.8763,6.50715,5.36913
147,162,10.911,5.19068,5.72034
27,40,7.68349,3.09633,4.58716
79,65,10.0279,5.50139,4.52646
35,23,4.73856,2.85948,1.87908
48,38,11.7647,6.56635,5.19836
79,127,15.2142,5.83456,9.37962
80,179,12.1768,3.76117,8.41561
58,167,14.1066,3.63636,10.4702
108,231,9.68295,3.08483,6.59811
137,191,11.0104,4.59886,6.41155
108,121,9.04066,4.26372,4.77694
16,36,7.06522,2.17391,4.8913
44,40,7.21649,3.78007,3.43643
31,26,4.34451,2.3628,1.98171
40,25,9.71599,5.97907,3.73692
45,92,12.0281,3.95083,8.07726
48,154,10.9962,2.61296,8.38323
23,84,8.9916,1.93277,7.05882
80,203,9.12903,2.58065,6.54839
58,113,6.88406,2.33494,4.54911
79,99,8.03249,3.56498,4.46751
10,15,3.93701,1.5748,2.3622
39,22,5.82061,3.72137,2.09924
21,24,4.13223,1.92837,2.20386
24,16,6.23053,3.73832,2.49221
27,86,10.9922,2.62646,8.36576
27,92,7.30061,1.65644,5.64417
20,82,8.5213,1.67084,6.85046
57,179,8.23735,1.98953,6.24782
29,98,5.86605,1.33949,4.52656
66,78,6.61461,3.03169,3.58291
6,15,3.36,0.96,2.4
17,11,2.97872,1.80851,1.17021
17,13,3.27154,1.85387,1.41767
14,8,4.0293,2.5641,1.4652
13,70,9.75323,1.52761,8.22562
21,73,6.25,1.39628,4.85372
10,33,4.37882,1.01833,3.36049
50,152,7.84466,1.94175,5.90291
27,72,5.27719,1.43923,3.83795
71,70,7.14648,3.59858,3.5479
2,3,0.980392,0.392157,0.588235
11,16,2.97357,1.21145,1.76211
13,8,2.34114,1.44928,0.891862
6,8,2.98507,1.27932,1.70576
5,35,5.70613,0.713267,4.99287
8,67,5.85023,0.624025,5.22621
15,27,5.03597,1.79856,3.23741
45,149,7.36802,1.70908,5.65894
11,43,3.21046,0.653983,2.55648
35,55,4.83092,1.87869,2.95223
2,4,1.1811,0.393701,0.787402
9,9,2.2113,1.10565,1.10565
8,17,2.85388,0.913242,1.94064
1,2,0.753769,0.251256,0.502513
3,9,2.30326,0.575816,1.72745
8,28,2.95082,0.655738,2.29508
4,17,2.78515,0.530504,2.25464
28,95,5.4764,1.24666,4.22974
2,18,1.53492,0.153492,1.38143
25,39,3.81406,1.48987,2.3242
3,7,2.19298,0.657895,1.53509
0,6,0.827586,0,0.827586
4,6,1.28535,0.514139,0.771208
5,1,1.5544,1.29534,0.259067
0,7,1.79028,0,1.79028
3,10,1.09612,0.252951,0.84317
1,5,0.993377,0.165563,0.827815
18,114,6.4833,0.884086,5.59921
2,12,1.12,0.16,0.96
29,39,4.49141,1.91546,2.57596
