"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
445,25,17.9732,17.0172,0.956023
1234,81,26.4215,24.7941,1.62749
384,79,18.6093,15.4341,3.17524
849,178,17.7959,14.7115,3.08439
1001,227,17.1221,13.9571,3.16509
778,119,16.782,14.5557,2.22638
267,24,16.3944,15.0423,1.35211
361,15,15.04,14.44,0.6
244,17,11.3577,10.6179,0.739774
691,32,23.2401,22.2115,1.02861
552,31,22.5969,21.3953,1.20155
1317,77,28.0765,26.5257,1.55086
535,62,22.4183,20.0901,2.3282
1206,259,20.5326,16.9026,3.62999
1307,297,20.8637,17.0005,3.86316
1228,226,22.4764,18.9828,3.49358
370,63,21.2986,18.1997,3.09887
431,26,16.8884,15.9276,0.960828
299,16,13.0597,12.3964,0.66335
534,40,20.6178,19.181,1.43678
762,53,28.0744,26.2487,1.8257
1425,115,30.4468,28.1732,2.27363
733,125,27.3161,23.3365,3.97962
1451,341,21.3004,17.2471,4.05325
2064,695,27.2898,20.4154,6.87438
1679,363,25.2848,20.79,4.4948
483,105,23.3519,19.1819,4.16998
472,41,17.3135,15.9298,1.38373
315,25,13.6218,12.6202,1.0016
318,27,14.8899,13.7246,1.1653
664,73,25.5903,23.0556,2.53472
1050,143,24.4117,21.4856,2.92613
779,153,28.2767,23.6347,4.64199
1452,509,22.2336,16.4626,5.77098
2636,997,31.0407,22.5222,8.51846
1621,383,25.5384,20.6576,4.88085
474,151,23.5405,17.8531,5.68738
446,63,17.6247,15.4432,2.18144
226,28,10.6187,9.44816,1.17057
198,52,12.5818,9.96477,2.61701
650,91,27.3836,24.0207,3.3629
928,154,23.7959,20.4091,3.38685
858,234,30.5711,24.0202,6.55095
1313,530,22.1808,15.8021,6.37863
2689,1262,32.0959,21.844,10.2518
1360,356,23.9933,19.0157,4.97763
349,168,22.866,15.4356,7.43034
299,88,14.1189,10.9084,3.21051
178,20,9.2827,8.34505,0.937647
139,49,11.3939,8.42424,2.9697
416,113,21.7338,17.0912,4.64256
483,119,16.2177,13.0119,3.20582
473,155,21.2809,16.0285,5.25246
902,419,18.491,12.626,5.86506
1549,946,24.7618,15.3732,9.38865
1149,358,22.7095,17.3146,5.39482
191,117,16.7573,10.3917,6.36561
211,96,13.6323,9.36945,4.26288
129,22,7.56513,6.46293,1.1022
102,44,10.4885,7.32759,3.16092
322,127,20.5492,14.7368,5.81236
255,135,11.9963,7.84374,4.15257
383,206,22.0105,14.3124,7.69806
804,474,18.1818,11.4383,6.74349
1258,1105,24.4769,13.0309,11.446
1120,374,23.6955,17.7637,5.9318
132,141,16.2597,7.86182,8.39786
168,138,13.3333,7.32026,6.01307
122,30,7.3501,5.89942,1.45068
68,55,9.14498,5.05576,4.08922
231,143,18.2084,11.2463,6.96203
204,173,13.3688,7.23404,6.13475
315,249,21.9285,12.2473,9.68118
693,570,18.2225,9.99856,8.22392
1023,1225,24.2765,11.0475,13.2289
944,400,22.9547,16.123,6.83177
111,154,15.9735,6.69078,9.2827
107,166,12.5402,4.91502,7.62517
117,33,7.67656,5.98772,1.68884
50,58,8.20669,3.79939,4.40729
212,229,20.8906,10.0426,10.8479
133,225,12.6726,4.70796,7.9646
307,294,22.7565,11.6244,11.1321
890,746,22.2706,12.1154,10.1552
1026,1530,26.7504,10.7378,16.0126
371,291,15.0591,8.43949,6.61965
75,156,15.7464,5.11247,10.6339
94,158,12.844,4.79103,8.05301
84,30,6.65888,4.90654,1.75234
29,56,7.24638,2.47229,4.77408
202,331,24.7792,9.39098,15.3882
117,331,14.8788,3.88575,10.993
241,305,23.0672,10.1817,12.8855
532,612,18.0984,8.41639,9.68201
796,1441,25.1461,8.94784,16.1983
267,256,13.0294,6.65172,6.37768
47,149,14.8372,3.55791,11.2793
51,157,11.3848,2.79146,8.59332
72,36,6.6055,4.40367,2.20183
20,40,6.39659,2.1322,4.26439
170,416,24.5496,7.12191,17.4277
66,373,14.3558,2.15827,12.1975
111,257,17.8988,5.39883,12.5
351,448,15.8281,6.95325,8.8748
438,936,18.8452,6.00741,12.8377
182,205,11.5764,5.44421,6.13222
16,107,9.76966,1.27085,8.49881
30,134,9.1314,1.67038,7.46102
63,51,7.38342,4.08031,3.30311
16,59,8.05585,1.71858,6.33727
126,354,21.4957,5.64263,15.8531
43,333,13.5106,1.5451,11.9655
63,157,12.4858,3.57548,8.91033
237,347,13.4315,5.45078,7.98068
252,628,14.8875,4.26324,10.6243
114,168,9.5723,3.86965,5.70265
10,79,8.17264,0.918274,7.25436
21,116,7.57743,1.1615,6.41593
27,56,6.27362,2.04082,4.2328
9,45,6.76692,1.12782,5.6391
64,259,16.9554,3.35958,13.5958
28,201,9.219,1.12721,8.09179
30,102,9.47595,2.15363,7.32233
160,247,10.5005,4.12797,6.37255
126,425,10.7849,2.46624,8.31865
99,118,7.38598,3.36964,4.01634
5,49,5.53846,0.512821,5.02564
16,81,6.94345,1.14531,5.79814
31,56,6.6769,2.37913,4.29777
8,37,6.32911,1.12518,5.20394
30,180,13.6364,1.94805,11.6883
21,105,6.81081,1.13514,5.67568
15,39,4.81713,1.33809,3.47904
115,171,8.27307,3.32658,4.94649
46,200,6.12245,1.14485,4.9776
50,87,5.30391,1.93573,3.36818
3,27,3.61446,0.361446,3.25301
15,66,5.27687,0.977199,4.29967
24,43,5.54177,1.98511,3.55666
7,28,5.3681,1.07362,4.29448
12,87,9,1.09091,7.90909
14,59,4.41889,0.847458,3.57143
3,26,3.13175,0.323974,2.80778
98,168,8.57511,3.15925,5.41586
19,124,4.284,0.569203,3.7148
40,75,5.20127,1.80914,3.39213
1,19,2.48756,0.124378,2.36318
32,65,6.99856,2.3088,4.68975
27,47,6.89655,2.51631,4.38024
6,38,6.97306,0.950872,6.02219
15,41,5.28302,1.41509,3.86792
6,41,3.09618,0.395257,2.70092
6,17,2.81863,0.735294,2.08333
102,185,9.21348,3.27448,5.939
29,87,3.87571,0.968927,2.90678
27,73,4.70146,1.26939,3.43206
3,10,1.77839,0.410397,1.36799
23,47,5.66802,1.86235,3.80567
19,59,6.9395,1.69039,5.24911
2,24,4.45969,0.343053,4.11664
7,36,4.74614,0.772627,3.97351
13,33,3.01639,0.852459,2.16393
6,6,1.62822,0.814111,0.814111
102,142,8.91813,3.72807,5.19006
13,65,2.98051,0.496752,2.48376
34,69,4.69676,1.55039,3.14637
1,12,1.7931,0.137931,1.65517
17,36,4.51833,1.44928,3.06905
22,59,7.33696,1.99275,5.3442
1,21,3.81944,0.173611,3.64583
1,9,1.47059,0.147059,1.32353
5,17,1.66163,0.377644,1.28399
0,3,0.497512,0,0.497512
112,142,9.14327,4.03168,5.11159
11,41,2.31317,0.489324,1.82384
22,47,3.43113,1.09398,2.33715
4,6,1.70068,0.680272,1.02041
8,23,3.125,0.806452,2.31855
17,77,8.83459,1.59774,7.23684
0,13,2.43902,0,2.43902
2,6,1.33333,0.333333,1
8,4,1.01954,0.679694,0.339847
1,3,0.688468,0.172117,0.516351
112,142,9.63947,4.25047,5.38899
7,16,1.17287,0.356961,0.81591
25,57,4.70994,1.43596,3.27398
1,1,0.39604,0.19802,0.19802
7,21,2.82258,0.705645,2.11694
6,55,6.17409,0.607287,5.5668
2,9,2.37069,0.431034,1.93966
0,3,0.668151,0,0.668151
1,5,0.506329,0.0843882,0.421941
11,1,1.85185,1.69753,0.154321
94,96,8.35532,4.13369,4.22164
3,11,0.819193,0.175541,0.643651
12,37,2.88745,0.70713,2.18032
1,3,0.767754,0.191939,0.575816
5,15,2.41255,0.603136,1.80941
9,43,5.54371,0.959488,4.58422
0,11,2.6699,0,2.6699
0,0,0,0,0
9,4,1.17647,0.81448,0.361991
1,5,0.969305,0.161551,0.807754
92,93,8.94152,4.44659,4.49493
8,5,0.84801,0.521853,0.326158
8,15,1.66185,0.578035,1.08382
0,1,0.196078,0,0.196078
4,12,2.16216,0.540541,1.62162
9,21,3.39367,1.0181,2.37557
0,6,2.04082,0,2.04082
5,0,1.42857,1.42857,0
5,5,0.951475,0.475737,0.475737
3,0,0.707547,0.707547,0
70,64,7.30643,3.81679,3.48964
7,8,1.06686,0.497866,0.56899
8,8,1.25589,0.627943,0.627943
1,2,0.655022,0.218341,0.436681
1,7,1.30719,0.163399,1.14379
6,18,3.16206,0.790514,2.37154
1,5,2.09059,0.348432,1.74216
1,1,0.664452,0.332226,0.332226
5,1,0.630252,0.52521,0.105042
2,1,0.837989,0.558659,0.27933
58,56,7.41222,3.77113,3.64109
9,4,0.95518,0.661278,0.293902
2,8,0.934579,0.186916,0.747664
1,0,0.273973,0.273973,0
3,4,1.19048,0.510204,0.680272
8,17,3.5868,1.14778,2.43902
5,4,3.35821,1.86567,1.49254
1,0,0.350877,0.350877,0
2,1,0.384615,0.25641,0.128205
0,1,0.239808,0,0.239808
51,47,6.11735,3.18352,2.93383
2,2,0.360685,0.180343,0.180343
4,6,1.0627,0.42508,0.63762
1,0,0.265252,0.265252,0
4,8,1.83206,0.610687,1.22137
9,11,3.09598,1.39319,1.70279
1,3,1.5444,0.3861,1.1583
4,0,1.55642,1.55642,0
4,2,0.705882,0.470588,0.235294
1,1,0.421941,0.21097,0.21097
59,46,6.50558,3.65551,2.85006
7,4,0.876494,0.557769,0.318725
7,7,1.34615,0.673077,0.673077
0,0,0,0,0
1,2,0.474684,0.158228,0.316456
6,6,1.69252,0.846262,0.846262
3,0,1.5,1.5,0
1,0,0.401606,0.401606,0
4,0,0.513479,0.513479,0
1,0,0.235294,0.235294,0
51,25,4.86556,3.26504,1.60051
14,6,1.64204,1.14943,0.492611
7,7,1.36852,0.684262,0.684262
1,1,0.511509,0.255754,0.255754
2,2,0.631912,0.315956,0.315956
6,2,1.21766,0.913242,0.304414
0,2,0.829876,0,0.829876
3,0,1.03448,1.03448,0
2,3,0.647668,0.259067,0.388601
0,0,0,0,0
41,29,4.89853,2.86914,2.02939
9,7,1.43498,0.807175,0.627803
7,1,0.869565,0.76087,0.108696
1,0,0.258398,0.258398,0
4,3,1.21951,0.696864,0.522648
3,7,1.51976,0.455927,1.06383
2,0,0.925926,0.925926,0
2,1,1.22951,0.819672,0.409836
4,1,0.648508,0.518807,0.129702
0,0,0,0,0
54,26,5.55556,3.75,1.80556
14,1,1.27443,1.18946,0.0849618
12,4,1.65119,1.23839,0.412797
2,0,0.566572,0.566572,0
4,1,0.931099,0.744879,0.18622
4,1,0.822368,0.657895,0.164474
0,0,0,0,0
3,1,1.4652,1.0989,0.3663
1,1,0.249688,0.124844,0.124844
0,0,0,0,0
48,43,5.7888,3.05344,2.73537
8,3,1.01103,0.735294,0.275735
7,1,0.778968,0.681597,0.097371
0,0,0,0,0
1,0,0.175747,0.175747,0
7,5,1.96078,1.14379,0.816993
1,1,1.25,0.625,0.625
1,1,0.677966,0.338983,0.338983
1,0,0.119048,0.119048,0
0,1,0.206612,0,0.206612
36,23,3.43023,2.09302,1.33721
5,2,0.563154,0.402253,0.160901
11,8,1.63511,0.946644,0.688468
0,0,0,0,0
2,1,0.487805,0.325203,0.162602
6,4,1.57233,0.943396,0.628931
0,0,0,0,0
1,1,0.699301,0.34965,0.34965
4,1,0.616523,0.493218,0.123305
1,0,0.21097,0.21097,0
44,23,3.39584,2.23011,1.16574
11,1,0.898876,0.82397,0.0749064
8,6,1.10847,0.633413,0.475059
0,0,0,0,0
5,0,0.792393,0.792393,0
5,5,1.34228,0.671141,0.671141
1,0,0.438596,0.438596,0
1,0,0.332226,0.332226,0
4,0,0.5,0.5,0
2,1,0.544465,0.362976,0.181488
69,43,4.73173,2.91508,1.81665
11,3,0.906736,0.712435,0.194301
16,10,1.822,1.12123,0.700771
4,0,0.77821,0.77821,0
2,0,0.291545,0.291545,0
4,4,1.04167,0.520833,0.520833
7,1,1.79372,1.56951,0.224215
5,0,1.44092,1.44092,0
4,1,0.530786,0.424628,0.106157
3,1,0.657895,0.493421,0.164474
59,46,4.23729,2.38095,1.85634
17,2,1.03939,0.929978,0.109409
21,11,1.88902,1.23967,0.649351
0,0,0,0,0
5,1,0.809717,0.674764,0.134953
10,3,1.60891,1.23762,0.371287
4,3,1.65094,0.943396,0.707547
7,0,1.6092,1.6092,0
17,1,1.60571,1.5165,0.0892061
4,0,0.5,0.5,0
58,46,4.38449,2.44519,1.93929
29,3,1.39921,1.26804,0.131176
13,15,1.39234,0.646445,0.745898
3,1,0.687285,0.515464,0.171821
4,1,0.637755,0.510204,0.127551
8,5,1.54394,0.950119,0.593824
5,0,1.3587,1.3587,0
3,1,0.724638,0.543478,0.181159
7,4,0.982143,0.625,0.357143
2,0,0.238095,0.238095,0
53,41,3.63215,2.04791,1.58423
25,6,1.20062,0.968242,0.232378
17,20,1.71694,0.788863,0.928074
4,1,0.88968,0.711744,0.177936
9,1,1.12108,1.00897,0.112108
10,1,1.22222,1.11111,0.111111
7,0,1.37795,1.37795,0
4,0,0.686106,0.686106,0
11,3,1.16183,0.912863,0.248963
20,0,2.1692,2.1692,0
43,36,2.88216,1.56877,1.31339
19,2,0.767544,0.694444,0.0730994
31,27,2.59857,1.38889,1.20968
1,0,0.171821,0.171821,0
5,2,0.744681,0.531915,0.212766
12,5,1.60075,1.12994,0.47081
9,2,1.77706,1.45396,0.323102
3,1,0.512164,0.384123,0.128041
15,3,1.12994,0.94162,0.188324
4,0,0.379507,0.379507,0
106,65,5.33541,3.30733,2.02808
22,11,1.11298,0.74199,0.370995
52,19,3.36333,2.46329,0.900047
2,0,0.266667,0.266667,0
7,3,0.944287,0.661001,0.283286
7,5,1.0989,0.641026,0.457875
12,5,1.84382,1.30152,0.542299
5,0,0.591017,0.591017,0
17,4,1.27893,1.03532,0.243605
10,3,1.15556,0.888889,0.266667
94,62,4.46735,2.69187,1.77549
20,5,0.769704,0.615764,0.153941
44,17,2.78539,2.00913,0.776256
2,0,0.254777,0.254777,0
18,0,1.64835,1.64835,0
18,5,2.01401,1.57618,0.437828
20,2,2.21106,2.01005,0.201005
7,1,0.910125,0.796359,0.113766
18,4,1.22563,1.00279,0.222841
6,0,0.489396,0.489396,0
110,71,4.78583,2.90851,1.87731
31,6,1.09177,0.914724,0.177043
45,14,2.36663,1.80505,0.561572
4,1,0.555556,0.444444,0.111111
14,3,1.55109,1.27737,0.273723
23,5,2.36287,1.94093,0.421941
20,5,2.31054,1.84843,0.462107
2,4,0.636267,0.212089,0.424178
24,4,1.44553,1.23903,0.206505
8,2,0.796178,0.636943,0.159236
141,90,6.01876,3.67379,2.34497
22,3,0.722543,0.635838,0.0867052
66,22,3.24603,2.43453,0.811509
2,0,0.248756,0.248756,0
13,0,1.1535,1.1535,0
41,3,3.53698,3.29582,0.241158
21,7,2.61438,1.96078,0.653595
12,1,1.32653,1.22449,0.102041
19,5,1.21029,0.958144,0.252143
8,0,0.589102,0.589102,0
134,110,5.78473,3.17686,2.60787
44,9,1.47838,1.22734,0.251046
124,59,5.65513,3.83189,1.82324
35,3,4.14395,3.81679,0.327154
40,1,3.34421,3.26264,0.0815661
63,19,5.70633,4.38413,1.3222
24,12,3.34884,2.23256,1.11628
20,1,1.92484,1.83318,0.091659
21,6,1.18369,0.920649,0.263043
7,3,0.745156,0.52161,0.223547
208,113,6.72815,4.35967,2.36848
54,10,1.61902,1.36605,0.252972
184,76,7.54279,5.33798,2.20482
14,8,2.30126,1.46444,0.83682
46,0,3.50343,3.50343,0
96,16,7.29167,6.25,1.04167
39,7,3.84615,3.26087,0.585284
18,4,1.73776,1.4218,0.315956
20,14,1.47826,0.869565,0.608696
30,3,2.14425,1.94932,0.194932
240,131,7.31611,4.73279,2.58332
102,18,2.76689,2.35186,0.415033
255,95,8.65266,6.30408,2.34858
22,19,3.76147,2.01835,1.74312
85,3,6.49926,6.2777,0.221566
116,18,8.09179,7.00483,1.08696
51,17,5.98592,4.48944,1.49648
22,4,2.03602,1.72279,0.313234
38,30,3.09513,1.72963,1.3655
57,6,4.03587,3.65151,0.384369
326,156,9.42142,6.37217,3.04926
144,24,4.12169,3.53288,0.588813
300,84,9.48382,7.40924,2.07459
32,9,4.29769,3.3543,0.943396
125,7,8.82943,8.3612,0.468227
207,16,12.6561,11.748,0.908059
85,17,7.59494,6.32911,1.26582
28,13,2.88326,1.96906,0.914205
54,40,3.43693,1.97441,1.46252
47,11,3.44009,2.78766,0.652432
241,159,7.22282,4.35175,2.87107
267,38,5.90742,5.17141,0.736006
386,100,11.1187,8.83093,2.28781
53,8,5.23605,4.54936,0.686695
139,9,9.30233,8.73664,0.565682
239,28,13.1722,11.7908,1.38135
98,30,8.44884,6.46865,1.9802
31,14,3.0654,2.11172,0.953678
72,58,4.4905,2.48705,2.00345
70,12,4.51045,3.85039,0.660066
345,156,8.98171,6.18501,2.7967
384,45,7.5105,6.72269,0.787815
750,412,18.2848,11.8017,6.48308
98,34,10.8285,8.03938,2.78917
152,6,9.74106,9.37115,0.369914
407,47,18.8773,16.9231,1.95426
170,43,12.5664,10.0295,2.53687
97,17,6.70194,5.70253,0.999412
121,78,6.56549,3.99208,2.57341
155,24,8.51975,7.37744,1.14231
568,188,11.7282,8.81167,2.91654
821,97,13.2162,11.8198,1.39649
1419,240,25.0566,21.4318,3.62483
128,12,9.63524,8.80936,0.825877
219,16,13.0556,12.1667,0.888889
694,77,25.5891,23.0335,2.55559
338,95,20.7973,16.2344,4.56292
146,42,9.76623,7.58442,2.18182
248,129,10.9086,7.17593,3.73264
311,52,14.048,12.0356,2.01238
1290,400,18.5816,14.1836,4.39802
1743,142,20.295,18.7661,1.52885
2944,448,32.948,28.5964,4.35163
357,41,21.238,19.0502,2.18783
458,48,20.1193,18.2107,1.90855
1070,166,31.971,27.6772,4.29384
670,230,28.9296,21.5365,7.39312
266,54,14.7059,12.2243,2.48162
400,214,15.2395,9.92802,5.31149
658,78,21.5709,19.2849,2.28605
1598,439,19.8615,15.5811,4.28042
2898,205,26.3502,24.6094,1.74083
2866,449,31.9303,27.6055,4.32479
456,54,23.6111,21.1111,2.5
713,75,24.6945,22.3441,2.35036
1331,225,35.8691,30.6823,5.18672
816,299,29.3576,21.485,7.87256
388,78,15.8557,13.2018,2.65396
625,253,18.9306,13.4756,5.45494
609,107,20.0504,17.054,2.99636
2069,415,22.9321,19.1008,3.83124
3577,301,27.3099,25.1901,2.11972
2558,562,30.0578,24.6435,5.41426
545,100,26.0817,22.038,4.04367
711,135,23.7307,19.9439,3.78682
1066,227,29.2865,24.145,5.14156
870,357,28.515,20.2185,8.29654
547,105,21.0052,17.6224,3.38273
888,326,21.7914,15.9397,5.85173
908,149,24.941,21.4252,3.51581
2899,567,26.3094,22.0055,4.30393
4288,373,29.2556,26.9144,2.3412
2752,783,31.6529,24.6418,7.0111
640,135,28.3571,23.4175,4.93963
746,149,23.2709,19.3968,3.87415
629,203,21.7516,16.4444,5.30719
852,456,27.9189,18.1857,9.73319
672,140,23.4886,19.4388,4.04975
1044,453,25.7172,17.9351,7.78217
930,212,24.3809,19.8548,4.52605
2861,745,26.2771,20.8482,5.42884
4511,479,30.4305,27.5095,2.92109
2601,995,32.4461,23.4684,8.97771
531,152,25.8712,20.1136,5.75758
639,159,21.5559,17.2609,4.29498
357,166,15.8677,10.8313,5.03641
636,404,24.0741,14.7222,9.35185
1007,262,27.557,21.8675,5.68947
1571,836,29.8154,19.4599,10.3555
1140,279,25.1551,20.2092,4.94593
3402,739,24.9804,20.5224,4.45798
4996,683,31.48,27.694,3.78603
2445,1531,32.6544,20.0805,12.5739
582,173,24.7866,19.107,5.67958
667,236,20.7253,15.3087,5.41657
283,213,15.1914,8.66769,6.52374
541,398,20.6737,11.9111,8.76266
1177,348,29.2988,22.6129,6.68588
1798,976,31.2704,20.2683,11.0021
1313,462,27.6308,20.439,7.19178
2749,1044,24.3797,17.6694,6.71037
4386,798,29.589,25.0342,4.55479
1941,1957,31.0054,15.4391,15.5663
564,320,24.7411,15.7851,8.95606
602,341,20.8998,13.3422,7.55762
250,260,15.2421,7.47161,7.77047
413,409,20.0195,10.0585,9.96103
1317,515,32.9496,23.6871,9.26259
1947,1147,32.7269,20.5945,12.1324
1259,621,29.8129,19.9651,9.84776
2527,1324,23.9,15.683,8.21697
4098,961,29.4487,23.8547,5.59404
1513,1859,28.3171,12.7057,15.6114
458,408,26.5644,14.0491,12.5153
421,330,18.0399,10.1129,7.92698
218,363,15.9879,5.9989,9.98899
358,330,18.0388,9.38647,8.65233
1323,604,33.8426,23.235,10.6077
1782,1244,31.7291,18.6851,13.0439
1010,580,28.0028,17.788,10.2149
1641,1128,21.1843,12.5545,8.62979
3439,1290,29.1986,21.2336,7.96493
1012,1867,26.8588,9.44118,17.4177
381,466,25.5505,11.4932,14.0573
355,381,18.93,9.13066,9.79938
168,351,14.7401,4.77137,9.96876
260,299,16.6667,7.75194,8.91473
904,513,29.819,19.0236,10.7955
1048,913,27.5112,14.7026,12.8086
528,424,22.4793,12.4675,10.0118
816,723,16.2017,8.59038,7.61133
2416,1360,27.1987,17.4026,9.79615
593,1141,21.2448,7.26538,13.9794
286,434,24.0964,9.57162,14.5248
242,304,16.2694,7.21097,9.0584
111,242,12.0191,3.77937,8.2397
233,346,18.7136,7.5307,11.1829
605,355,25.5795,16.1204,9.4591
442,422,17.7961,9.10402,8.69207
305,261,16.4106,8.84314,7.56741
460,439,12.4429,6.36678,6.07612
1507,1051,22.9747,13.5351,9.43955
319,702,15.9208,4.97427,10.9465
182,390,23.7049,7.54248,16.1625
244,364,17.5115,7.02765,10.4839
112,292,14.6536,4.06239,10.5912
229,283,16.9649,7.58781,9.37707
297,256,18.1788,9.76331,8.41552
274,271,13.808,6.94198,6.86597
180,181,13.4051,6.684,6.72113
351,331,10.9242,5.6223,5.30194
904,941,20.0261,9.81222,10.2138
165,394,10.9565,3.23403,7.72246
132,273,19.1852,6.25296,12.9323
223,304,17.044,7.21216,9.83182
119,256,13.9978,4.44196,9.5558
252,327,20.2731,8.82353,11.4496
230,202,17.6255,9.38392,8.24153
199,245,12.5353,5.61829,6.917
151,225,13.788,5.53722,8.25083
297,324,10.7981,5.16432,5.6338
815,1056,21.6001,9.40891,12.1912
97,264,9.03856,2.42864,6.60991
94,193,16.6184,5.44296,11.1754
198,276,16.8924,7.05631,9.83607
104,271,14.3899,3.99079,10.3991
164,328,19.462,6.48734,12.9747
188,184,15.5975,7.8826,7.71488
208,212,12.7003,6.28969,6.41064
124,242,15.8373,5.36564,10.4717
293,328,11.5171,5.43398,6.08309
765,1212,23.3357,9.02975,14.3059
70,161,7.07721,2.14461,4.9326
52,143,12.9225,3.44599,9.47647
131,201,14.5359,5.73555,8.80035
51,150,9.07859,2.30352,6.77507
141,270,17.8385,6.11979,11.7188
159,201,17.341,7.65896,9.68208
236,249,15.2949,7.44245,7.85241
131,256,16.2879,5.51347,10.7744
219,265,10.393,4.7026,5.69036
624,1280,23.0118,7.5417,15.4701
40,74,4.23634,1.48644,2.74991
34,100,10.0828,2.55831,7.52445
84,147,11.2136,4.07767,7.13592
26,102,7.03297,1.42857,5.6044
155,253,18.4282,7.0009,11.4273
125,224,16.8112,6.02119,10.79
180,192,14.7736,7.14853,7.6251
73,212,12.7232,3.25893,9.46429
137,236,8.73332,3.20768,5.52564
376,951,17.9082,5.07422,12.834
21,61,3.5284,0.903614,2.62478
27,81,8.96266,2.24066,6.72199
65,114,10.0056,3.63331,6.37228
22,75,6.47098,1.46765,5.00334
106,191,14.7982,5.28151,9.51669
115,197,16.2585,5.9927,10.2658
123,117,10.1824,5.2185,4.96394
56,154,11.0643,2.95047,8.1138
137,211,8.59259,3.38272,5.20988
307,894,17.2831,4.4179,12.8652
12,50,2.85057,0.551724,2.29885
26,46,6.31579,2.2807,4.03509
57,66,7.25236,3.36085,3.89151
13,45,4.61416,1.03421,3.57995
55,137,11.9181,3.41403,8.50403
73,153,13.6638,4.41354,9.2503
117,74,8.70159,5.3303,3.3713
46,127,9.65402,2.56696,7.08705
80,133,5.89701,2.21484,3.68217
178,693,14.7203,3.00828,11.712
7,36,2.18163,0.35515,1.82648
24,38,6.09037,2.35756,3.73281
30,64,7.25309,2.31481,4.93827
9,21,3.21888,0.965665,2.25322
31,85,10.5839,2.82847,7.75547
48,101,10.4561,3.36842,7.08772
92,76,8.49343,4.65116,3.84226
19,104,7.81449,1.20712,6.60737
73,128,5.85494,2.12642,3.72852
130,484,12.12,2.56613,9.55389
12,29,2.42317,0.70922,1.71395
17,23,4.50958,1.91657,2.59301
32,41,6.13961,2.69134,3.44828
18,24,3.88889,1.66667,2.22222
31,64,9.46215,3.08765,6.3745
15,50,5.9415,1.37112,4.57038
56,37,5.0516,3.04183,2.00978
23,77,6.96379,1.60167,5.36212
66,110,5.47094,2.0516,3.41933
121,350,10.8776,2.79446,8.08314
4,14,1.1658,0.259067,0.906736
14,21,4.56323,1.82529,2.73794
31,29,5.54529,2.86506,2.68022
7,15,2.23124,0.709939,1.5213
9,21,3.7594,1.12782,2.63158
4,20,2.84698,0.474496,2.37248
33,45,4.60721,1.9492,2.658
8,36,3.9819,0.723982,3.25792
65,98,5.42069,2.16162,3.25906
44,206,6.82501,1.2012,5.62381
8,12,1.41143,0.564573,0.84686
4,8,1.59574,0.531915,1.06383
13,20,3.39506,1.33745,2.05761
4,5,1.02041,0.453515,0.566893
8,17,3.88199,1.24224,2.63975
12,10,2.86458,1.5625,1.30208
26,18,2.85529,1.68722,1.16807
12,30,4.24242,1.21212,3.0303
74,64,4.89883,2.62691,2.27192
33,81,4.0155,1.16238,2.85312
4,8,0.965406,0.321802,0.643604
2,1,0.483871,0.322581,0.16129
7,11,2.0339,0.79096,1.24294
2,8,1.24224,0.248447,0.993789
4,5,1.78218,0.792079,0.990099
8,4,1.84615,1.23077,0.615385
16,6,1.58273,1.15108,0.431655
3,9,1.41343,0.353357,1.06007
62,73,4.87893,2.24069,2.63824
16,40,2.24809,0.642312,1.60578
2,5,0.636364,0.181818,0.454545
1,4,0.854701,0.17094,0.683761
2,5,0.864198,0.246914,0.617284
5,11,2.33236,0.728863,1.6035
4,6,2.12314,0.849257,1.27389
2,3,0.85034,0.340136,0.510204
12,2,1.06302,0.911162,0.15186
2,2,0.614439,0.30722,0.30722
48,57,4.01837,1.83697,2.1814
1,12,0.564236,0.0434028,0.520833
4,1,0.48216,0.385728,0.096432
0,0,0,0,0
3,3,0.862069,0.431034,0.431034
4,8,1.76471,0.588235,1.17647
0,1,0.26738,0,0.26738
1,2,0.60241,0.200803,0.401606
5,2,0.546448,0.39032,0.156128
1,2,0.544465,0.181488,0.362976
49,48,4.28445,2.16431,2.12014
9,8,0.94392,0.499722,0.444198
3,4,0.713558,0.30581,0.407747
0,0,0,0,0
1,0,0.13624,0.13624,0
0,14,2.24359,0,2.24359
4,0,0.934579,0.934579,0
0,1,0.203666,0,0.203666
3,0,0.255319,0.255319,0
0,2,0.327869,0,0.327869
41,53,4.52794,1.97495,2.55299
2,2,0.240674,0.120337,0.120337
1,1,0.221239,0.110619,0.110619
0,0,0,0,0
3,1,0.614439,0.460829,0.15361
1,4,0.972763,0.194553,0.77821
0,1,0.268097,0,0.268097
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
39,29,3.51603,2.01655,1.49948
4,1,0.318674,0.254939,0.0637349
4,3,0.863132,0.493218,0.369914
0,0,0,0,0
1,2,0.480769,0.160256,0.320513
1,3,0.731261,0.182815,0.548446
0,0,0,0,0
2,0,0.655738,0.655738,0
1,0,0.105152,0.105152,0
