"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and influenza B lineage."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
38,1,2,32,0,0,0
34,4,6,29,0,0,0
54,9,1,29,1,0,0
69,14,2,44,2,0,0
59,10,5,46,0,0,0
60,18,7,49,0,0,0
57,21,7,56,1,0,0
64,22,7,70,2,0,0
82,24,13,77,3,0,0
78,48,20,96,5,0,0
61,83,39,120,5,0,0
74,205,74,234,10,0,0
58,146,89,330,10,0,0
78,173,173,423,10,0,0
83,92,141,500,10,0,0
83,86,195,657,14,0,0
78,41,311,807,15,0,0
52,52,276,1110,16,0,0
88,27,348,1326,24,0,0
101,45,189,1275,23,0,0
86,34,223,1145,20,0,0
73,56,252,1244,12,0,0
79,37,256,1137,8,0,0
92,50,309,1073,8,0,0
91,64,288,875,5,0,0
65,129,280,744,10,0,0
76,119,169,564,9,0,0
63,50,141,454,8,0,0
73,65,132,352,8,0,0
74,52,93,197,3,0,0
30,23,50,77,1,0,0
7,8,34,20,2,0,0
1,4,7,5,0,0,0
0,3,4,0,0,0,0
0,0,3,2,0,0,0
0,0,4,0,0,0,0
0,1,2,1,0,0,0
1,0,2,0,0,0,0
0,0,3,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,0,2,0,0,0,0
0,1,3,1,0,0,0
0,0,0,0,0,0,0
0,3,0,0,0,0,0
0,0,0,0,0,1,0
0,1,1,0,0,0,0
0,0,0,0,0,0,0
0,2,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,2,1,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,3,2,0,0,0,0
2,3,5,1,0,0,0
1,4,5,0,0,0,0
1,11,4,0,0,0,0
1,7,13,1,2,0,0
1,6,9,0,0,0,0
4,6,5,0,1,0,0
3,0,2,0,2,0,0
0,6,2,1,0,0,0
0,5,4,2,3,0,0
3,8,1,2,0,0,0
0,5,4,0,0,0,0
0,2,2,0,0,0,0
2,6,3,0,0,0,0
2,6,3,1,0,0,0
1,4,3,1,0,1,0
1,2,1,0,0,0,0
0,2,1,0,0,0,0
0,4,3,0,0,0,0
0,2,1,1,0,0,0
0,3,1,0,1,0,0
1,1,5,0,0,0,0
0,2,0,0,0,0,0
0,1,1,1,0,0,0
1,4,2,0,0,0,0
0,1,0,0,0,0,0
0,5,1,0,0,0,0
0,0,0,0,0,0,0
1,3,2,0,0,0,0
0,0,1,0,0,0,0
0,1,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,0
0,1,0,5,0,0,0
0,0,0,0,0,0,0
0,2,1,0,0,0,0
0,2,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,1,0,0,0
0,1,0,0,0,0,0
1,2,1,0,0,0,0
3,3,1,1,0,0,0
2,0,0,0,0,0,0
1,1,0,0,0,0,0
2,3,0,0,0,0,0
1,2,0,0,0,1,0
3,2,1,0,0,0,0
0,5,3,0,0,0,0
0,2,1,1,0,0,0
0,6,1,0,0,0,0
6,3,0,4,0,0,0
22,6,0,0,0,0,0
38,2,1,1,1,0,0
86,5,4,3,0,0,0
93,2,8,2,0,1,0
52,3,4,3,0,0,0
50,7,3,8,0,0,0
183,11,1,4,0,0,0
213,48,3,1,0,0,0
452,77,5,4,1,0,0
526,60,4,2,0,0,0
836,136,4,3,0,0,0
952,241,1,2,0,0,0
1097,316,4,0,0,0,0
1022,287,3,0,0,0,0
1016,506,6,0,0,0,0
814,344,8,0,0,0,0
635,393,2,0,0,0,0
529,202,1,0,0,0,0
403,189,5,2,0,0,0
387,121,3,1,0,0,0
488,147,2,0,0,0,0
408,162,1,1,0,0,0
371,128,2,0,0,0,0
476,135,2,1,0,0,0
489,109,0,1,0,0,0
474,131,0,0,0,0,0
603,98,1,0,0,0,0
666,114,1,1,0,0,0
615,96,1,1,0,0,0
689,119,4,0,0,0,0
703,125,3,0,0,0,0
696,99,1,0,0,0,0
741,92,1,0,0,0,0
647,170,3,0,0,0,0
623,149,1,0,0,0,0
512,114,1,0,0,0,0
472,101,1,0,0,0,0
349,75,2,0,0,0,0
307,46,3,0,0,0,0
168,29,1,0,0,0,0
76,25,1,0,0,0,0
85,12,1,0,0,0,0
115,11,1,0,0,0,0
42,9,4,0,0,0,0
31,15,3,0,0,0,0
40,16,2,0,0,3,0
84,7,2,0,0,0,0
67,7,1,1,0,0,0
77,7,0,2,0,0,0
71,8,3,1,0,0,0
72,11,0,0,0,1,0
68,8,5,0,0,0,0
110,10,7,3,0,0,0
112,18,3,1,0,0,0
239,19,3,5,0,0,0
364,23,3,5,0,0,0
449,33,4,6,0,1,0
706,51,2,3,0,0,0
917,175,4,5,0,0,0
1195,192,1,2,0,0,0
1557,339,4,2,0,0,0
1844,365,1,2,0,0,0
2086,661,1,3,0,0,0
2013,585,2,4,0,0,0
1729,549,1,4,0,0,0
1199,480,3,6,0,0,0
850,263,0,7,0,0,0
822,227,2,12,0,0,0
527,96,1,13,0,0,0
324,66,4,12,0,0,0
165,40,0,10,0,0,0
118,24,2,18,0,0,0
115,26,6,21,0,0,0
69,18,3,26,0,0,0
60,17,4,14,0,0,0
53,13,8,28,0,0,0
44,15,10,21,0,0,0
28,8,9,25,0,0,0
38,11,15,34,0,0,0
17,16,10,41,0,0,0
19,11,14,37,0,0,0
6,9,11,38,0,0,0
12,2,17,46,0,0,0
18,2,12,50,0,0,0
9,2,11,54,0,0,0
4,2,9,68,0,0,0
10,3,10,61,0,0,0
3,5,15,44,0,0,0
1,5,11,39,0,0,0
5,3,13,58,0,0,0
3,7,8,42,0,0,0
5,4,6,36,0,0,0
17,5,3,54,0,0,0
1,4,4,33,0,0,0
4,6,1,27,0,0,0
7,1,2,16,0,1,0
5,1,1,29,0,0,0
6,6,1,25,0,0,0
5,8,3,32,0,0,0
13,6,1,21,0,0,0
11,4,9,24,0,0,0
10,9,3,12,0,0,0
8,19,6,22,0,0,0
15,8,1,22,0,0,0
10,6,1,35,0,0,0
10,7,6,24,0,0,0
16,10,3,48,0,0,0
22,12,5,68,0,0,0
26,34,12,73,0,0,0
36,48,14,68,0,0,0
41,63,13,90,0,0,0
62,111,29,135,0,0,0
103,149,43,143,0,0,0
124,141,27,141,0,0,0
176,174,24,219,0,0,0
272,245,52,262,0,0,0
288,400,82,303,0,0,0
330,277,39,286,0,0,0
303,249,21,245,0,0,0
338,231,59,317,0,0,0
346,242,60,258,0,0,0
302,163,46,209,0,0,0
393,190,57,290,0,0,0
394,138,58,387,0,0,0
434,172,61,433,0,0,0
438,150,57,441,0,0,0
442,172,63,483,0,0,0
397,139,49,447,0,0,0
419,122,39,472,0,0,0
351,95,33,397,0,0,0
322,82,34,316,0,0,0
284,65,30,266,0,0,0
295,43,31,253,0,0,0
271,37,15,252,0,0,0
219,36,19,177,0,0,0
150,27,18,134,0,0,0
139,19,15,97,0,0,0
104,16,15,84,0,0,0
88,15,2,47,0,0,0
118,13,2,36,0,0,1
104,11,6,57,0,0,0
128,7,3,48,0,0,0
128,11,2,46,0,0,0
125,16,5,29,0,0,0
162,14,1,30,0,0,0
149,22,1,12,0,0,0
137,17,1,10,0,1,8
97,13,1,9,0,0,2
111,6,0,12,0,0,1
93,8,1,3,0,0,0
103,9,0,5,0,0,0
81,3,0,2,0,0,0
73,7,0,5,0,0,1
110,4,0,4,0,0,0
72,6,0,4,0,2,0
75,6,1,5,0,0,0
94,16,0,3,0,0,0
96,14,1,7,0,0,0
92,27,0,4,0,0,4
86,31,0,5,0,0,16
84,20,0,17,0,0,13
125,21,4,11,0,0,10
185,33,7,18,0,0,4
235,42,9,16,0,0,5
296,73,14,21,0,0,5
368,82,27,35,0,0,4
455,78,18,18,0,0,7
753,152,26,38,0,0,3
1111,259,34,52,0,0,5
1730,341,29,37,0,0,1
1907,539,39,32,0,0,0
2351,488,53,38,0,0,0
2186,424,49,33,0,0,1
2347,669,57,60,0,0,0
2579,904,76,40,0,0,0
3191,1220,120,99,0,0,0
2639,1198,154,58,0,0,1
1983,718,135,55,0,0,1
877,512,65,48,0,0,0
