Influenza_Season,Start_Date,End_Date,Reporting_Timeframe,Week,Week_Sort_Order,Current_Season_Week_Ending_Label,Cumulative_Flu_Doses,Current_Through
2018-2019,7/29/2018,8/4/2018,2018-07-29 - 2018-08-04,30,1,8/5/2023,0.52,3/4/2023
2018-2019,8/5/2018,8/11/2018,2018-08-05 - 2018-08-11,31,2,8/12/2023,3.23,3/4/2023
2018-2019,8/12/2018,8/18/2018,2018-08-12 - 2018-08-18,32,3,8/19/2023,10.18,3/4/2023
2018-2019,8/19/2018,8/25/2018,2018-08-19 - 2018-08-25,33,4,8/26/2023,19.99,3/4/2023
2018-2019,8/26/2018,9/1/2018,2018-08-26 - 2018-09-01,34,5,9/2/2023,37.38,3/4/2023
2018-2019,9/2/2018,9/8/2018,2018-09-02 - 2018-09-08,35,6,9/9/2023,52.23,3/4/2023
2018-2019,9/9/2018,9/15/2018,2018-09-09 - 2018-09-15,36,7,9/16/2023,70.39,3/4/2023
2018-2019,9/16/2018,9/22/2018,2018-09-16 - 2018-09-22,37,8,9/23/2023,87.79,3/4/2023
2018-2019,9/23/2018,9/29/2018,2018-09-23 - 2018-09-29,38,9,9/30/2023,104.38,3/4/2023
2018-2019,9/30/2018,10/6/2018,2018-09-30 - 2018-10-06,39,10,10/7/2023,118.8,3/4/2023
2018-2019,10/7/2018,10/13/2018,2018-10-07 - 2018-10-13,40,11,10/14/2023,132.57,3/4/2023
2018-2019,10/14/2018,10/20/2018,2018-10-14 - 2018-10-20,41,12,10/21/2023,143.84,3/4/2023
2018-2019,10/21/2018,10/27/2018,2018-10-21 - 2018-10-27,42,13,10/28/2023,152.02,3/4/2023
2018-2019,10/28/2018,11/3/2018,2018-10-28 - 2018-11-03,43,14,11/4/2023,157.64,3/4/2023
2018-2019,11/4/2018,11/10/2018,2018-11-04 - 2018-11-10,44,15,11/11/2023,160.55,3/4/2023
2018-2019,11/11/2018,11/17/2018,2018-11-11 - 2018-11-17,45,16,11/18/2023,162.96,3/4/2023
2018-2019,11/18/2018,11/24/2018,2018-11-18 - 2018-11-24,46,17,11/25/2023,163.95,3/4/2023
2018-2019,11/25/2018,12/1/2018,2018-11-25 - 2018-12-01,47,18,12/2/2023,165.5,3/4/2023
2018-2019,12/2/2018,12/8/2018,2018-12-02 - 2018-12-08,48,19,12/9/2023,166.54,3/4/2023
2018-2019,12/9/2018,12/15/2018,2018-12-09 - 2018-12-15,49,20,12/16/2023,167.79,3/4/2023
2018-2019,12/16/2018,12/22/2018,2018-12-16 - 2018-12-22,50,21,12/23/2023,168.26,3/4/2023
2018-2019,12/23/2018,12/29/2018,2018-12-23 - 2018-12-29,51,22,12/30/2023,168.4,3/4/2023
2018-2019,12/30/2018,1/5/2019,2018-12-30 - 2019-01-05,52,23,1/6/2024,168.85,3/4/2023
2018-2019,1/6/2019,1/12/2019,2019-01-06 - 2019-01-12,1,24,1/13/2024,169.3,3/4/2023
2018-2019,1/13/2019,1/19/2019,2019-01-13 - 2019-01-19,2,25,1/20/2024,169.66,3/4/2023
2018-2019,1/20/2019,1/26/2019,2019-01-20 - 2019-01-26,3,26,1/27/2024,169.89,3/4/2023
2018-2019,1/27/2019,2/2/2019,2019-01-27 - 2019-02-02,4,27,2/3/2024,170.09,3/4/2023
2018-2019,2/3/2019,2/9/2019,2019-02-03 - 2019-02-09,5,28,2/10/2024,170.3,3/4/2023
2018-2019,2/10/2019,2/16/2019,2019-02-10 - 2019-02-16,6,29,2/17/2024,170.48,3/4/2023
2018-2019,2/17/2019,2/23/2019,2019-02-17 - 2019-02-23,7,30,2/24/2024,170.62,3/4/2023
2018-2019,2/24/2019,3/2/2019,2019-02-24 - 2019-03-02,8,31,3/2/2024,170.73,3/4/2023
2018-2019,3/3/2019,3/9/2019,2019-03-03 - 2019-03-09,9,32,3/9/2024,170.73,3/4/2023
2019-2020,7/28/2019,8/3/2019,2019-07-28 - 2019-08-03,30,1,8/5/2023,4.12,3/9/2024
2019-2020,8/4/2019,8/10/2019,2019-08-04 - 2019-08-10,31,2,8/12/2023,8.74,3/9/2024
2019-2020,8/11/2019,8/17/2019,2019-08-11 - 2019-08-17,32,3,8/19/2023,14.98,3/9/2024
2019-2020,8/18/2019,8/24/2019,2019-08-18 - 2019-08-24,33,4,8/26/2023,26.9,3/9/2024
2019-2020,8/25/2019,8/31/2019,2019-08-25 - 2019-08-31,34,5,9/2/2023,41.82,3/9/2024
2019-2020,9/1/2019,9/7/2019,2019-09-01 - 2019-09-07,35,6,9/9/2023,51.8,3/9/2024
2019-2020,9/8/2019,9/14/2019,2019-09-08 - 2019-09-14,36,7,9/16/2023,63.13,3/9/2024
2019-2020,9/15/2019,9/21/2019,2019-09-15 - 2019-09-21,37,8,9/23/2023,76.18,3/9/2024
2019-2020,9/22/2019,9/28/2019,2019-09-22 - 2019-09-28,38,9,9/30/2023,94.31,3/9/2024
2019-2020,9/29/2019,10/5/2019,2019-09-29 - 2019-10-05,39,10,10/7/2023,109.68,3/9/2024
2019-2020,10/6/2019,10/12/2019,2019-10-06 - 2019-10-12,40,11,10/14/2023,122.75,3/9/2024
2019-2020,10/13/2019,10/19/2019,2019-10-13 - 2019-10-19,41,12,10/21/2023,134.81,3/9/2024
2019-2020,10/20/2019,10/26/2019,2019-10-20 - 2019-10-26,42,13,10/28/2023,144.4,3/9/2024
2019-2020,10/27/2019,11/2/2019,2019-10-27 - 2019-11-02,43,14,11/4/2023,151.9,3/9/2024
2019-2020,11/3/2019,11/9/2019,2019-11-03 - 2019-11-09,44,15,11/11/2023,159.55,3/9/2024
2019-2020,11/10/2019,11/16/2019,2019-11-10 - 2019-11-16,45,16,11/18/2023,164.88,3/9/2024
2019-2020,11/17/2019,11/23/2019,2019-11-17 - 2019-11-23,46,17,11/25/2023,167.71,3/9/2024
2019-2020,11/24/2019,11/30/2019,2019-11-24 - 2019-11-30,47,18,12/2/2023,168.52,3/9/2024
2019-2020,12/1/2019,12/7/2019,2019-12-01 - 2019-12-07,48,19,12/9/2023,169.98,3/9/2024
2019-2020,12/8/2019,12/14/2019,2019-12-08 - 2019-12-14,49,20,12/16/2023,170.96,3/9/2024
2019-2020,12/15/2019,12/21/2019,2019-12-15 - 2019-12-21,50,21,12/23/2023,171.72,3/9/2024
2019-2020,12/22/2019,12/28/2019,2019-12-22 - 2019-12-28,51,22,12/30/2023,171.92,3/9/2024
2019-2020,12/29/2019,1/4/2020,2019-12-29 - 2020-01-04,52,23,1/6/2024,172.07,3/9/2024
2019-2020,1/5/2020,1/11/2020,2020-01-05 - 2020-01-11,1,24,1/13/2024,172.97,3/9/2024
2019-2020,1/12/2020,1/18/2020,2020-01-12 - 2020-01-18,2,25,1/20/2024,173.5,3/9/2024
