"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
0,0,0,0,0
2,1,1.7,1.14,0.57
X,X,X,X,X
X,X,X,X,X
43,40,9.51,4.93,4.58
1,0,0.44,0.44,0
2,3,4.72,1.89,2.83
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4,0,1.39,1.39,0
X,X,X,X,X
0,0,0,0,0
1,0,1.23,1.23,0
2,1,1.69,1.12,0.56
1,0,0.81,0.81,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
1,0,1.19,1.19,0
1,1,0.26,0.13,0.13
0,0,0,0,0
X,X,X,X,X
2,2,0.91,0.46,0.46
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
1,0,1.09,1.09,0
0,0,0,0,0
1,1,7.41,3.7,3.7
2,1,0.54,0.36,0.18
1,0,0.3,0.3,0
0,0,0,0,0
0,0,0,0,0
1,1,1.27,0.64,0.64
0,0,0,0,0
3,0,1.49,1.49,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,3,1.74,0,1.74
X,X,X,X,X
1,0,1,1,0
0,0,0,0,0
1,2,0.72,0.24,0.48
0,1,0.59,0,0.59
0,1,0.51,0,0.51
X,X,X,X,X
X,X,X,X,X
33,17,5.59,3.69,1.9
1,3,1.32,0.33,0.99
3,2,4.31,2.59,1.72
X,X,X,X,X
0,0,0,0,0
1,0,1.18,1.18,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6,2,2.52,1.89,0.63
X,X,X,X,X
0,1,4.76,0,4.76
1,0,1.12,1.12,0
2,0,0.92,0.92,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
1,0,2,2,0
1,0,0.12,0.12,0
2,0,4.35,4.35,0
X,X,X,X,X
2,2,0.75,0.38,0.38
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4,6,1.5,0.6,0.9
2,0,0.57,0.57,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
1,3,1.37,0.34,1.02
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
3,3,1.27,0.64,0.64
0,0,0,0,0
0,1,0.54,0,0.54
X,X,X,X,X
X,X,X,X,X
38,14,5.86,4.28,1.58
5,5,2.92,1.46,1.46
2,2,2.99,1.49,1.49
X,X,X,X,X
1,0,0.77,0.77,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,4,1.84,0.79,1.05
X,X,X,X,X
1,0,5.88,5.88,0
1,0,1.11,1.11,0
2,0,0.91,0.91,0
1,0,0.81,0.81,0
X,X,X,X,X
0,0,0,0,0
1,0,2.08,2.08,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
4,1,0.63,0.51,0.13
0,0,0,0,0
X,X,X,X,X
5,1,1.19,0.99,0.2
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,1,2.7,0,2.7
5,2,1.13,0.81,0.32
4,0,0.99,0.99,0
0,0,0,0,0
0,0,0,0,0
1,0,0.45,0.45,0
0,0,0,0,0
2,0,0.75,0.75,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
3,4,2.25,0.96,1.29
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
3,1,0.72,0.54,0.18
1,0,0.52,0.52,0
1,0,0.56,0.56,0
X,X,X,X,X
X,X,X,X,X
61,36,8.22,5.17,3.05
2,3,1.34,0.54,0.8
1,3,4.44,1.11,3.33
X,X,X,X,X
1,0,0.84,0.84,0
0,1,0.97,0,0.97
0,0,0,0,0
1,0,2.22,2.22,0
0,0,0,0,0
5,7,2.59,1.08,1.51
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
6,1,2.47,2.12,0.35
1,0,0.87,0.87,0
1,0,4.35,4.35,0
3,0,0.78,0.78,0
1,0,1.59,1.59,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
1,0,1.08,1.08,0
3,0,0.39,0.39,0
1,0,0.95,0.95,0
X,X,X,X,X
3,1,0.61,0.46,0.15
0,0,0,0,0
6,1,3.33,2.86,0.48
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
1,0,2.04,2.04,0
10,3,1.9,1.46,0.44
0,0,0,0,0
0,0,0,0,0
1,0,0.89,0.89,0
1,0,0.43,0.43,0
1,1,0.72,0.36,0.36
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
3,7,3.41,1.02,2.39
X,X,X,X,X
1,0,0.77,0.77,0
1,0,1.69,1.69,0
7,1,1.52,1.33,0.19
2,0,0.96,0.96,0
1,0,0.53,0.53,0
1,0,8.33,8.33,0
X,X,X,X,X
49,36,7.44,4.29,3.15
5,3,1.9,1.19,0.71
2,2,2.74,1.37,1.37
X,X,X,X,X
1,0,0.59,0.59,0
0,1,0.93,0,0.93
0,0,0,0,0
0,0,0,0,0
1,0,0.41,0.41,0
5,9,3.06,1.09,1.97
X,X,X,X,X
0,0,0,0,0
2,0,1.48,1.48,0
11,1,3.79,3.47,0.32
1,0,0.6,0.6,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
2,0,1.52,1.52,0
3,1,0.45,0.34,0.11
0,0,0,0,0
X,X,X,X,X
3,0,0.38,0.38,0
0,0,0,0,0
1,0,0.55,0.55,0
1,0,0.83,0.83,0
X,X,X,X,X
1,0,0.65,0.65,0
0,0,0,0,0
0,0,0,0,0
13,2,1.64,1.42,0.22
3,1,0.9,0.67,0.22
2,0,13.33,13.33,0
1,0,0.85,0.85,0
3,3,2.48,1.24,1.24
0,1,0.29,0,0.29
1,0,0.36,0.36,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
3,5,2.37,0.89,1.48
X,X,X,X,X
1,0,0.71,0.71,0
0,0,0,0,0
5,4,1.53,0.85,0.68
1,0,0.37,0.37,0
3,0,1.24,1.24,0
1,0,3.13,3.13,0
X,X,X,X,X
39,31,7.59,4.23,3.36
10,9,4.41,2.32,2.09
2,1,2.88,1.92,0.96
X,X,X,X,X
1,1,1.24,0.62,0.62
1,0,1.05,1.05,0
0,0,0,0,0
0,0,0,0,0
1,0,0.41,0.41,0
4,8,2.49,0.83,1.66
X,X,X,X,X
1,0,1.85,1.85,0
4,0,2.3,2.3,0
17,0,3.45,3.45,0
5,0,2.79,2.79,0
5,0,11.11,11.11,0
3,1,0.96,0.72,0.24
1,0,1.45,1.45,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
9,1,0.96,0.87,0.1
0,0,0,0,0
X,X,X,X,X
4,1,0.53,0.42,0.11
0,0,0,0,0
0,0,0,0,0
1,0,0.55,0.55,0
X,X,X,X,X
0,1,0.52,0,0.52
1,0,2.13,2.13,0
0,0,0,0,0
9,7,1.35,0.76,0.59
1,1,0.51,0.25,0.25
0,0,0,0,0
0,0,0,0,0
4,0,1.55,1.55,0
1,0,0.27,0.27,0
1,1,0.48,0.24,0.24
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
2,12,3.97,0.57,3.4
X,X,X,X,X
0,0,0,0,0
2,0,4.76,4.76,0
7,1,1.19,1.04,0.15
3,1,1.39,1.04,0.35
1,1,0.68,0.34,0.34
1,0,2.27,2.27,0
X,X,X,X,X
40,24,6.56,4.1,2.46
8,4,2.41,1.61,0.8
3,0,3.06,3.06,0
1,0,5.56,5.56,0
2,1,1.72,1.15,0.57
0,2,1.28,0,1.28
1,0,3.23,3.23,0
1,1,3.08,1.54,1.54
0,0,0,0,0
6,11,3.18,1.12,2.06
X,X,X,X,X
1,0,1.25,1.25,0
1,0,0.45,0.45,0
13,0,2.26,2.26,0
1,0,0.39,0.39,0
2,0,4.17,4.17,0
1,0,0.26,0.26,0
4,0,5.56,5.56,0
1,0,1.28,1.28,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
2,0,1.27,1.27,0
5,3,0.79,0.5,0.3
0,0,0,0,0
X,X,X,X,X
7,3,1.02,0.72,0.31
0,0,0,0,0
5,0,3.27,3.27,0
0,0,0,0,0
X,X,X,X,X
1,0,0.52,0.52,0
0,0,0,0,0
0,1,1.43,0,1.43
7,9,1.23,0.54,0.69
2,0,0.43,0.43,0
0,0,0,0,0
0,0,0,0,0
1,0,0.3,0.3,0
0,0,0,0,0
2,0,0.45,0.45,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
1,12,3.26,0.25,3.01
X,X,X,X,X
2,0,1.47,1.47,0
2,0,4.26,4.26,0
8,1,1.14,1.02,0.13
2,0,0.65,0.65,0
2,0,0.74,0.74,0
1,0,1.89,1.89,0
X,X,X,X,X
35,22,5.63,3.46,2.17
5,1,1.09,0.91,0.18
2,4,4.62,1.54,3.08
1,0,5.56,5.56,0
2,1,1.52,1.01,0.51
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0.33,0,0.33
6,8,2.46,1.05,1.41
0,0,0,0,0
16,0,12.7,12.7,0
2,0,0.77,0.77,0
7,0,1.19,1.19,0
3,0,1.08,1.08,0
0,0,0,0,0
1,0,0.23,0.23,0
1,1,1.96,0.98,0.98
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
1,0,0.86,0.86,0
9,2,0.98,0.8,0.18
1,0,0.54,0.54,0
X,X,X,X,X
3,1,0.39,0.3,0.1
0,0,0,0,0
4,0,2.07,2.07,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
1,0,2.78,2.78,0
1,0,1.3,1.3,0
22,19,3.03,1.63,1.41
1,1,0.41,0.2,0.2
0,0,0,0,0
1,0,0.57,0.57,0
4,2,1.47,0.98,0.49
2,0,0.59,0.59,0
4,0,0.74,0.74,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
4,25,6.68,0.92,5.76
1,0,4.76,4.76,0
1,0,0.69,0.69,0
6,0,9.68,9.68,0
5,2,0.88,0.63,0.25
1,1,0.56,0.28,0.28
1,0,0.35,0.35,0
0,0,0,0,0
X,X,X,X,X
84,28,8.58,6.43,2.14
8,10,2.8,1.25,1.56
1,3,2.86,0.71,2.14
0,0,0,0,0
1,1,0.95,0.48,0.48
2,0,1.48,1.48,0
0,0,0,0,0
0,0,0,0,0
2,0,0.67,0.67,0
19,3,5.26,4.55,0.72
X,X,X,X,X
2,0,1.59,1.59,0
1,0,0.24,0.24,0
6,1,1.05,0.9,0.15
0,1,0.32,0,0.32
3,0,3.9,3.9,0
1,0,0.21,0.21,0
1,1,1.63,0.81,0.81
1,0,1.06,1.06,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
1,0,0.47,0.47,0
13,1,1.03,0.96,0.07
1,1,1.94,0.97,0.97
X,X,X,X,X
6,8,1.38,0.59,0.79
1,0,0.69,0.69,0
3,0,1.58,1.58,0
1,0,0.35,0.35,0
X,X,X,X,X
1,0,0.42,0.42,0
0,0,0,0,0
3,1,3.85,2.88,0.96
25,16,3.22,1.96,1.26
5,1,1.13,0.94,0.19
0,0,0,0,0
0,0,0,0,0
8,5,1.92,1.18,0.74
1,0,0.25,0.25,0
7,0,1.1,1.1,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
7,24,6.9,1.56,5.35
1,0,3.45,3.45,0
0,0,0,0,0
3,0,5.26,5.26,0
17,2,2.28,2.04,0.24
0,0,0,0,0
2,0,0.63,0.63,0
0,0,0,0,0
X,X,X,X,X
60,32,6.74,4.4,2.35
11,5,2.37,1.63,0.74
1,3,2.67,0.67,2
0,0,0,0,0
1,0,0.48,0.48,0
0,1,0.8,0,0.8
1,0,0.85,0.85,0
0,0,0,0,0
0,1,0.29,0,0.29
13,5,4.14,2.99,1.15
X,X,X,X,X
1,0,0.91,0.91,0
2,0,0.44,0.44,0
4,1,0.69,0.55,0.14
1,1,0.56,0.28,0.28
8,0,10.81,10.81,0
0,0,0,0,0
4,0,3.2,3.2,0
1,0,1.22,1.22,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
2,0,0.91,0.91,0
9,4,0.93,0.64,0.29
1,0,0.45,0.45,0
X,X,X,X,X
9,2,0.94,0.77,0.17
0,0,0,0,0
7,2,3.53,2.75,0.78
5,1,1.87,1.56,0.31
X,X,X,X,X
3,0,1.12,1.12,0
0,0,0,0,0
4,0,3.92,3.92,0
26,12,2.94,2.01,0.93
14,0,2.53,2.53,0
1,0,2.13,2.13,0
0,1,0.51,0,0.51
12,0,1.78,1.78,0
4,1,1.26,1.01,0.25
5,0,0.76,0.76,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
11,13,5.08,2.33,2.75
X,X,X,X,X
1,0,0.62,0.62,0
2,0,3.08,3.08,0
19,2,2.38,2.15,0.23
5,1,1.51,1.26,0.25
3,1,1.15,0.86,0.29
2,0,1.98,1.98,0
X,X,X,X,X
81,50,8.54,5.28,3.26
8,5,1.66,1.02,0.64
2,3,4.1,1.64,2.46
0,0,0,0,0
3,0,1.59,1.59,0
0,0,0,0,0
1,0,0.72,0.72,0
0,0,0,0,0
1,0,0.33,0.33,0
15,1,2.99,2.8,0.19
X,X,X,X,X
1,0,0.79,0.79,0
2,0,0.43,0.43,0
6,0,0.8,0.8,0
3,0,1.01,1.01,0
5,0,6.33,6.33,0
2,0,0.35,0.35,0
0,0,0,0,0
1,1,1.68,0.84,0.84
1,0,5.26,5.26,0
X,X,X,X,X
X,X,X,X,X
4,0,1.62,1.62,0
11,4,0.99,0.73,0.26
3,0,1.29,1.29,0
X,X,X,X,X
12,4,1.34,1,0.33
4,1,2.59,2.07,0.52
6,3,2.81,1.88,0.94
0,0,0,0,0
X,X,X,X,X
1,0,0.43,0.43,0
0,0,0,0,0
0,3,1.95,0,1.95
20,12,2.2,1.38,0.83
9,2,1.99,1.62,0.36
2,0,4.26,4.26,0
3,0,1.6,1.6,0
13,2,2.09,1.82,0.28
0,0,0,0,0
7,2,1.17,0.91,0.26
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
9,18,5.67,1.89,3.78
2,0,13.33,13.33,0
6,0,3.43,3.43,0
5,0,6.76,6.76,0
34,3,4.01,3.69,0.33
6,0,1.42,1.42,0
1,2,0.81,0.27,0.54
3,0,2.8,2.8,0
X,X,X,X,X
92,65,10.54,6.17,4.36
20,3,2.98,2.59,0.39
0,0,0,0,0
0,2,4.55,0,4.55
1,0,0.46,0.46,0
0,1,0.7,0,0.7
0,0,0,0,0
0,0,0,0,0
1,1,0.6,0.3,0.3
21,5,5.2,4.2,1
X,X,X,X,X
0,0,0,0,0
1,2,0.61,0.2,0.41
7,0,0.88,0.88,0
2,1,1.05,0.7,0.35
13,0,18.84,18.84,0
1,0,0.2,0.2,0
0,0,0,0,0
1,0,0.88,0.88,0
1,0,4.76,4.76,0
X,X,X,X,X
X,X,X,X,X
4,0,1.26,1.26,0
18,4,1.35,1.1,0.25
3,2,1.81,1.08,0.72
X,X,X,X,X
8,1,0.67,0.59,0.07
2,0,0.93,0.93,0
7,2,2.99,2.33,0.66
2,1,0.84,0.56,0.28
X,X,X,X,X
2,0,0.68,0.68,0
0,0,0,0,0
1,1,1.61,0.81,0.81
34,17,3.18,2.12,1.06
7,0,1.25,1.25,0
0,0,0,0,0
3,1,1.72,1.29,0.43
12,3,2.11,1.69,0.42
0,0,0,0,0
4,0,0.6,0.6,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
5,25,5.33,0.89,4.44
2,0,10.53,10.53,0
2,1,1.44,0.96,0.48
2,0,2.9,2.9,0
52,15,6.59,5.12,1.48
18,1,4.11,3.9,0.22
5,1,1.4,1.17,0.23
1,0,0.74,0.74,0
X,X,X,X,X
90,75,10.4,5.67,4.73
18,6,2.75,2.06,0.69
3,3,3.23,1.61,1.61
0,1,2.08,0,2.08
6,0,3.45,3.45,0
4,0,2.41,2.41,0
0,0,0,0,0
1,0,1.18,1.18,0
2,0,0.65,0.65,0
38,9,7.22,5.84,1.38
X,X,X,X,X
1,0,0.81,0.81,0
5,0,1.07,1.07,0
8,0,0.93,0.93,0
2,3,2,0.8,1.2
13,0,15.85,15.85,0
33,3,6.08,5.57,0.51
0,0,0,0,0
1,0,0.88,0.88,0
6,0,22.22,22.22,0
X,X,X,X,X
X,X,X,X,X
20,1,5.6,5.33,0.27
16,5,1.27,0.97,0.3
1,2,0.9,0.3,0.6
X,X,X,X,X
16,3,1.38,1.16,0.22
2,0,0.82,0.82,0
13,5,5.71,4.13,1.59
5,0,1.2,1.2,0
X,X,X,X,X
4,2,2,1.33,0.67
0,0,0,0,0
1,0,0.58,0.58,0
62,49,5.85,3.27,2.58
22,0,3.56,3.56,0
1,0,1.75,1.75,0
0,0,0,0,0
9,6,2.16,1.3,0.87
1,0,0.23,0.23,0
8,3,1.45,1.05,0.39
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
9,23,5.58,1.57,4.01
8,0,34.78,34.78,0
3,3,2.71,1.36,1.36
8,0,9.88,9.88,0
70,8,7.18,6.45,0.74
33,0,6.29,6.29,0
4,0,1,1,0
4,0,3.05,3.05,0
X,X,X,X,X
137,76,11.53,7.41,4.11
24,5,3.12,2.58,0.54
12,5,8.33,5.88,2.45
2,1,5.08,3.39,1.69
8,2,3.62,2.9,0.72
1,0,0.45,0.45,0
2,1,2.1,1.4,0.7
0,0,0,0,0
4,1,1.23,0.98,0.25
46,6,7.48,6.62,0.86
2,0,5.26,5.26,0
0,0,0,0,0
13,1,2.6,2.41,0.19
8,1,1.03,0.91,0.11
2,2,1.23,0.62,0.62
23,0,16.67,16.67,0
8,7,2.47,1.32,1.15
3,0,3.06,3.06,0
4,0,3.05,3.05,0
11,0,44,44,0
X,X,X,X,X
X,X,X,X,X
17,2,4.62,4.14,0.49
18,6,1.25,0.93,0.31
2,3,1.42,0.57,0.85
X,X,X,X,X
25,5,2.09,1.74,0.35
5,0,2.29,2.29,0
23,3,7.95,7.03,0.92
0,1,0.22,0,0.22
X,X,X,X,X
4,3,2.08,1.19,0.89
0,0,0,0,0
5,2,3.8,2.72,1.09
108,68,8.62,5.29,3.33
10,0,1.61,1.61,0
1,0,1.06,1.06,0
0,0,0,0,0
6,3,1.14,0.76,0.38
3,2,1.28,0.77,0.51
10,0,1.22,1.22,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
11,31,6.26,1.64,4.62
X,X,X,X,X
4,2,2.42,1.61,0.81
14,0,14,14,0
86,13,8.54,7.42,1.12
54,3,9.93,9.41,0.52
6,0,1.23,1.23,0
3,0,1.91,1.91,0
X,X,X,X,X
152,91,13.43,8.4,5.03
39,8,4.63,3.84,0.79
11,3,6.86,5.39,1.47
4,2,10.91,7.27,3.64
8,1,3.25,2.89,0.36
6,3,4.21,2.8,1.4
8,0,4.76,4.76,0
0,0,0,0,0
3,0,0.73,0.73,0
74,16,10.42,8.56,1.85
6,0,8.57,8.57,0
5,1,4.2,3.5,0.7
6,3,1.5,1,0.5
23,2,2.59,2.39,0.21
6,0,1.69,1.69,0
12,0,9.92,9.92,0
6,18,3.44,0.86,2.58
1,0,1.02,1.02,0
8,1,6.77,6.02,0.75
15,0,33.33,33.33,0
X,X,X,X,X
X,X,X,X,X
12,0,3.17,3.17,0
13,13,1.32,0.66,0.66
3,0,0.85,0.85,0
X,X,X,X,X
33,11,2.66,1.99,0.66
9,2,3.89,3.18,0.71
31,8,12.38,9.84,2.54
7,0,1.43,1.43,0
X,X,X,X,X
11,1,2.67,2.44,0.22
0,0,0,0,0
9,0,3.78,3.78,0
146,77,9.22,6.04,3.18
30,0,4.84,4.84,0
0,1,1.25,0,1.25
2,0,0.66,0.66,0
14,7,2.76,1.84,0.92
13,2,3.36,2.91,0.45
26,1,3.09,2.98,0.11
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
11,22,6.38,2.13,4.26
7,0,38.89,38.89,0
10,1,5.02,4.57,0.46
22,0,15.83,15.83,0
172,11,14.39,13.52,0.86
82,4,13.07,12.46,0.61
5,2,1.61,1.15,0.46
8,0,4.44,4.44,0
X,X,X,X,X
220,107,16.61,11.17,5.43
42,11,4.72,3.74,0.98
11,4,6.58,4.82,1.75
4,4,10.13,5.06,5.06
16,0,6.78,6.78,0
6,0,2.71,2.71,0
8,0,5.23,5.23,0
2,0,2.35,2.35,0
6,1,2.04,1.75,0.29
84,24,12.05,9.38,2.68
7,0,9.86,9.86,0
23,1,9.64,9.24,0.4
9,2,1.71,1.4,0.31
26,8,3.56,2.73,0.84
14,4,5.36,4.17,1.19
14,0,10.94,10.94,0
19,8,4.49,3.16,1.33
1,0,1,1,0
3,1,3.51,2.63,0.88
14,0,32.56,32.56,0
X,X,X,X,X
X,X,X,X,X
30,1,7.52,7.28,0.24
30,23,2.86,1.62,1.24
11,4,3.71,2.72,0.99
X,X,X,X,X
50,10,3.92,3.26,0.65
4,1,1.92,1.54,0.38
48,5,12.99,11.76,1.23
6,0,1.43,1.43,0
X,X,X,X,X
11,2,3.11,2.63,0.48
0,0,0,0,0
11,9,9.39,5.16,4.23
160,58,9.31,6.83,2.48
42,3,6.63,6.19,0.44
1,0,0.98,0.98,0
6,0,3.33,3.33,0
26,8,4.06,3.1,0.95
14,5,3.56,2.63,0.94
32,2,4.27,4.02,0.25
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
20,21,5.26,2.57,2.7
4,0,20,20,0
17,1,6.77,6.39,0.38
17,4,15.44,12.5,2.94
192,21,14.8,13.34,1.46
75,3,11.57,11.13,0.45
4,1,1.04,0.84,0.21
17,0,7.62,7.62,0
X,X,X,X,X
120,112,11.96,6.19,5.77
58,4,5.89,5.51,0.38
24,5,10.74,8.89,1.85
8,7,16.48,8.79,7.69
29,4,9.35,8.22,1.13
10,5,5.73,3.82,1.91
20,0,9.62,9.62,0
1,0,1.08,1.08,0
5,4,2,1.11,0.89
87,15,15.81,13.49,2.33
7,0,9.09,9.09,0
4,3,3.52,2.01,1.51
10,8,2.56,1.42,1.14
44,2,3.81,3.65,0.17
31,3,8.17,7.45,0.72
10,1,6.4,5.81,0.58
22,8,4.18,3.07,1.12
6,2,6.61,4.96,1.65
10,0,6.8,6.8,0
6,1,13.46,11.54,1.92
X,X,X,X,X
X,X,X,X,X
59,4,11.15,10.44,0.71
39,36,3.29,1.71,1.58
10,10,5.15,2.58,2.58
X,X,X,X,X
81,12,5,4.36,0.65
9,1,3.22,2.89,0.32
55,12,14.16,11.63,2.54
8,2,2.1,1.68,0.42
X,X,X,X,X
10,4,2.85,2.03,0.81
3,0,4.35,4.35,0
8,3,4.18,3.04,1.14
214,76,10.69,7.89,2.8
55,4,8.13,7.58,0.55
5,1,4.76,3.97,0.79
5,1,2.35,1.96,0.39
31,11,4.51,3.33,1.18
13,5,3.38,2.44,0.94
72,12,7.87,6.75,1.12
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
21,16,5.08,2.88,2.2
7,0,35,35,0
35,3,11.11,10.23,0.88
47,4,25.76,23.74,2.02
336,42,20.92,18.59,2.32
75,4,11.62,11.03,0.59
6,1,1.42,1.21,0.2
15,2,7.83,6.91,0.92
X,X,X,X,X
180,113,14.92,9.16,5.75
75,10,7.76,6.85,0.91
27,2,13.3,12.39,0.92
11,5,15.53,10.68,4.85
51,2,12.8,12.32,0.48
14,4,7.17,5.58,1.59
27,1,12.12,11.69,0.43
3,0,3.57,3.57,0
16,3,3.94,3.32,0.62
119,18,14.67,12.74,1.93
8,1,10.98,9.76,1.22
8,3,5.58,4.06,1.52
13,7,2.75,1.79,0.96
68,11,6.73,5.79,0.94
45,1,9.11,8.91,0.2
8,0,7.21,7.21,0
49,32,11.08,6.7,4.38
9,0,7.5,7.5,0
19,1,11.56,10.98,0.58
9,0,23.68,23.68,0
X,X,X,X,X
X,X,X,X,X
167,293,22.19,8.06,14.13
55,53,4.38,2.23,2.15
16,8,5.21,3.47,1.74
X,X,X,X,X
126,18,6.59,5.76,0.82
18,1,5.43,5.14,0.29
81,21,17.38,13.8,3.58
6,4,1.95,1.17,0.78
X,X,X,X,X
18,4,4.67,3.82,0.85
1,0,1.18,1.18,0
11,2,4.89,4.14,0.75
399,96,17.68,14.25,3.43
66,2,9.25,8.98,0.27
3,3,4.8,2.4,2.4
14,0,5.26,5.26,0
71,17,8.93,7.21,1.73
27,3,4.8,4.32,0.48
80,9,7.53,6.77,0.76
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
95,28,12.99,10.03,2.96
X,X,X,X,X
50,1,13.71,13.44,0.27
82,7,30.27,27.89,2.38
601,73,28.85,25.73,3.13
115,7,14.01,13.2,0.8
26,3,4.87,4.36,0.5
18,9,9.68,6.45,3.23
X,X,X,X,X
214,116,15.98,10.36,5.62
131,23,11.29,9.6,1.69
25,2,11.16,10.33,0.83
23,8,25,18.55,6.45
87,13,19.19,16.7,2.5
34,13,12.43,8.99,3.44
30,1,11.79,11.41,0.38
7,1,8.08,7.07,1.01
45,7,8.95,7.75,1.2
281,28,24.47,22.25,2.22
16,0,15.84,15.84,0
25,3,11.11,9.92,1.19
36,11,5.92,4.53,1.39
114,19,9.22,7.9,1.32
78,10,15.58,13.81,1.77
20,2,14.01,12.74,1.27
68,9,8.89,7.85,1.04
7,1,8.25,7.22,1.03
23,1,10.67,10.22,0.44
18,1,30.16,28.57,1.59
X,X,X,X,X
X,X,X,X,X
103,19,20.5,17.31,3.19
102,75,6.91,3.98,2.93
16,3,3.54,2.98,0.56
X,X,X,X,X
368,34,14.89,13.63,1.26
71,1,17.18,16.95,0.24
203,60,32.07,24.76,7.32
15,4,3.33,2.63,0.7
X,X,X,X,X
24,4,6.02,5.16,0.86
3,0,4.69,4.69,0
23,5,8.48,6.97,1.52
882,185,26.35,21.78,4.57
93,8,13.2,12.16,1.05
16,2,10.98,9.76,1.22
15,2,6.14,5.42,0.72
109,27,12.04,9.65,2.39
82,6,12.19,11.36,0.83
140,8,11.05,10.46,0.6
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
292,39,23.07,20.35,2.72
X,X,X,X,X
102,4,26.5,25.5,1
136,17,36.87,32.77,4.1
917,156,34.14,29.18,4.96
245,28,21.53,19.32,2.21
49,11,8.73,7.13,1.6
29,19,14.81,8.95,5.86
X,X,X,X,X
338,256,20.97,11.94,9.04
301,44,17.7,15.44,2.26
25,4,11.98,10.33,1.65
28,17,27.78,17.28,10.49
199,9,28.45,27.22,1.23
