"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
0,1,5.88,0,5.88
5,3,2.11,1.32,0.79
0,0,0,0,0
1,0,1.1,1.1,0
1,3,3.48,0.87,2.61
0,0,0,0,0
1,1,0.63,0.31,0.31
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
3,0,0.54,0.54,0
0,1,0.32,0,0.32
1,0,0.61,0.61,0
0,0,0,0,0
1,0,1.18,1.18,0
0,1,1.27,0,1.27
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
2,0,0.87,0.87,0
4,2,0.49,0.32,0.16
0,0,0,0,0
X,X,X,X,X
5,6,1.48,0.67,0.81
0,0,0,0,0
0,0,0,0,0
2,1,0.61,0.41,0.2
X,X,X,X,X
0,1,0.35,0,0.35
0,0,0,0,0
0,8,3.48,0,3.48
11,6,1.4,0.9,0.49
0,1,0.24,0,0.24
0,1,0.85,0,0.85
0,0,0,0,0
1,0,0.34,0.34,0
0,5,1.02,0,1.02
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
3,3,2.4,1.2,1.2
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
6,3,1.03,0.69,0.34
1,0,0.26,0.26,0
1,0,0.34,0.34,0
0,0,0,0,0
X,X,X,X,X
41,31,4.87,2.77,2.1
7,18,3.83,1.07,2.76
1,2,1.6,0.53,1.06
0,0,0,0,0
17,1,4.8,4.53,0.27
0,0,0,0,0
0,0,0,0,0
1,0,0.96,0.96,0
0,0,0,0,0
4,0,0.91,0.91,0
X,X,X,X,X
0,0,0,0,0
1,1,0.92,0.46,0.46
2,1,0.54,0.36,0.18
0,0,0,0,0
5,1,3.41,2.84,0.57
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,9.09,9.09,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
2,2,0.3,0.15,0.15
0,0,0,0,0
0,0,0,0,0
4,1,0.7,0.56,0.14
0,0,0,0,0
0,0,0,0,0
2,0,0.43,0.43,0
X,X,X,X,X
1,0,0.39,0.39,0
0,0,0,0,0
0,6,3.03,0,3.03
16,15,2.31,1.19,1.12
0,0,0,0,0
0,0,0,0,0
1,0,0.45,0.45,0
0,1,0.38,0,0.38
0,0,0,0,0
0,0,0,0,0
1,0,5,5,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
4,1,1.79,1.43,0.36
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
4,2,0.64,0.42,0.21
0,0,0,0,0
1,1,0.56,0.28,0.28
0,0,0,0,0
X,X,X,X,X
22,24,4.36,2.08,2.27
5,21,3.11,0.6,2.51
0,0,0,0,0
0,0,0,0,0
7,4,3.02,1.92,1.1
0,0,0,0,0
0,0,0,0,0
2,3,5.38,2.15,3.23
0,2,0.77,0,0.77
4,0,0.89,0.89,0
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
4,1,0.86,0.69,0.17
0,0,0,0,0
1,0,0.48,0.48,0
0,1,0.21,0,0.21
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
1,2,0.23,0.08,0.15
3,1,2.29,1.71,0.57
0,0,0,0,0
3,3,0.73,0.37,0.37
0,0,0,0,0
0,0,0,0,0
1,3,0.79,0.2,0.59
X,X,X,X,X
1,4,1.56,0.31,1.25
0,0,0,0,0
