PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
TOTAL PATIENTS
46842
48023
54961
57044
55506
51062
64463
66749
52890
67887
61314
47719
48429
52333
67228
70828
67898
69999
69486
66322
62675
60247
57449
50582
53889
48699
48105
42959
42140
39496
38324
35821
32200
27263
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
70272
77092
86720
95437
101821
102108
103429
83346
103241
103600
97416
71380
77216
97593
94632
106864
111421
111667
114244
104830
105946
97176
97612
87063
84079
79237
71588
64515
64253
64824
59546
55872
53444
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
80941
93434
113187
107163
131448
126461
132304
108377
142980
139657
143607
116927
121233
141197
140143
132462
134511
136683
137511
131648
116119
112138
106737
100814
100658
101612
91806
90035
76910
79100
73550
67962
59761
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
84727
116917
134587
145165
150676
155700
163893
131168
178641
178529
165935
139431
122719
148538
177720
176566
188879
182792
179586
171948
162402
150399
155916
143075
135154
129934
112235
101175
105580
103824
99802
92532
70113
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
137156
159264
165425
174566
182365
190992
187174
141523
181932
180095
170971
148450
106451
132274
171747
180969
166968
188431
192039
187242
184544
186608
168647
154942
148527
142223
138645
130554
124465
117581
109945
106720
100422
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
176569
186355
192469
207512
223208
229454
223712
223818
188814
243078
235136
216179
144287
171193
234513
231550
235566
246969
245751
253656
241110
241683
228549
220250
196724
198913
192349
194383
177577
176111
170406
157191
142514
95728
81063
79090
78023
72110
71593
64699
72972
69593
71103
71466
69844
69003
70178
70000
65474
74328
72401
71273
254144
281045
287436
312412
331980
335258
348359
358275
272576
392274
388269
345097
232344
248992
314349
308614
289774
287586
295646
288762
282347
281202
271597
257294
243802
248805
234998
212432
209178
203802
194708
184038
168276
155386
133008
120884
133117
128740
124037
124146
90238
97135
95515
92216
116693
89644
95481
91326
96656
104207
118343
117483
114857
353449
355116
378094
380921
377692
380718
387182
295546
387004
374356
355806
259639
283617
369455
378024
368678
405254
406772
421461
419426
397883
383196
367292
355454
335940
334438
315823
314948
305833
302065
277120
263009
238494
194550
167661
171960
154899
170645
160216
142302
157068
149699
147612
142468
145121
150673
151290
151854
136817
150127
156067
149205
333164
338343
369609
377999
398840
376924
382697
298578
402264
385248
383548
333921
289638
343871
393716
381699
411882
411291
418286
401661
400827
399459
405365
376971
369804
362605
349662
334760
310641
305389
288278
276338
256267
231075
190252
213847
169353
167770
154741
139216
175259
172654
172581
161937
168024
167183
154071
153390
144289
159603
157627
160732
375076
384920
419005
434287
445334
454901
453945
336822
452089
436741
435177
365334
286087
369521
416464
395477
446119
428241
454533
429057
442099
433281
428255
395394
385735
386327
361955
357183
356055
347413
317311
296262
285031
259803
220020
225197
217982
216378
218376
176387
199040
206574
205241
