Characteristics of Influenza-Associated Pediatric Deaths (data downloaded on 3/7/2025)
PERCENT
19.1
10.6
17
31.9
21.3
55.3
44.7
66.7
33.3
100
12.8
2.1
12.8
14.9
8.5
8.5
2.1
8.5
4.3
2.1
4.3
2.1
2.1
2.1
2.1
6.4
4.3
17
17
66
17.4
28.3
10.9
28.3
15.2
58.7
41.3
52.6
47.4
80
20
10.9
17.4
17.4
8.7
6.5
6.5
6.5
2.2
4.3
2.2
2.2
4.3
2.2
2.2
2.2
4.3
20
26.7
53.3
14.3
13
14.3
39
19.5
53.2
46.8
38
62
75.8
24.2
7.8
6.5
14.3
10.4
13
11.7
3.9
5.2
5.2
2.6
1.3
2.6
1.3
1.3
2.6
2.6
1.3
1.3
5.2
24.7
18.2
57.1
11.4
15.9
20.5
30.7
21.6
53.4
46.6
51.2
48.8
32.6
67.4
3.4
11.4
13.6
11.4
12.5
6.8
5.7
6.8
4.5
2.3
1.1
1.1
1.1
2.3
2.3
1.1
1.1
1.1
2.3
1.1
1.1
1.1
4.5
17
21.6
61.4
8.8
13.9
10.2
31.4
35.8
50.4
49.6
53.4
46.6
42
58
2.9
4.4
10.3
7.4
13.2
9.6
8.8
5.9
4.4
2.2
1.5
4.4
2.9
1.5
0.7
2.2
0.7
1.5
1.5
0.7
1.5
1.5
0.7
1.5
1.5
6.6
11.3
14.3
74.4
7.3
12.2
10.8
36.5
33.3
49
51
68.8
31.2
29.7
70.3
2.5
8.2
9.3
9.3
7.9
6.5
4.7
3.6
5.4
3.6
1.4
2.2
1.8
1.1
1.1
1.8
1.4
2.5
1.4
2.2
2.5
1.1
1.8
0.4
0.7
2.5
0.7
0.4
12.2
13.6
17.2
69.2
13.7
16.1
19.4
27.4
23.4
62.1
37.9
50
50
41.5
58.5
6.1
6.1
7
12.3
8.8
8.8
8.8
7
4.4
7
3.5
2.6
0.9
1.8
1.8
0.9
1.8
0.9
0.9
1.8
0.9
0.9
1.8
3.5
17.9
17.9
64.2
18.9
5.4
21.6
40.5
13.5
48.6
51.4
52.9
47.1
31.6
68.4
2.9
8.6
14.3
8.6
5.7
8.6
2.9
8.6
5.7
2.9
2.9
2.9
2.9
2.9
2.9
2.9
2.9
2.9
2.9
2.9
2.9
20
28.6
51.4
9.9
14
12.3
33.9
29.8
50.9
49.1
55.5
44.5
45.8
54.2
2.5
9.9
13
16.7
8
6.8
6.2
6.8
4.3
0.6
2.5
1.2
0.6
1.2
3.1
1.2
3.1
1.2
0.6
0.6
0.6
0.6
0.6
0.6
7.4
17.9
25
57.1
17.1
27
7.2
28.8
19.8
50.5
49.5
52.8
47.2
37.1
62.9
5.1
10.1
15.2
8.1
6.1
7.1
4
5.1
4
3
1
5.1
1
3
1
3
1
3
2
1
1
1
2
7.1
14.2
24.5
61.3
9.5
18.2
15.5
31.1
25.7
52
48
41
59
48.1
51.9
4.3
13
15.2
9.4
5.8
8
8.7
4.3
2.2
1.4
2.2
3.6
0.7
0.7
1.4
0.7
0.7
2.2
1.4
0.7
1.4
2.2
9.4
21.7
18.1
60.1
6.3
17.9
21.1
31.6
23.2
40
60
51.6
48.4
44.4
55.6
4.5
7.9
6.7
7.9
14.6
9
5.6
4.5
5.6
2.2
3.4
1.1
4.5
1.1
2.2
3.4
1.1
1.1
2.2
2.2
1.1
7.9
17
22.3
60.6
6.4
13.6
14.5
36.4
29.1
47.3
52.7
44.4
55.6
44.8
55.2
4.7
8.5
6.6
17
8.5
6.6
7.5
5.7
0.9
2.8
2.8
1.9
1.9
2.8
0.9
1.9
0.9
1.9
0.9
15.1
17.6
15.7
66.7
6.4
17.6
17.6
35.1
23.4
45.7
54.3
49.1
50.9
50
50
5.4
7.2
14.5
10.8
7.8
6.6
7.2
7.2
3
3.6
3
1.8
3
2.4
0.6
0.6
1.8
0.6
0.6
2.4
0.6
0.6
1.8
6.6
17
28.2
54.8
8.3
16.6
22.8
35.9
16.6
43.4
56.6
53.4
46.6
48.3
51.7
1.6
10.9
10.9
11.7
6.3
10.2
7
7
5.5
3.1
0.8
2.3
1.6
2.3
2.3
2.3
0.8
0.8
1.6
0.8
2.3
0.8
7
13.4
22.5
64.1
5.5
17.1
20.6
36.2
20.6
55.8
44.2
42.6
57.4
50.7
49.3
2.3
8.1
11
11.6
6.9
16.2
8.7
3.5
4.6
4
2.3
1.7
1.7
2.3
0.6
0.6
1.2
0.7
1.2
0.6
1.7
0.6
1.2
0.6
6.9
19.1
18.6
62.2
8.2
22.4
24.5
26.5
18.4
46.9
53.1
60.9
39.1
53.8
46.2
5
10
17.5
7.5
15
7.5
7.5
5
2.5
2.5
2.5
2.5
2.5
2.5
2.5
7.5
24.5
22.4
53.1
5.3
16.6
23
34.8
20.3
55.1
44.9
46.6
53.4
51.4
48.6
9.4
10.1
10.7
10.7
9.4
6.7
4
8.1
3.4
2.7
0.7
2
0.7
1.3
0.7
0.7
2
2
0.7
2
2
0.7
0.7
2
6.7
19
33.2
47.8
4.3
14
18.4
42
21.3
45.4
54.6
49
51
48
52
5.3
5.9
6.5
8.9
7.1
10.1
8.3
7.1
4.1
3.6
1.2
1.2
2.4
0.6
2.4
2.4
1.2
0.6
1.8
1.8
0.6
0.6
1.8
1.2
1.2
12.4
15.9
29
55.1
5.1
18.4
19.4
32.7
24.5
45.4
54.6
56.4
43.6
35.1
64.9
3.7
14.6
19.5
9.8
9.8
7.3
8.5
4.9
2.4
2.4
1.2
2.4
1.2
1.2
2.4
1.2
1.2
1.2
4.9
13.5
32.3
54.2
