"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype,""""""""""""""""""""""""""""""" and influenza B lineage."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
139,7,0,4,1,0,0
495,8,2,18,18,0,0
249,14,6,6,4,0,0
234,0,0,3,15,0,0
416,47,1,26,28,0,0
79,1,4,3,4,0,0
X,X,X,X,X,X,X
405,0,10,0,2,0,0
X,X,X,X,X,X,X
X,X,X,X,X,X,X
6,0,5,123,0,0,0
25,6,375,0,0,0,0
33,0,38,560,8,0,0
1,4,54,45,0,0,0
272,182,475,1742,36,0,0
53,10,145,187,0,0,0
69,0,2,410,15,0,0
26,14,44,359,2,0,0
18,0,0,120,2,0,0
84,33,53,525,14,0,0
12,3,54,286,5,0,0
64,19,3,441,1,1,0
79,2,49,913,12,0,0
22,60,173,268,0,0,0
5,2,28,250,5,0,0
61,21,10,629,4,0,0
0,2,21,7,0,0,0
2,0,8,88,3,0,0
43,4,5,293,0,0,0
30,1,3,229,4,0,0
143,6,18,1364,20,0,0
30,1,20,5,0,0,0
31,6,95,301,0,0,0
28,73,13,502,27,0,0
19,0,1,171,0,0,0
2,0,45,32,0,0,0
44,2,6,307,0,0,0
4,0,14,27,2,0,0
34,3,158,135,0,0,0
14,3,1,61,1,0,0
42,3,44,6,0,0,0
10,6,27,325,1,0,0
99,9,214,231,23,0,0
19,1,36,162,7,0,0
20,3,60,384,2,0,0
16,5,266,393,0,0,0
3,4,104,57,0,0,0
6,0,313,60,1,0,0
47,8,307,34,1,0,0
16,3,5,30,0,0,0
18,4,97,280,6,0,0
6,13,53,481,3,0,0
5,1,0,116,1,0,0
24,12,238,189,0,0,0
22,3,25,278,6,0,0
26,1,0,29,0,0,0
28,6,160,458,11,0,0
37,35,182,207,3,0,0
1,4,1,172,0,0,0
93,138,7,610,10,0,0
1,2,4,25,0,0,0
X,X,X,X,X,X,X
52,0,59,65,6,0,0
X,X,X,X,X,X,X
X,X,X,X,X,X,X
0,1,5,0,0,0,0
2,2,2,0,0,0,0
1,0,0,1,0,0,0
0,0,0,0,0,0,0
3,10,6,1,3,0,0
1,0,0,0,0,0,0
0,0,0,1,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
2,12,1,2,2,0,0
0,2,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,3,0,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,1,0,0,0,0
60,0,0,0,0,0,0
0,0,0,0,0,0,0
7,0,5,0,0,0,0
2,4,3,0,1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
5,5,8,0,0,0,0
0,16,14,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,0
5,0,0,6,2,0,0
2,1,7,0,0,0,0
1,8,1,1,1,0,0
2,0,0,1,0,0,0
1,5,3,0,0,0,0
0,1,0,0,0,0,0
0,0,1,1,1,0,0
1,0,1,1,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
3,3,1,5,0,0,0
1,0,0,2,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,0,0,0,0,0,0
2,3,2,0,0,1,0
0,59,19,2,0,0,0
X,X,X,X,X,X,X
0,0,0,0,0,0,0
X,X,X,X,X,X,X
X,X,X,X,X,X,X
223,32,4,0,0,0,0
211,28,5,8,0,0,0
737,6,1,4,0,0,0
186,332,5,0,0,0,0
1204,229,35,2,0,0,0
713,19,0,1,0,0,0
390,6,0,0,0,0,0
522,84,1,1,1,0,0
58,1,1,0,0,0,0
1415,76,0,0,0,0,0
899,132,1,4,0,0,0
248,11,0,4,0,0,0
275,62,1,0,0,0,0
373,475,1,0,0,0,0
101,3,0,0,0,0,0
158,1,0,0,0,0,0
254,312,2,0,0,0,0
169,0,0,0,0,0,0
52,5,0,0,0,0,0
168,2,0,0,0,0,0
366,2,0,2,0,0,0
155,3,0,0,0,0,0
568,3,2,0,0,1,0
488,22,0,1,0,0,0
35,0,0,0,0,0,0
127,34,1,0,0,0,0
307,1,0,0,0,0,0
212,574,2,1,0,0,0
365,458,7,0,0,0,0
76,2,0,0,0,0,0
227,16,2,0,0,0,0
958,8,2,0,0,0,0
221,389,5,0,0,0,0
43,2,0,3,0,0,0
230,6,0,0,0,0,0
1064,21,3,4,0,1,0
41,5,0,0,0,0,0
203,5,1,0,0,0,0
982,158,22,0,0,0,0
486,242,0,8,0,0,0
36,98,0,0,0,0,0
1102,225,3,0,0,0,0
148,2,0,0,0,0,0
698,184,7,3,0,0,0
712,0,0,0,0,0,0
78,2,0,0,0,0,0
91,6,0,0,0,0,0
388,45,1,0,0,0,0
232,0,0,0,0,3,0
603,110,4,1,0,0,0
873,898,11,0,0,0,0
X,X,X,X,X,X,X
199,0,0,0,0,0,0
X,X,X,X,X,X,X
X,X,X,X,X,X,X
17,3,0,0,0,0,0
436,203,3,10,0,0,0
513,12,6,136,0,0,0
30,97,4,2,0,0,0
2593,253,26,56,0,0,0
448,10,0,101,0,0,0
486,25,2,4,0,0,0
109,23,0,11,0,0,0
292,17,1,19,0,0,0
808,16,2,132,0,0,0
1034,206,3,155,0,0,0
270,16,14,44,0,0,0
1032,57,2,5,0,0,0
384,337,1,3,0,0,0
24,3,0,4,0,0,0
212,9,4,115,0,0,0
71,65,2,4,0,0,0
41,0,0,2,0,0,0
13,1,5,5,0,0,0
2,0,1,1,0,0,0
116,9,0,2,0,0,0
327,2,2,1,0,0,0
495,7,6,68,0,1,0
880,56,1,24,0,0,0
40,0,0,6,0,0,0
222,20,0,4,0,0,0
185,6,0,7,0,0,0
82,196,7,6,0,0,0
120,259,5,7,0,0,0
29,6,1,4,0,0,0
109,9,15,1,0,0,0
654,60,3,27,0,1,0
442,461,44,9,0,0,0
250,8,0,10,0,0,0
174,1,0,1,0,0,0
381,4,0,26,0,0,0
32,1,0,2,0,0,0
881,36,1,1,0,0,0
352,43,0,35,0,0,0
171,1383,2,33,0,0,0
97,60,1,2,0,0,0
98,15,1,12,0,0,0
123,13,1,4,0,0,0
263,11,56,8,0,0,0
321,0,0,35,0,0,0
82,2,0,0,0,0,0
118,16,0,1,0,0,0
596,155,4,30,0,0,0
253,11,0,15,0,0,0
567,42,4,15,0,0,0
