Influenza-Associated Hospitalizations by Virus Type Percent (data downloaded on 3/7/2025)
65+ YR
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
100.0
50.0
20.0
37.5
63.6
26.7
30.8
43.5
42.0
34.5
29.5
28.4
38.9
38.0
43.1
39.8
39.9
41.5
43.0
41.2
31.2
25.4
21.1
20.0
27.3
100.0
0.0
33.3
100.0
20.0
25.0
100.0
60.0
50.0
31.3
19.0
27.9
11.1
30.6
37.1
30.4
27.0
19.7
17.8
16.7
27.8
35.2
32.9
26.7
30.4
33.3
26.3
35.3
43.2
33.3
16.7
0.0
0.0
33.3
50.0
71.4
33.3
23.8
45.0
50.0
23.1
19.1
24.6
27.3
30.2
25.0
33.3
29.8
34.7
40.2
49.0
51.6
52.6
50.4
55.1
58.7
49.6
52.2
64.8
51.9
0.0
0.0
50.0
36.4
33.3
25.0
33.3
14.3
36.4
40.9
16.7
6.3
25.0
8.0
20.0
22.2
13.8
23.7
19.4
22.7
16.2
14.9
12.3
21.8
15.3
31.6
19.3
19.0
20.0
14.3
8.0
7.4
7.8
6.3
9.3
6.9
9.2
9.4
9.6
10.4
14.3
16.6
20.0
8.7
12.5
25.0
16.9
15.5
21.4
14.0
10.3
14.8
17.5
7.8
14.6
7.0
0.0
10.5
18.5
26.3
17.6
5.6
0.0
14.3
30.8
33.3
35.3
21.7
12.5
17.6
11.1
20.0
28.1
23.3
28.0
29.1
39.8
33.7
31.2
27.8
34.4
32.9
27.9
36.5
31.8
38.1
37.4
40.8
36.9
45.6
46.3
47.6
46.0
48.5
25.0
40.0
25.0
50.0
50.0
0.0
25.0
55.6
11.1
25.0
31.3
21.4
42.3
41.7
45.5
43.5
55.2
46.6
32.8
35.2
33.6
41.7
39.9
43.1
36.1
38.2
38.5
46.7
50.9
38.5
36.4
33.3
40.0
40.0
20.0
37.0
23.7
30.1
39.2
29.1
46.5
47.4
58.7
58.7
59.2
53.1
54.5
53.2
52.4
47.8
34.3
45.9
41.3
33.6
35.4
35.4
32.5
40.7
23.6
32.1
44.4
42.9
63.2
38.1
30.3
26.3
18.0
18.2
17.0
19.9
19.5
21.1
25.5
29.0
25.2
25.6
27.6
29.6
29.0
27.2
35.5
35.2
41.1
48.1
53.1
42.8
41.2
48.5
45.2
49.8
57.9
41.2
46.9
42.3
20.7
32.0
41.2
48.1
46.3
50.2
57.5
57.1
64.5
69.7
68.6
67.2
64.0
65.5
67.8
60.2
58.3
53.8
51.9
51.3
52.5
48.1
49.6
52.1
54.7
52.8
46.1
58.3
46.2
62.5
35.3
37.5
50.0
36.0
40.0
33.3
40.0
50.0
52.4
38.6
47.7
46.5
41.0
35.4
32.5
37.2
29.6
27.1
32.3
32.7
32.3
34.2
38.9
40.5
40.7
43.8
40.0
48.0
55.6
55.2
57.9
70.7
51.7
62.0
49.4
57.4
58.6
50.4
59.3
68.1
68.6
64.1
61.5
59.3
59.6
59.0
57.6
58.4
60.5
57.8
55.1
56.0
51.0
58.1
60.0
53.3
52.2
48.6
59.4
60.9
54.0
44.0
47.5
49.6
51.6
59.2
57.5
55.1
57.6
64.2
64.5
60.2
61.3
58.7
56.0
51.5
55.4
57.6
58.0
58.3
61.5
54.3
58.5
58.1
59.8
58.1
55.8
42.9
37.9
46.7
46.7
41.3
39.6
31.3
33.0
35.4
34.0
28.6
31.3
37.5
41.7
38.5
36.8
37.1
40.5
45.0
46.2
48.5
52.4
52.3
54.4
55.2
56.8
58.9
58.7
53.8
56.6
57.1
29.4
50.0
42.1
49.3
27.6
28.7
34.2
32.8
30.3
30.9
27.9
33.5
38.3
39.6
33.9
35.0
34.9
38.1
42.0
41.7
46.6
45.0
43.5
39.0
48.9
37.1
29.4
52.4
55.6
100.0
0.0
33.3
100.0
42.9
66.7
30.8
45.5
37.5
35.3
69.2
63.6
38.5
41.2
45.5
75.0
80.0
55.6
63.6
83.3
75.0
40.0
22.2
0.0
100.0
50.0
75.0
50.0
33.3
100.0
33.3
33.3
33.3
11.1
33.3
25.0
23.5
29.2
54.3
48.1
42.4
42.8
41.7
45.0
43.5
33.6
29.3
25.5
43.4
35.2
36.9
43.4
47.6
47.5
42.5
39.2
47.9
46.8
48.7
45.4
47.2
47.2
47.5
47.1
39.0
36.2
44.7
31.7
33.3
36.4
34.1
32.6
37.6
39.3
41.7
47.4
47.8
45.1
47.5
55.2
56.4
50.3
47.2
48.9
53.5
46.1
59.6
43.2
44.3
47.3
40.5
33.8
35.6
35.7
41.0
49.2
28.0
53.2
46.6
39.2
34.6
37.6
35.0
36.0
40.4
41.9
42.4
41.6
42.3
46.2
45.5
44.2
46.5
42.1
44.2
43.7
43.7
44.8
46.1
43.2
46.5
42.0
46.8
42.7
46.0
46.5
48.6
54.7
54.3
44.4
51.2
54.9
40.0
48.0
60.9
38.3
51.9
57.7
64.7
42.3
55.6
59.4
53.3
57.9
58.6
46.4
61.5
56.8
51.4
60.0
48.7
58.2
51.6
42.6
46.3
46.7
53.2
51.1
51.7
45.3
44.3
48.0
50.7
50.1
48.7
49.2
53.2
51.6
52.5
54.5
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
