202335,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,287.0
202335,2022-23,Average patients with influenza in ICU,4,HHS Region,109.29
202335,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.08
202335,2022-23,Influenza Hospital Admissions,5,HHS Region,41.0
202335,2022-23,Influenza Hospitalization (Avg 7 Day),5,HHS Region,60.71
202335,2022-23,Average patients with influenza in ICU,5,HHS Region,5.43
202335,2022-23,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.38
202335,2022-23,Influenza Hospital Admissions,6,HHS Region,164.0
202335,2022-23,Influenza Hospitalization (Avg 7 Day),6,HHS Region,86.86
202335,2022-23,Average patients with influenza in ICU,6,HHS Region,12.71
202335,2022-23,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.1
202335,2022-23,Influenza Hospital Admissions,7,HHS Region,14.0
202335,2022-23,Influenza Hospitalization (Avg 7 Day),7,HHS Region,11.57
202335,2022-23,Average patients with influenza in ICU,7,HHS Region,2.57
202335,2022-23,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.04
202335,2022-23,Influenza Hospital Admissions,8,HHS Region,5.0
202335,2022-23,Influenza Hospitalization (Avg 7 Day),8,HHS Region,6.0
202335,2022-23,Average patients with influenza in ICU,8,HHS Region,0.29
202335,2022-23,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.12
202335,2022-23,Influenza Hospital Admissions,9,HHS Region,63.0
202335,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,51.86
202335,2022-23,Average patients with influenza in ICU,9,HHS Region,4.29
202335,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.32
202335,2022-23,Influenza Hospital Admissions,10,HHS Region,46.0
202335,2022-23,Influenza Hospitalization (Avg 7 Day),10,HHS Region,25.29
202335,2022-23,Average patients with influenza in ICU,10,HHS Region,2.14
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.07
202336,2022-23,Influenza Hospital Admissions,1,HHS Region,11.0
202336,2022-23,Influenza Hospitalization (Avg 7 Day),1,HHS Region,15.57
202336,2022-23,Average patients with influenza in ICU,1,HHS Region,3.0
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.25
202336,2022-23,Influenza Hospital Admissions,2,HHS Region,79.0
202336,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,76.71
202336,2022-23,Average patients with influenza in ICU,2,HHS Region,4.29
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.29
202336,2022-23,Influenza Hospital Admissions,3,HHS Region,91.0
202336,2022-23,Influenza Hospitalization (Avg 7 Day),3,HHS Region,57.29
202336,2022-23,Average patients with influenza in ICU,3,HHS Region,6.43
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.43
202336,2022-23,Influenza Hospital Admissions,4,HHS Region,285.0
202336,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,302.57
202336,2022-23,Average patients with influenza in ICU,4,HHS Region,107.29
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.07
202336,2022-23,Influenza Hospital Admissions,5,HHS Region,37.0
202336,2022-23,Influenza Hospitalization (Avg 7 Day),5,HHS Region,71.43
202336,2022-23,Average patients with influenza in ICU,5,HHS Region,5.86
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.35
202336,2022-23,Influenza Hospital Admissions,6,HHS Region,149.0
202336,2022-23,Influenza Hospitalization (Avg 7 Day),6,HHS Region,83.14
202336,2022-23,Average patients with influenza in ICU,6,HHS Region,16.0
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.14
202336,2022-23,Influenza Hospital Admissions,7,HHS Region,20.0
202336,2022-23,Influenza Hospitalization (Avg 7 Day),7,HHS Region,11.57
202336,2022-23,Average patients with influenza in ICU,7,HHS Region,2.71
202330,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.16
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.11
202336,2022-23,Influenza Hospital Admissions,8,HHS Region,13.0
202336,2022-23,Influenza Hospitalization (Avg 7 Day),8,HHS Region,9.0
202336,2022-23,Average patients with influenza in ICU,8,HHS Region,0.14
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.12
202336,2022-23,Influenza Hospital Admissions,9,HHS Region,59.0
202336,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,61.43
202336,2022-23,Average patients with influenza in ICU,9,HHS Region,3.86
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.3
202336,2022-23,Influenza Hospital Admissions,10,HHS Region,43.0
202336,2022-23,Influenza Hospitalization (Avg 7 Day),10,HHS Region,30.0
202336,2022-23,Average patients with influenza in ICU,10,HHS Region,3.43
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.11
202337,2022-23,Influenza Hospital Admissions,1,HHS Region,16.0
202337,2022-23,Influenza Hospitalization (Avg 7 Day),1,HHS Region,18.71
202337,2022-23,Average patients with influenza in ICU,1,HHS Region,3.14
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.25
202337,2022-23,Influenza Hospital Admissions,2,HHS Region,79.0
202337,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,78.86
202337,2022-23,Average patients with influenza in ICU,2,HHS Region,2.57
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.28
202337,2022-23,Influenza Hospital Admissions,3,HHS Region,87.0
202337,2022-23,Influenza Hospitalization (Avg 7 Day),3,HHS Region,60.43
202337,2022-23,Average patients with influenza in ICU,3,HHS Region,10.29
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.46
202337,2022-23,Influenza Hospital Admissions,4,HHS Region,308.0
202337,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,315.71
202337,2022-23,Average patients with influenza in ICU,4,HHS Region,106.71
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.09
202337,2022-23,Influenza Hospital Admissions,5,HHS Region,49.0
202337,2022-23,Influenza Hospitalization (Avg 7 Day),5,HHS Region,63.43
202337,2022-23,Average patients with influenza in ICU,5,HHS Region,6.86
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.41
202337,2022-23,Influenza Hospital Admissions,6,HHS Region,175.0
202337,2022-23,Influenza Hospitalization (Avg 7 Day),6,HHS Region,98.86
202337,2022-23,Average patients with influenza in ICU,6,HHS Region,15.29
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.08
202337,2022-23,Influenza Hospital Admissions,7,HHS Region,11.0
202337,2022-23,Influenza Hospitalization (Avg 7 Day),7,HHS Region,10.71
202337,2022-23,Average patients with influenza in ICU,7,HHS Region,3.29
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.05
202337,2022-23,Influenza Hospital Admissions,8,HHS Region,6.0
202337,2022-23,Influenza Hospitalization (Avg 7 Day),8,HHS Region,8.71
202337,2022-23,Average patients with influenza in ICU,8,HHS Region,0.29
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.12
202337,2022-23,Influenza Hospital Admissions,9,HHS Region,59.0
202337,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,61.71
202337,2022-23,Average patients with influenza in ICU,9,HHS Region,5.57
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.17
202337,2022-23,Influenza Hospital Admissions,10,HHS Region,25.0
202337,2022-23,Influenza Hospitalization (Avg 7 Day),10,HHS Region,24.14
202337,2022-23,Average patients with influenza in ICU,10,HHS Region,1.29
202338,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.21
202338,2022-23,Influenza Hospital Admissions,1,HHS Region,31.0
202338,2022-23,Influenza Hospitalization (Avg 7 Day),1,HHS Region,20.71
202338,2022-23,Average patients with influenza in ICU,1,HHS Region,4.14
202242,2022-23,Influenza Hospital Admissions,2,HHS Region,127.0
202242,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,87.14
202242,2022-23,Average patients with influenza in ICU,2,HHS Region,7.43
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.75
202242,2022-23,Influenza Hospital Admissions,3,HHS Region,232.0
202242,2022-23,Influenza Hospitalization (Avg 7 Day),3,HHS Region,119.71
202242,2022-23,Average patients with influenza in ICU,3,HHS Region,14.43
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,1.03
202242,2022-23,Influenza Hospital Admissions,4,HHS Region,690.0
202242,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,514.14
202242,2022-23,Average patients with influenza in ICU,4,HHS Region,106.0
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.34
202242,2022-23,Influenza Hospital Admissions,5,HHS Region,177.0
202242,2022-23,Influenza Hospitalization (Avg 7 Day),5,HHS Region,118.86
202242,2022-23,Average patients with influenza in ICU,5,HHS Region,16.71
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,1.55
202242,2022-23,Influenza Hospital Admissions,6,HHS Region,663.0
202242,2022-23,Influenza Hospitalization (Avg 7 Day),6,HHS Region,313.29
202242,2022-23,Average patients with influenza in ICU,6,HHS Region,50.86
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.42
202242,2022-23,Influenza Hospital Admissions,7,HHS Region,60.0
202242,2022-23,Influenza Hospitalization (Avg 7 Day),7,HHS Region,60.86
202242,2022-23,Average patients with influenza in ICU,7,HHS Region,12.0
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.29
202242,2022-23,Influenza Hospital Admissions,8,HHS Region,36.0
202242,2022-23,Influenza Hospitalization (Avg 7 Day),8,HHS Region,13.86
202242,2022-23,Average patients with influenza in ICU,8,HHS Region,0.29
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.3
202242,2022-23,Influenza Hospital Admissions,9,HHS Region,155.0
202242,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,103.57
202242,2022-23,Average patients with influenza in ICU,9,HHS Region,12.86
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.19
202242,2022-23,Influenza Hospital Admissions,10,HHS Region,28.0
202242,2022-23,Influenza Hospitalization (Avg 7 Day),10,HHS Region,18.0
202242,2022-23,Average patients with influenza in ICU,10,HHS Region,2.0
202243,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.37
202243,2022-23,Influenza Hospital Admissions,1,HHS Region,55.0
202243,2022-23,Influenza Hospitalization (Avg 7 Day),1,HHS Region,25.86
202243,2022-23,Average patients with influenza in ICU,1,HHS Region,1.86
202243,2022-23,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.72
202243,2022-23,Influenza Hospital Admissions,2,HHS Region,226.0
202243,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,128.57
202243,2022-23,Average patients with influenza in ICU,2,HHS Region,13.14
202243,2022-23,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,1.67
202243,2022-23,Influenza Hospital Admissions,3,HHS Region,516.0
202243,2022-23,Influenza Hospitalization (Avg 7 Day),3,HHS Region,236.57
202243,2022-23,Average patients with influenza in ICU,3,HHS Region,26.0
202243,2022-23,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,2.0
202243,2022-23,Influenza Hospital Admissions,4,HHS Region,1337.0
202243,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,824.43
202243,2022-23,Average patients with influenza in ICU,4,HHS Region,142.0
202243,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.79
202243,2022-23,Influenza Hospital Admissions,5,HHS Region,414.0
202243,2022-23,Influenza Hospitalization (Avg 7 Day),5,HHS Region,218.71
202243,2022-23,Average patients with influenza in ICU,5,HHS Region,26.14
202243,2022-23,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,2.46
202243,2022-23,Influenza Hospital Admissions,6,HHS Region,1050.0
202243,2022-23,Influenza Hospitalization (Avg 7 Day),6,HHS Region,446.29
202243,2022-23,Average patients with influenza in ICU,6,HHS Region,72.43
202301,2022-23,Influenza Hospital Admissions,9,HHS Region,1395.0
202301,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,1384.86
202301,2022-23,Average patients with influenza in ICU,9,HHS Region,214.71
202301,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,3.62
202301,2022-23,Influenza Hospital Admissions,10,HHS Region,520.0
202301,2022-23,Influenza Hospitalization (Avg 7 Day),10,HHS Region,507.43
202301,2022-23,Average patients with influenza in ICU,10,HHS Region,66.57
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,3.06
202302,2022-23,Influenza Hospital Admissions,1,HHS Region,455.0
202302,2022-23,Influenza Hospitalization (Avg 7 Day),1,HHS Region,582.43
202302,2022-23,Average patients with influenza in ICU,1,HHS Region,70.86
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,2.42
202302,2022-23,Influenza Hospital Admissions,2,HHS Region,765.0
202302,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,845.14
202302,2022-23,Average patients with influenza in ICU,2,HHS Region,129.57
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,2.39
202302,2022-23,Influenza Hospital Admissions,3,HHS Region,736.0
202302,2022-23,Influenza Hospitalization (Avg 7 Day),3,HHS Region,753.14
202302,2022-23,Average patients with influenza in ICU,3,HHS Region,122.0
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,2.0
202302,2022-23,Influenza Hospital Admissions,4,HHS Region,1338.0
202302,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,1373.57
202302,2022-23,Average patients with influenza in ICU,4,HHS Region,241.29
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,2.05
202302,2022-23,Influenza Hospital Admissions,5,HHS Region,1078.0
202302,2022-23,Influenza Hospitalization (Avg 7 Day),5,HHS Region,1297.43
202302,2022-23,Average patients with influenza in ICU,5,HHS Region,230.0
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,2.99
202302,2022-23,Influenza Hospital Admissions,6,HHS Region,1277.0
202302,2022-23,Influenza Hospitalization (Avg 7 Day),6,HHS Region,772.57
202302,2022-23,Average patients with influenza in ICU,6,HHS Region,166.57
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,2.87
202302,2022-23,Influenza Hospital Admissions,7,HHS Region,406.0
202302,2022-23,Influenza Hospitalization (Avg 7 Day),7,HHS Region,410.57
202302,2022-23,Average patients with influenza in ICU,7,HHS Region,75.71
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,1.98
202302,2022-23,Influenza Hospital Admissions,8,HHS Region,243.0
202302,2022-23,Influenza Hospitalization (Avg 7 Day),8,HHS Region,228.0
202302,2022-23,Average patients with influenza in ICU,8,HHS Region,30.29
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,1.17
202302,2022-23,Influenza Hospital Admissions,9,HHS Region,601.0
202302,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,812.29
202302,2022-23,Average patients with influenza in ICU,9,HHS Region,136.71
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,1.8
202302,2022-23,Influenza Hospital Admissions,10,HHS Region,259.0
202302,2022-23,Influenza Hospitalization (Avg 7 Day),10,HHS Region,311.57
202302,2022-23,Average patients with influenza in ICU,10,HHS Region,43.86
202303,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,1.65
202303,2022-23,Influenza Hospital Admissions,1,HHS Region,245.0
202303,2022-23,Influenza Hospitalization (Avg 7 Day),1,HHS Region,311.0
202303,2022-23,Average patients with influenza in ICU,1,HHS Region,42.43
202303,2022-23,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,1.42
202303,2022-23,Influenza Hospital Admissions,2,HHS Region,448.0
202303,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,565.43
202303,2022-23,Average patients with influenza in ICU,2,HHS Region,83.86
202312,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.32
202312,2022-23,Influenza Hospital Admissions,1,HHS Region,48.0
