PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
TOTAL PATIENTS
11664
1714
25492
2586
32342
20282
3831
3995
2599
31989
40314
1943
4579
39390
12525
1776
8819
13293
17141
6150
8869
27786
14587
6611
16874
9621
2694
2773
10499
3951
7040
7505
14069
25215
6256
12705
3044
6711
17347
6382
7397
5713
11651
50844
5751
2777
57721
3137
8952
4946
5056
89577
11602
1684
24402
2670
34469
18294
3780
4070
2802
30668
40979
1826
4664
41354
12861
2323
8485
10269
15871
5979
4717
24328
16239
6466
17605
9672
2763
2486
11428
4326
7626
7232
12712
26280
5956
15209
3025
6089
17239
5954
7054
5543
11812
50670
7057
2946
60977
3269
10694
5328
4766
89710
11945
1877
25174
3306
34170
18905
4009
4154
3070
31325
39404
1854
4545
41122
13006
2457
8963
16010
16545
6402
11895
28061
15451
6332
17911
9496
2690
2839
11335
5790
8496
7523
14636
25377
5639
16044
3381
7425
18273
6890
7190
5436
12211
51887
8171
3036
61855
3096
8777
5807
5206
90998
12036
1860
26215
2901
34733
19238
4797
4126
3241
28596
36901
1715
4531
42741
13079
4912
9850
17987
16904
6501
11517
29092
16496
6586
17090
9482
2748
2916
11238
5593
7734
8068
14764
26606
5306
17298
2873
6917
18442
6818
7410
5491
12698
50622
6085
3255
60125
3141
9549
5245
4487
92678
12069
1901
26313
5228
35153
19862
4789
4048
3176
27677
38891
1522
4816
41966
12704
5017
10181
13118
17513
5100
10111
27695
15983
6205
16390
8564
2468
2920
11541
5775
6179
6345
15170
26003
5324
17913
3009
7452
18256
6412
7186
5514
12119
51527
8284
2714
57607
3052
10653
5472
4412
87454
12102
1996
25282
4844
32998
19332
4381
3146
2962
26980
40726
1618
4149
41894
12898
5016
10207
15247
22198
6169
9004
25514
17232
5487
16510
8662
2460
3546
9314
5256
7671
7823
15453
24116
5672
16602
2952
6965
17799
6284
6261
5246
12801
52030
6025
2928
62905
3748
9716
5320
4964
89571
12286
1870
25897
4760
36175
19683
3555
3070
3282
30459
42545
1753
5003
40492
12670
4337
10574
16839
19147
6342
10399
29372
16629
6261
17108
8391
2729
3508
11167
5729
7393
7921
15692
25177
4657
17817
3074
6688
17964
6942
7238
5892
12712
49906
5838
2960
58600
3305
11211
5249
4834
93936
8418
1533
22138
2616
23060
14316
1535
2384
1799
21394
32966
8131
3226
34238
9056
1499
6850
11675
14793
4372
6360
20666
10758
4269
16246
5516
1862
2440
9639
3899
5915
6514
10561
16140
4572
10561
2413
2350
12991
4572
4483
4148
7909
37096
4976
2371
60654
1121
7892
3680
3399
84555
10517
1740
26085
4451
36028
19771
4289
4074
3246
28620
37768
1732
4774
40646
12286
3142
9174
16482
16624
6610
8962
28787
15586
5962
16970
8422
2628
3516
11244
5043
5536
8197
15007
25844
5186
16878
2984
3759
17952
6660
7258
5600
13155
49607
7873
3301
61726
3565
11434
5587
4884
94844
11289
1755
24065
4311
35077
19024
3512
2492
3067
26353
37531
1734
4702
39506
11790
2934
10381
15032
17541
5974
9864
28114
15087
6332
16447
8246
2782
3696
12002
4858
6896
8605
14009
21512
4631
16060
2183
3367
16584
6609
5983
5502
11033
48474
7640
4150
57786
3421
9957
5471
4781
92454
11930
1989
24178
4227
31969
19299
3033
4083
2886
26563
35755
1632
3956
37787
10164
2736
9738
12229
13316
5857
8713
28213
14027
5081
17344
8936
2588
3429
10263
5640
6561
8115
13316
18927
1889
15455
3261
2509
14447
6408
5098
5392
8778
47519
6993
3716
53894
2162
8545
4685
4811
94881
9910
1760
19716
2132
22875
14757
2175
2578
1907
16469
34195
857
3182
33621
7337
2123
7741
11496
15367
4170
6355
20513
10820
3853
16410
6573
1602
2792
14274
4110
5685
6800
10082
11326
1451
12037
2076
2087
10680
4446
3878
4544
6142
36611
3883
2963
57381
1550
7272
2451
3798
89593
10927
1857
22684
2367
19533
15093
1523
3733
1475
21954
34013
957
3464
35224
7849
1923
5936
14044
23212
3877
5401
17670
9226
3076
17379
6753
1277
2220
16055
3007
4050
6684
8311
9938
958
11091
2892
1959
10188
3414
4854
4395
6853
37950
3853
3479
61175
1220
7285
2089
4099
82434
12231
2025
25741
3623
33407
21642
2708
3827
3005
30148
35731
1965
4659
39188
9590
2245
9547
10622
21010
6088
9645
27817
13973
4450
16853
8134
2164
3393
19076
5171
5667
8157
12235
18931
1510
16724
3302
3926
12189
5438
6440
5547
10471
47440
7116
4233
64119
2299
10842
3367
4837
99575
10005
1889
26118
3425
35695
19919
3249
4110
3003
29755
27557
2031
5097
38982
10650
4574
7439
13792
17289
5730
9269
24059
15234
4396
15123
8241
2253
2906
18647
4746
5490
8626
11098
18505
1693
16134
3124
4012
13856
4568
5677
5184
8694
48030
2233
3835
65278
2707
10170
3443
4786
89582
12391
2158
25296
3999
32879
20684
3633
4078
2696
29149
36583
1772
4524
41243
11622
4371
9233
14943
21510
5181
8341
24253
14242
4465
16027
8381
1992
3461
17545
4731
5991
8384
11564
22856
1821
16650
3337
3257
16098
4574
6874
5237
10699
53212
6688
4179
68448
2219
10770
3368
4443
89798
13150
2355
32376
4591
38393
21503
3546
4214
2701
31498
37305
1722
4958
42193
13064
4611
10226
18061
15601
6189
8472
27470
15846
5047
17413
8775
2887
3662
20128
5321
5438
8905
13025
25738
1848
18179
3547
4067
16829
5784
8544
5606
12659
56973
5361
4083
69460
2536
10854
4248
5245
86430
11938
1332
27974
4562
40255
19282
4313
4553
3157
31893
38119
1685
5073
37377
12198
3903
