COVID-19_Season,Doses,Cumulative_Doses,Age_Group
2023-2024,33265,33265,65+
2024-2025,1174358,5055913,18-64
2023-2024,1395849,4918679,60-74
2023-2024,211984,33679988,18+
2023-2024,210341,33468004,18+
2023-2024,43468,13515536,60-74
2023-2024,55432,13418155,60-74
2023-2024,440741,5482372,75+
2023-2024,214968,6510968,75+
2023-2024,25998,7709438,50-64
2023-2024,23952,7733390,50-64
2023-2024,34429,8527694,75+
2023-2024,129502,16698098,65+
2023-2024,654835,3768315,18-49
2024-2025,1720547,2426594,18+
2023-2024,599407,30266775,18+
2023-2024,27074,8242817,18-49
2024-2025,552091,5598343,75+
2024-2025,778602,2905327,75+
2023-2024,803784,1899512,50-64
2023-2024,118512,12786548,60-74
2023-2024,52033,15877770,18-64
2024-2025,1577204,7602379,65+
2023-2024,261658,6285915,50-64
2023-2024,847804,10702620,18-64
2023-2024,14984,7905190,50-64
2023-2024,14814,7934352,50-64
2024-2025,572320,3603415,18-49
2023-2024,83827,7949999,75+
2024-2025,311105,311105,60-74
2023-2024,96797,7866172,75+
2023-2024,810853,12775363,65+
2023-2024,3060813,14873988,18+
2023-2024,225341,11643929,60-74
2023-2024,803136,3807964,75+
2023-2024,57427,7482724,50-64
2023-2024,95439,35399629,18+
2023-2024,311599,5916118,18-49
2024-2025,928084,7069045,60-74
2023-2024,536384,4304699,18-49
2023-2024,116406,7178075,75+
2024-2025,481631,671970,75+
2023-2024,1361319,6499203,18-64
2023-2024,20651,7775746,50-64
2023-2024,759273,801457,18-64
2023-2024,119542,12116542,60-74
2023-2024,497058,13461623,18-64
2023-2024,39896,16264516,18-64
2023-2024,47212,7426573,75+
2023-2024,35466,16339704,18-64
2023-2024,94500,18369375,65+
2024-2025,1023473,3013694,60-74
2023-2024,103144,7516062,18-49
2023-2024,1497884,9872670,65+
2023-2024,1686697,2717465,65+
2023-2024,73016,13242760,60-74
2023-2024,143694,34193198,18+
2023-2024,208334,33888322,18+
2023-2024,78159,15427733,18-64
2023-2024,56675,13362723,60-74
2023-2024,148153,6836911,75+
2023-2024,35736,13824809,60-74
2023-2024,87801,8116670,75+
2023-2024,25735,8612373,75+
2023-2024,133042,15162160,18-64
2023-2024,26973,8186868,18-49
2023-2024,30207,8132227,18-49
2024-2025,2522588,7233656,18+
2024-2025,2449466,17706591,18+
2023-2024,339293,31007278,18+
2023-2024,22772,8414267,18-49
2023-2024,693047,3385723,50-64
2023-2024,54171,15825737,18-64
2023-2024,25720,8467160,18-49
2024-2025,467132,1321040,18-49
2023-2024,27849,7515839,75+
2023-2024,13851,7948203,50-64
2023-2024,17320,7979667,50-64
2023-2024,227284,15253780,65+
2024-2025,359282,504118,50-64
2023-2024,333950,14457141,18-64
2023-2024,1167871,25720924,18+
2023-2024,31771,7595169,50-64
2023-2024,442010,10216130,60-74
2023-2024,32010,7627179,50-64
2023-2024,369779,5852151,75+
2023-2024,177790,6688758,75+
2023-2024,137839,34472894,18+
2023-2024,44036,7526760,50-64
2023-2024,127963,16262971,65+
2024-2025,2284474,4711068,18+
2023-2024,19761,19761,50-64
2024-2025,775652,3680979,75+
2024-2025,1416651,2894952,65+
2023-2024,17544,7812237,50-64
2024-2025,1451381,9053760,65+
2023-2024,222482,6508397,50-64
2023-2024,633945,11336565,18-64
2023-2024,229145,14686286,18-64
2023-2024,42125,16183813,18-64
2024-2025,501096,4104511,18-49
2023-2024,172066,15981695,65+
2023-2024,77909,18521028,65+
2023-2024,441123,13216486,65+
2023-2024,34873,7461446,75+
2023-2024,2809704,17683692,18+
2023-2024,2953345,4785569,18+
2023-2024,28939,7656118,50-64
2023-2024,60445,8271706,75+
2023-2024,39789,13679000,60-74
2023-2024,13618,13618,75+
2023-2024,556627,29044751,18+
2023-2024,156852,15029118,18-64
2023-2024,35244,13749176,60-74
2023-2024,27514,8665889,75+
2023-2024,282340,6198458,18-49
2023-2024,16897,8707731,75+
2023-2024,24908,8369880,18-49
2023-2024,1311818,7811021,18-64
2023-2024,406378,5451027,50-64
2023-2024,59533,7575372,75+
2023-2024,16067,7844428,50-64
2023-2024,99447,7674819,75+
2023-2024,12969,8008374,50-64
2023-2024,717885,1690262,18-49
2024-2025,583735,2614404,50-64
2024-2025,867823,1816115,18-64
2024-2025,1147456,6203369,18-64
2023-2024,854038,8072519,60-74
2023-2024,1487905,3522830,60-74
2023-2024,35786,8038173,18-49
2023-2024,94427,6931338,75+
2023-2024,69096,7425297,50-64
2023-2024,109976,34814823,18+
2024-2025,2673072,9906728,18+
2024-2025,2088385,19794976,18+
2023-2024,656983,4042706,50-64
2023-2024,99210,12215752,60-74
2024-2025,1125375,11520253,65+
2023-2024,150642,6877024,50-64
2023-2024,43338,16103515,18-64
2023-2024,48410,7786174,18-49
2023-2024,43099,16015235,18-64
2024-2025,529844,1850884,18-49
2023-2024,145414,31854793,18+
2023-2024,63336,18712959,65+
2024-2025,458088,962206,50-64
2024-2025,1108348,7311717,18-64
2023-2024,364395,9774120,60-74
2023-2024,1030174,26751098,18+
2023-2024,1924996,21819328,18+
2023-2024,46378,13561914,60-74
2023-2024,141802,11997000,60-74
2023-2024,185980,14872266,18-64
2023-2024,47540,8418798,75+
2023-2024,36308,13639211,60-74
2023-2024,709086,4517050,75+
2023-2024,171293,17486093,65+
2023-2024,505468,4810167,18-49
2023-2024,25823,8319425,18-49
2024-2025,691777,1363747,75+
2023-2024,24177,8266994,18-49
2023-2024,1266649,2068106,18-64
2023-2024,329343,13790966,18-64
2023-2024,16264,7860692,50-64
2023-2024,231031,33257663,18+
2023-2024,15517,7890206,50-64
2023-2024,268414,33026632,18+
2024-2025,990875,6140961,60-74
2023-2024,750388,778574,60-74
2023-2024,2039190,4756655,65+
2023-2024,40311,8002387,18-49
2023-2024,92088,35199628,18+
2023-2024,103058,35017203,18+
2023-2024,430818,444436,75+
2023-2024,257709,6456167,18-49
2023-2024,153313,16135008,65+
2023-2024,182024,7095963,18-49
2023-2024,21705,7755095,50-64
2023-2024,1071537,8882558,18-64
2023-2024,281019,5732046,50-64
2024-2025,129182,129182,18-49
2023-2024,53980,18937052,65+
2023-2024,55172,18823003,65+
2023-2024,41459,16462573,18-64
2023-2024,36916,16376620,18-64
2023-2024,754946,2445208,18-49
2023-2024,58410,7379361,75+
2024-2025,557866,3172270,50-64
2023-2024,145041,7172266,50-64
2023-2024,100597,18177960,65+
2023-2024,159179,17961393,65+
2024-2025,978584,2794699,18-64
2023-2024,1256351,2034925,60-74
2023-2024,1084798,7218481,60-74
2023-2024,58330,7737764,18-49
2023-2024,53913,13472068,60-74
2023-2024,193119,6045270,75+
2023-2024,78870,8028869,75+
2023-2024,38128,8493265,75+
2023-2024,73741,7251816,75+
2023-2024,29038,8556732,75+
2023-2024,28875,8215743,18-49
2023-2024,393423,413184,50-64
2024-2025,711633,4392612,75+
2023-2024,49154,15926924,18-64
2024-2025,1544006,4438958,65+
2023-2024,22896,8490056,18-49
2024-2025,1341118,10394878,65+
2023-2024,217985,6726382,50-64
2023-2024,603810,11940375,18-64
2023-2024,101099,7273365,50-64
2023-2024,14348,7919538,50-64
2024-2025,943569,1990221,60-74
2023-2024,564060,13780546,65+
2023-2024,44867,7922881,18-49
2023-2024,1139102,11011772,65+
2023-2024,39195,7962076,18-49
2023-2024,2210640,19894332,18+
2023-2024,3560860,8346429,18+
2023-2024,195658,11418588,60-74
2023-2024,104562,35304190,18+
2024-2025,432028,432028,65+
2023-2024,924442,2117567,75+
2023-2024,59738,15771566,18-64
2023-2024,524581,5041631,75+
2023-2024,77386,16444848,65+
2023-2024,74143,35473772,18+
2023-2024,441426,5251593,18-49
2023-2024,287457,32490754,18+
2023-2024,206963,32203297,18+
2023-2024,18947,7794693,50-64
2023-2024,1521669,3589775,18-64
2023-2024,543999,12484374,18-64
2023-2024,61027,12358589,60-74
2023-2024,39722,16304238,18-64
2023-2024,38279,18975331,65+
2023-2024,22423,22423,18-49
2023-2024,179752,31709379,18+
2023-2024,73744,18443119,65+
2024-2025,1068862,5150086,60-74
2023-2024,96915,18274875,65+
2023-2024,28186,28186,60-74
2023-2024,1918637,6675292,65+
2023-2024,63288,13306048,60-74
2023-2024,161182,34049504,18+
2023-2024,75449,75449,18+
2023-2024,26828,13851637,60-74
2023-2024,94591,8211261,75+
2023-2024,39897,13789073,60-74
2023-2024,26002,8638375,75+
2023-2024,200946,17112695,65+
2023-2024,29906,8586638,75+
2023-2024,213651,16911749,65+
2023-2024,27668,8159895,18-49
2024-2025,2751561,12658289,18+
2023-2024,84255,12541272,60-74
2023-2024,27173,8441440,18-49
2023-2024,535153,4577859,50-64
2023-2024,126764,12668036,60-74
2024-2025,590622,2441506,18-49
2023-2024,14144,7962347,50-64
2023-2024,290392,15544172,65+
2024-2025,511451,1473657,50-64
2023-2024,407497,14674218,65+
2023-2024,45452,7878014,18-49
2024-2025,963009,8274726,18-64
2023-2024,620141,9409725,60-74
2023-2024,887689,27638787,18+
2023-2024,1658657,23477985,18+
2023-2024,326071,10926277,60-74
2023-2024,250730,6296000,75+
2023-2024,188909,7284872,18-49
2023-2024,60367,16505215,65+
2023-2024,66309,15711828,18-64
2023-2024,111918,34584812,18+
2023-2024,211269,11855198,60-74
2024-2025,762978,2126725,75+
2023-2024,682544,1095728,50-64
2024-2025,653640,5046252,75+
2024-2025,1586217,6025175,65+
2023-2024,16124,7828361,50-64
2023-2024,69135,7320951,75+
2023-2024,81810,12297562,60-74
2023-2024,38173,16141688,18-64
2023-2024,40807,16224620,18-64
2023-2024,31382,8102020,18-49
2023-2024,69169,18590197,65+
2024-2025,735547,1046652,60-74
2023-2024,32465,8070638,18-49
2023-2024,486175,14266721,65+
2023-2024,952738,11964510,65+
2023-2024,86800,13088440,60-74
2023-2024,141857,34335055,18+
2023-2024,75616,7679434,18-49
2023-2024,81304,13169744,60-74
2023-2024,3466746,11813175,18+
2023-2024,296653,11222930,60-74
2023-2024,82836,7356201,50-64
2023-2024,50991,8322697,75+
2023-2024,34932,13713932,60-74
2023-2024,748689,1193125,75+
2023-2024,622617,29667368,18+
2023-2024,24945,8690834,75+
2023-2024,85048,15349574,18-64
2023-2024,46388,7832562,18-49
2023-2024,202105,17314800,65+
2023-2024,279072,6735239,18-49
2023-2024,25547,8344972,18-49
2023-2024,49001,12457017,60-74
2023-2024,21615,8391495,18-49
2023-2024,972258,9854816,18-64
2023-2024,292211,6024257,50-64
2024-2025,314991,444173,18-49
2023-2024,267464,32758218,18+
2023-2024,15738,7995405,50-64
2024-2025,706047,706047,18+
2023-2024,668272,3113480,18-49
2024-2025,536027,3708297,50-64
2023-2024,365850,388273,18-49
2024-2025,1086856,3881555,18-64
2023-2024,1215004,6133683,60-74
2024-2025,47914,667252,18-49
2024-2025,36790,814526,18-49
2024-2025,49735,1288007,18-64
2024-2025,28226,870742,60-74
2024-2025,34013,842516,60-74
2024-2025,32502,1203951,65+
2024-2025,95355,2701354,18+
2024-2025,77148,2371890,18+
2024-2025,27414,1083886,65+
2024-2025,125179,2497069,18+
2024-2025,88491,1238272,18-64
2024-2025,150156,2294742,18+
2024-2025,61665,1056472,65+
2024-2025,38588,777736,18-49
2024-2025,41738,739148,18-49
2024-2025,48071,1131957,65+
2024-2025,12903,570530,75+
2024-2025,15275,625411,75+
2024-2025,29062,557627,75+
2024-2025,108930,2605999,18+
2024-2025,40577,571016,50-64
2024-2025,26063,682875,50-64
2024-2025,19577,590593,50-64
2024-2025,69438,1434552,18-64
2024-2025,39492,1171449,65+
2024-2025,21868,592398,75+
2024-2025,62853,1497405,18-64
2024-2025,30158,697410,18-49
2024-2025,35370,625963,50-64
2024-2025,41189,808503,60-74
2024-2025,49828,744667,60-74
2024-2025,77107,1365114,18-64
2024-2025,17738,610136,75+
2024-2025,22647,767314,60-74
2024-2025,30849,656812,50-64
2024-2025,202069,9537606,60-74
2024-2025,229147,13469302,65+
2024-2025,214726,4869964,50-64
2024-2025,350606,9150867,60-74
2024-2025,141955,9854810,60-74
2024-2025,213349,6330278,75+
2024-2025,235531,10575855,18-64
2024-2025,464311,9755730,18-64
2024-2025,230372,13972193,65+
2024-2025,137906,5212438,18-49
2024-2025,465903,24548046,18+
2024-2025,100880,6431158,75+
2024-2025,124715,5465574,18-49
2024-2025,107111,5234995,50-64
2024-2025,327754,10083484,18-64
2024-2025,138986,5008950,50-64
2024-2025,102036,6656733,75+
2024-2025,128421,5340859,18-49
2024-2025,57384,564169,18-49
2024-2025,182728,1975892,18+
2024-2025,122409,947092,18-64
2024-2025,55921,440303,50-64
2024-2025,48930,455072,75+
2024-2025,97377,846073,65+
2024-2025,219786,1793164,18+
2024-2025,104158,1051250,18-64
2024-2025,78571,924644,65+
2024-2025,59259,641088,60-74
2024-2025,71977,581829,60-74
2024-2025,46774,487077,50-64
2024-2025,39203,494275,75+
2024-2025,66487,506785,18-49
2024-2025,339843,4125672,50-64
2024-2025,554711,12771099,65+
2024-2025,700355,8150398,18-64
2024-2025,382694,5574895,75+
2024-2025,542815,9291419,18-64
2024-2025,584209,7924243,60-74
2024-2025,465160,8389403,60-74
2024-2025,249976,4655238,50-64
2024-2025,253390,6116929,75+
2024-2025,279590,4405262,50-64
2024-2025,288644,5863539,75+
2024-2025,814254,11585811,65+
2024-2025,360512,4024725,18-49
2024-2025,630577,12216388,65+
2024-2025,318616,4343341,18-49
2024-2025,1228783,20964990,18+
2024-2025,1514609,19736207,18+
2024-2025,292839,4636180,18-49
2024-2025,1097526,22062516,18+
2024-2025,410858,8800261,60-74
2024-2025,598206,8748604,18-64
2024-2025,188768,5074532,18-49
2024-2025,182832,14155025,65+
2024-2025,249584,4885764,18-49
2024-2025,272519,13741821,65+
2024-2025,529360,24082143,18+
2024-2025,184670,9335537,60-74
2024-2025,175249,9712855,60-74
2024-2025,398001,24946047,18+
2024-2025,556901,23552783,18+
2024-2025,123539,6554697,75+
2024-2025,215169,10791024,18-64
2024-2025,90454,5325449,50-64
2024-2025,256840,10340324,18-64
2024-2025,79824,6736557,75+
2024-2025,469056,13240155,65+
2024-2025,118934,5127884,50-64
2024-2025,933366,22995882,18+
2024-2025,47336,2787945,18+
2024-2025,13913,895282,60-74
2024-2025,19902,851618,18-49
2024-2025,32812,1558553,18-64
2024-2025,14524,1229395,65+
2024-2025,6084,636238,75+
2024-2025,12910,706931,50-64
2024-2025,70163,994807,65+
2024-2025,168694,2144586,18+
2024-2025,34290,528565,75+
2024-2025,43362,530439,50-64
2024-2025,98531,1149781,18-64
2024-2025,53751,694839,60-74
2024-2025,55169,619338,18-49
2024-2025,431624,6029967,75+
2024-2025,709148,13141032,65+
2024-2025,822764,9097490,18-64
2024-2025,1411511,22940882,18+
2024-2025,656186,8506072,60-74
2024-2025,348008,5255518,18-49
2024-2025,326364,4892339,50-64
2024-2025,327847,6357814,75+
2024-2025,624874,13765906,65+
2024-2025,702364,9799854,18-64
2024-2025,1266220,24207102,18+
2024-2025,395764,4565975,50-64
2024-2025,287680,6645494,75+
2024-2025,641346,10441200,18-64
2024-2025,293338,5185677,50-64
2024-2025,464609,9495100,60-74
2024-2025,426999,4531510,18-49
2024-2025,911631,12431884,65+
2024-2025,376000,4907510,18-49
2024-2025,524419,9030491,60-74
2024-2025,1734395,21529371,18+
2024-2025,113783,7001688,75+
2024-2025,574833,27154045,18+
2024-2025,158563,5599543,50-64
2024-2025,167009,6118595,18-49
2024-2025,654539,26579212,18+
2024-2025,207317,10102851,60-74
2024-2025,320590,14873778,65+
2024-2025,333947,11705438,18-64
2024-2025,493356,27647401,18+
2024-2025,154304,5753847,50-64
2024-2025,161505,6280100,18-49
2024-2025,170181,10725552,60-74
2024-2025,145407,7147095,75+
2024-2025,297498,5553016,18-49
2024-2025,304969,12010407,18-64
2024-2025,400434,9895534,60-74
2024-2025,269864,15143642,65+
2024-2025,209262,10555371,60-74
2024-2025,530721,14296627,65+
2024-2025,218926,5771942,18-49
2024-2025,137960,5891807,50-64
2024-2025,1083522,25290624,18+
2024-2025,215334,15358976,65+
2024-2025,119774,7266869,75+
2024-2025,278022,12288429,18-64
2024-2025,179644,5951586,18-49
2024-2025,255303,5440980,50-64
2024-2025,256561,14553188,65+
2024-2025,242411,6887905,75+
2024-2025,552802,10994002,18-64
2024-2025,116517,6008324,50-64
2024-2025,377489,11371491,18-64
2024-2025,634049,25924673,18+
2024-2025,243258,10346109,60-74
2024-2025,95099,7361968,75+
2024-2025,10627,881369,60-74
2024-2025,17190,831716,18-49
2024-2025,4743,630154,75+
2024-2025,11146,694021,50-64
2024-2025,39255,2740609,18+
2024-2025,28336,1525741,18-64
2024-2025,10920,1214871,65+
2024-2025,34849,6771406,75+
2024-2025,83755,14238780,65+
2024-2025,124441,10915465,18-64
2024-2025,208197,25154244,18+
2024-2025,70343,9925153,60-74
2024-2025,71920,5537494,18-49
2024-2025,52521,5377970,50-64
2024-2025,39592,7401560,75+
2024-2025,264212,25418456,18+
2024-2025,79771,5617265,18-49
2024-2025,121482,14360262,65+
2024-2025,142729,11058194,18-64
2024-2025,62958,5440928,50-64
2024-2025,94362,10019515,60-74
2024-2025,53543,6824949,75+
2024-2025,59627,7461187,75+
2024-2025,99673,6468883,18-49
2024-2025,108275,10914797,60-74
2024-2025,136006,15589657,65+
2024-2025,311548,28206401,18+
2024-2025,75868,6147859,50-64
2024-2025,175541,12616747,18-64
2024-2025,18449,913731,60-74
2024-2025,16104,723035,50-64
2024-2025,9287,645525,75+
2024-2025,30619,882237,18-49
2024-2025,21064,1250459,65+
2024-2025,67787,2855732,18+
2024-2025,46723,1605276,18-64
2024-2025,270421,25688877,18+
2024-2025,84657,5701922,18-49
2024-2025,125800,14486062,65+
2024-2025,144621,11202815,18-64
2024-2025,96268,10115783,60-74
2024-2025,59964,5500892,50-64
2024-2025,54966,6879915,75+
2024-2025,26535,908772,18-49
2024-2025,18163,931894,60-74
2024-2025,42701,1647977,18-64
2024-2025,21176,1271635,65+
2024-2025,63877,2919609,18+
2024-2025,16167,739202,50-64
2024-2025,9955,655480,75+
2024-2025,80970,10806522,60-74
2024-2025,63667,6071991,50-64
2024-2025,247452,27894853,18+
2024-2025,89110,6369210,18-49
2024-2025,152777,12441206,18-64
2024-2025,94675,15453651,65+
2024-2025,114717,11029514,60-74
2024-2025,338208,28544609,18+
2024-2025,115276,6584159,18-49
2024-2025,191344,12808091,18-64
2024-2025,146864,15736521,65+
2024-2025,64253,7525440,75+
2024-2025,76068,6223927,50-64
2024-2025,67810,5769732,18-49
2024-2025,111680,14597742,65+
2024-2025,229030,25917907,18+
2024-2025,50994,6930909,75+
2024-2025,117350,11320165,18-64
2024-2025,81833,10197616,60-74
2024-2025,49540,5550432,50-64
2024-2025,94345,6678504,18-49
2024-2025,99996,11129510,60-74
2024-2025,132856,15869377,65+
2024-2025,292907,28837516,18+
2024-2025,160051,12968142,18-64
2024-2025,65707,6289634,50-64
2024-2025,60949,7586389,75+
2024-2025,6102,661582,75+
2024-2025,12756,751958,50-64
2024-2025,13239,945133,60-74
2024-2025,33292,1681269,18-64
2024-2025,47572,2967181,18+
2024-2025,14280,1285915,65+
2024-2025,20536,929308,18-49
2024-2025,89667,11409832,18-64
2024-2025,31356,6962265,75+
2024-2025,37340,5587772,50-64
2024-2025,52327,5822059,18-49
2024-2025,55734,10253350,60-74
2024-2025,71475,14669217,65+
2024-2025,161142,26079049,18+
2024-2025,208714,29046230,18+
2024-2025,72863,6751367,18-49
2024-2025,85755,15955132,65+
2024-2025,122959,13091101,18-64
2024-2025,68973,11198483,60-74
2024-2025,50096,6339730,50-64
2024-2025,37458,7623847,75+
