COVID-19_Season,Doses,Cumulative_Doses,Age_Group
2023-2024,5650,461733,75+
2023-2024,29083,2442605,18+
2023-2024,9027,803661,18-49
2023-2024,14946,1476057,18-64
2023-2024,5919,672396,50-64
2023-2024,9566,781004,60-74
2023-2024,14138,966545,65+
2023-2024,7149,468882,75+
2023-2024,28947,2471552,18+
2023-2024,8704,812365,18-49
2023-2024,14109,1490166,18-64
2023-2024,5404,677800,50-64
2023-2024,8919,789923,60-74
2023-2024,14838,981383,65+
2023-2024,8066,476948,75+
2023-2024,42708,2514260,18+
2023-2024,8425,820790,18-49
2023-2024,13730,1503896,18-64
2023-2024,5305,683105,50-64
2023-2024,9091,799014,60-74
2023-2024,28978,1010361,65+
2023-2024,21921,498869,75+
2023-2024,56468,2570728,18+
2023-2024,7760,828550,18-49
2023-2024,12393,1516289,18-64
2023-2024,4634,687739,50-64
2023-2024,10000,809014,60-74
2023-2024,44074,1054435,65+
2023-2024,36029,534898,75+
2023-2024,25933,2596661,18+
2023-2024,5935,834485,18-49
2023-2024,9600,1525889,18-64
2023-2024,3665,691404,50-64
2023-2024,7506,816520,60-74
2023-2024,16333,1070768,65+
2023-2024,10385,545283,75+
2023-2024,20769,2617430,18+
2023-2024,5376,839861,18-49
2023-2024,8529,1534418,18-64
2023-2024,3152,694556,50-64
2023-2024,6523,823043,60-74
2023-2024,12241,1083009,65+
2023-2024,7040,552323,75+
2023-2024,21396,2638826,18+
2023-2024,6973,846834,18-49
2023-2024,9982,1544400,18-64
2023-2024,3009,697565,50-64
2023-2024,6214,829257,60-74
2023-2024,11414,1094423,65+
2023-2024,6396,558719,75+
2023-2024,20960,2659786,18+
2023-2024,5798,852632,18-49
2023-2024,8775,1553175,18-64
2023-2024,2977,700542,50-64
2023-2024,6430,835687,60-74
2023-2024,12184,1106607,65+
2023-2024,6905,565624,75+
2023-2024,15056,2674842,18+
2023-2024,4597,857229,18-49
2023-2024,6704,1559879,18-64
2023-2024,2107,702649,50-64
2023-2024,4632,840319,60-74
2023-2024,8352,1114959,65+
2023-2024,4496,570120,75+
2023-2024,19818,2694660,18+
2023-2024,6104,863333,18-49
2023-2024,9056,1568935,18-64
2023-2024,2952,705601,50-64
2023-2024,6172,846491,60-74
2023-2024,10762,1125721,65+
2023-2024,5740,575860,75+
2023-2024,18571,2713231,18+
2023-2024,5224,868557,18-49
2023-2024,7965,1576900,18-64
2023-2024,2741,708342,50-64
2023-2024,5756,852247,60-74
2023-2024,10606,1136327,65+
2023-2024,5872,581732,75+
2023-2024,16356,2729587,18+
2023-2024,5136,873693,18-49
2023-2024,7987,1584887,18-64
2023-2024,2851,711193,50-64
2023-2024,5088,857335,60-74
2023-2024,8369,1144696,65+
2023-2024,4382,586114,75+
2023-2024,15890,2745477,18+
2023-2024,5106,878799,18-49
2023-2024,7777,1592664,18-64
2023-2024,2670,713863,50-64
2023-2024,5340,862675,60-74
2023-2024,8113,1152809,65+
2023-2024,3919,590033,75+
2023-2024,11380,2756857,18+
2023-2024,3878,882677,18-49
2023-2024,5778,1598442,18-64
2023-2024,1900,715763,50-64
2023-2024,3395,866070,60-74
2023-2024,5602,1158411,65+
2023-2024,2882,592915,75+
2023-2024,12755,2769612,18+
2023-2024,4120,886797,18-49
2023-2024,6171,1604613,18-64
2023-2024,2051,717814,50-64
2023-2024,4179,870249,60-74
2023-2024,6584,1164995,65+
2023-2024,3253,596168,75+
2023-2024,10531,2780143,18+
2023-2024,3320,890117,18-49
2023-2024,5196,1609809,18-64
2023-2024,1875,719689,50-64
2023-2024,3340,873589,60-74
2023-2024,5336,1170331,65+
2023-2024,2702,598870,75+
2023-2024,9978,2790121,18+
2023-2024,3394,893511,18-49
2023-2024,4955,1614764,18-64
2023-2024,1560,721249,50-64
2023-2024,3097,876686,60-74
2023-2024,5023,1175354,65+
2023-2024,2472,601342,75+
2023-2024,7186,2797307,18+
2023-2024,2428,895939,18-49
2023-2024,3627,1618391,18-64
2023-2024,1199,722448,50-64
2023-2024,2346,879032,60-74
2023-2024,3560,1178914,65+
2023-2024,1687,603029,75+
2024-2025,5575,5575,18+
2024-2025,1431,1431,18-49
2024-2025,2933,2933,18-64
2024-2025,1502,1502,50-64
2024-2025,1880,1880,60-74
2024-2025,2642,2642,65+
2024-2025,1363,1363,75+
2024-2025,29234,34809,18+
2024-2025,6522,7953,18-49
2024-2025,13865,16798,18-64
2024-2025,7342,8844,50-64
2024-2025,11007,12887,60-74
2024-2025,15369,18011,65+
2024-2025,7724,9087,75+
2024-2025,88217,123026,18+
2024-2025,23757,31710,18-49
2024-2025,47212,64010,18-64
2024-2025,23455,32299,50-64
2024-2025,30952,43839,60-74
2024-2025,41005,59016,65+
2024-2025,20332,29419,75+
2024-2025,155461,278487,18+
2024-2025,42850,74560,18-49
2024-2025,82729,146739,18-64
2024-2025,39878,72177,50-64
2024-2025,53163,97002,60-74
2024-2025,72733,131749,65+
2024-2025,37063,66482,75+
2024-2025,209115,487602,18+
2024-2025,56265,130825,18-49
2024-2025,107861,254600,18-64
2024-2025,51596,123773,50-64
2024-2025,71873,168875,60-74
2024-2025,101254,233003,65+
2024-2025,52162,118644,75+
2024-2025,265819,753421,18+
2024-2025,72891,203716,18-49
2024-2025,136071,390671,18-64
2024-2025,63180,186953,50-64
2024-2025,86266,255141,60-74
2024-2025,129748,362751,65+
2024-2025,71217,189861,75+
2024-2025,278911,1032332,18+
2024-2025,78268,281984,18-49
2024-2025,144737,535408,18-64
2024-2025,66468,253421,50-64
2024-2025,88224,343365,60-74
2024-2025,134174,496925,65+
2024-2025,74322,264183,75+
2024-2025,274020,1306352,18+
2024-2025,80165,362149,18-49
2024-2025,146463,681871,18-64
2024-2025,66298,319719,50-64
2024-2025,84773,428138,60-74
2024-2025,127557,624482,65+
2024-2025,71490,335673,75+
2024-2025,267026,1573378,18+
2024-2025,78149,440298,18-49
2024-2025,142812,824683,18-64
2024-2025,64663,384382,50-64
2024-2025,81714,509852,60-74
2024-2025,124214,748696,65+
2024-2025,70469,406142,75+
2024-2025,511321,2749111,18-49
2023-2024,42099,42099,18-64
2024-2025,1030904,1460290,65+
2023-2024,55782,12489528,60-74
2023-2024,748681,26686594,18+
2023-2024,87312,6558473,75+
2023-2024,12144,7220489,50-64
2023-2024,66957,32676465,18+
2023-2024,32238,14880047,18-64
2023-2024,752254,794353,18-64
2023-2024,790104,7790905,60-74
2023-2024,288948,10366095,60-74
2023-2024,135249,31452843,18+
2023-2024,24656,7970618,75+
2023-2024,134655,6356411,50-64
2023-2024,193124,13459992,18-64
2024-2025,1038287,4665242,18-64
2023-2024,242072,5718526,18-49
2023-2024,11951,7232440,50-64
2023-2024,22957,7281230,18-49
2023-2024,103395,11436223,60-74
2023-2024,60159,6910361,75+
2023-2024,39298,14811305,18-64
2024-2025,309225,309225,60-74
2024-2025,1447456,7239628,65+
2023-2024,1482989,22256101,18+
2023-2024,1473562,4982028,18-64
2023-2024,13287,7160150,50-64
2024-2025,1691313,2391785,18+
2023-2024,1862119,6561203,65+
2023-2024,30580,7207753,18-49
2023-2024,55259,15666203,65+
2023-2024,875691,11506113,65+
2023-2024,125172,11332828,60-74
2023-2024,25987,7996605,75+
2023-2024,11890,7172040,50-64
2023-2024,120118,13727618,18-64
2023-2024,69820,13972984,18-64
2023-2024,240686,30613110,18+
2024-2025,2485742,11904868,18+
2023-2024,1738644,20773112,18+
2023-2024,180290,10812147,60-74
2023-2024,32388,7917405,75+
2024-2025,308469,436220,18-49
2023-2024,480479,4059288,18-49
2023-2024,55223,17560150,65+
2023-2024,19735,19735,50-64
2023-2024,67075,6767375,50-64
2023-2024,29230,7177173,18-49
2023-2024,12565,7184605,50-64
2023-2024,1669935,2695049,65+
2023-2024,3335680,11543229,18+
2023-2024,754055,3702977,75+
2023-2024,110654,15404534,65+
2023-2024,47483,12636381,60-74
2023-2024,22853,8019458,75+
2024-2025,492155,3241266,18-49
2023-2024,65226,15558277,65+
2023-2024,33402,7113910,18-49
2023-2024,31945,14711574,18-64
2023-2024,448606,4507894,18-49
2023-2024,44059,6865496,50-64
2023-2024,93582,7225044,75+
2023-2024,40635,7853174,75+
2024-2025,424282,1246480,18-49
2024-2025,491398,2918849,50-64
2024-2025,2175446,16400239,18+
2023-2024,2004035,4699084,65+
2024-2025,637311,4128429,75+
2023-2024,644071,3259915,50-64
2023-2024,2601185,17015603,18+
2023-2024,29688,14741262,18-64
2023-2024,181394,30996452,18+
2023-2024,22749,8042207,75+
2023-2024,122487,29583929,18+
2023-2024,26759,7234512,18-49
2023-2024,25411,6954576,50-64
2024-2025,700472,700472,18+
2023-2024,34719,17796417,65+
2023-2024,48957,17761698,65+
2023-2024,315550,5210803,18-49
2023-2024,219978,5938504,18-49
2023-2024,117589,15783792,65+
2023-2024,12093,7244533,50-64
2023-2024,54733,17712741,65+
2023-2024,13614,13614,75+
2023-2024,2910851,4730318,18+
2023-2024,559430,9005406,60-74
2023-2024,429214,12400709,18-64
2023-2024,72213,12370730,60-74
