Current Season,Month,Numerator,Population,Jurisdiction,Estimate,Age_group_label,Legend
2022-23,APR,16500,157912,Mississippi,0.1045,9-12 years,"2022-23, Mississippi: 9-12 years"
2022-23,JUL,79,2060818,New York State,0,65+ years,"2022-23, New York (excluding New York City): 65+ years"
2022-23,MAR,67,24141,U.S. Virgin Islands ,0.0028,6 months to 17 years,"2022-23, U.S. Virgin Islands : 6 months to 17 years"
2022-23,MAY,26445,104306,New Mexico,0.2535,5-8 years,"2022-23, New Mexico: 5-8 years"
2022-23,SEP,2,20478,U.S. Virgin Islands ,0.0001,65+ years,"2022-23, U.S. Virgin Islands : 65+ years"
2023-24,DEC,4834,26572.5,West Virginia,0.1819,6-23 months,"2023-24, West Virginia: 6-23 months"
2023-24,MAY,44017,95451.5,Wisconsin,0.4611,6-23 months,"2023-24, Wisconsin: 6-23 months"
2023-24,SEP,,,Houston,,65+ years,"2023-24, Houston: 65+ years"
2024-25,AUG,9650,697429,Puerto Rico,0.0138,65+ years,"2024-25, Puerto Rico: 65+ years"
2024-25,DEC,54511,212202,Minnesota,0.2569,2-4 years,"2024-25, Minnesota: 2-4 years"
2022-23,JUN,,,Nebraska,,2-4 years,"2022-23, Nebraska: 2-4 years"
2022-23,MAR,2236125,8832618,New Jersey,0.2532,Overall,"2022-23, New Jersey: Overall"
2023-24,AUG,,,Massachusetts,,6 months to 17 years,"2023-24, Massachusetts: 6 months to 17 years"
2023-24,AUG,,,Virginia,,65+ years,"2023-24, Virginia: 65+ years"
2023-24,DEC,,,Hawaii,,13-17 years,"2023-24, Hawaii: 13-17 years"
2023-24,JUL,0,8151,Marshall Islands,0,13-17 years,"2023-24, Marshall Islands: 13-17 years"
2023-24,SEP,1312,59835,South Dakota,0.0219,13-17 years,"2023-24, South Dakota: 13-17 years"
2024-25,AUG,2164,514913,New York State,0.0042,9-12 years,"2024-25, New York (excluding New York City): 9-12 years"
2024-25,SEP,202581,3226163.5,Utah,0.0628,Overall,"2024-25, Utah: Overall"
2022-23,DEC,387248,645996,Connecticut,0.5995,65+ years,"2022-23, Connecticut: 65+ years"
2022-23,JAN,2869,36097,Marshall Islands,0.0795,18-49 years,"2022-23, Marshall Islands: 18-49 years"
2022-23,SEP,5023,198053,Nevada,0.0254,13-17 years,"2022-23, Nevada: 13-17 years"
2023-24,AUG,5527,1053369,Colorado,0.0052,50-64 years,"2023-24, Colorado: 50-64 years"
2023-24,AUG,45,13527.5,District of Columbia,0.0033,6-23 months,"2023-24, District of Columbia: 6-23 months"
2023-24,JUL,4,307961,Missouri,0,9-12 years,"2023-24, Missouri: 9-12 years"
2024-25,SEP,7617,133652,Vermont,0.057,50-64 years,"2024-25, Vermont: 50-64 years"
2023-24,JUN,,,South Carolina,,9-12 years,"2023-24, South Carolina: 9-12 years"
2023-24,MAR,,,Virginia,,Overall,"2023-24, Virginia: Overall"
2023-24,NOV,23794,71006.5,Utah,0.3351,6-23 months,"2023-24, Utah: 6-23 months"
2023-24,SEP,144100,2624172,Puerto Rico,0.0549,18+ years,"2023-24, Puerto Rico: 18+ years"
2024-25,DEC,1509,47529,Marshall Islands,0.0317,18+ years,"2024-25, Marshall Islands: 18+ years"
2024-25,JUL,27,2341888,Wisconsin,0,18-49 years,"2024-25, Wisconsin: 18-49 years"
2022-23,DEC,,,Virginia,,18-49 years,"2022-23, Virginia: 18-49 years"
2022-23,FEB,635256,1568273.5,Philadelphia,0.4051,Overall,"2022-23, Philadelphia: Overall"
2022-23,JAN,731547,2337214,New York State,0.313,50-64 years,"2022-23, New York (excluding New York City): 50-64 years"
2022-23,JUL,0,55856,West Virginia,0,2-4 years,"2022-23, West Virginia: 2-4 years"
2022-23,NOV,748,2608,American Samoa,0.2868,2-4 years,"2022-23, American Samoa: 2-4 years"
2023-24,AUG,9519,874244,Alabama,0.0109,65+ years,"2023-24, Alabama: 65+ years"
2023-24,JAN,985,20478,U.S. Virgin Islands ,0.0481,65+ years,"2023-24, U.S. Virgin Islands : 65+ years"
2024-25,JUL,3,163419,Connecticut,0,9-12 years,"2024-25, Connecticut: 9-12 years"
2022-23,FEB,2229192,8567802,California,0.2602,6 months to 17 years,"2022-23, California: 6 months to 17 years"
2022-23,JAN,146826,507668,Maine,0.2892,18-49 years,"2022-23, Maine: 18-49 years"
2023-24,APR,429066,1816139.5,Idaho,0.2363,Overall,"2023-24, Idaho: Overall"
2023-24,MAR,137123,226967,Philadelphia,0.6042,65+ years,"2023-24, Philadelphia: 65+ years"
2023-24,OCT,98967,587166,Nevada,0.1686,50-64 years,"2023-24, Nevada: 50-64 years"
2024-25,JAN,,,Arizona,,Overall,"2024-25, Arizona: Overall"
2024-25,OCT,863,37396.5,Puerto Rico,0.0231,6-23 months,"2024-25, Puerto Rico: 6-23 months"
2022-23,FEB,126396,679728,Nevada,0.186,6 months to 17 years,"2022-23, Nevada: 6 months to 17 years"
2022-23,NOV,3,928,Republic of Palau,0.0032,5-8 years,"2022-23, Republic of Palau: 5-8 years"
2022-23,SEP,3425,112689,Nevada,0.0304,2-4 years,"2022-23, Nevada: 2-4 years"
2023-24,APR,,,Massachusetts,,2-4 years,"2023-24, Massachusetts: 2-4 years"
2023-24,FEB,4972,30474,Alaska,0.1632,2-4 years,"2023-24, Alaska: 2-4 years"
2023-24,FEB,121564,386838,New Mexico,0.3143,50-64 years,"2023-24, New Mexico: 50-64 years"
2024-25,OCT,203740,1991746,California,0.1023,9-12 years,"2024-25, California: 9-12 years"
2023-24,NOV,3291,31095,Wyoming,0.1058,9-12 years,"2023-24, Wyoming: 9-12 years"
2023-24,SEP,3198,155373,Oklahoma,0.0206,2-4 years,"2023-24, Oklahoma: 2-4 years"
2024-25,DEC,,,Kansas,,Overall,"2024-25, Kansas: Overall"
2024-25,JAN,152152,305994,Idaho,0.4972,65+ years,"2024-25, Idaho: 65+ years"
2024-25,JUL,87,499955,Mississippi,0.0002,65+ years,"2024-25, Mississippi: 65+ years"
2024-25,NOV,114391,197594,Delaware,0.5789,65+ years,"2024-25, Delaware: 65+ years"
2023-24,JAN,310747,701836,Connecticut,0.4428,6 months to 17 years,"2023-24, Connecticut: 6 months to 17 years"
2023-24,JUL,22,1308751,New York City,0,65+ years,"2023-24, New York City: 65+ years"
2023-24,JUN,52304,268337,Utah,0.1949,13-17 years,"2023-24, Utah: 13-17 years"
2023-24,JUN,1578463,6846888.5,Tennessee,0.2305,Overall,"2023-24, Tennessee: Overall"
2023-24,MAY,177985,742696,Philadelphia,0.2396,18-49 years,"2023-24, Philadelphia: 18-49 years"
2023-24,NOV,65800,383258,Delaware,0.1717,18-49 years,"2023-24, Delaware: 18-49 years"
2022-23,DEC,231188,381593,Utah,0.6058,65+ years,"2022-23, Utah: 65+ years"
2022-23,JUN,0,547437,Georgia,0,5-8 years,"2022-23, Georgia: 5-8 years"
2022-23,SEP,,,Kansas,,18-49 years,"2022-23, Kansas: 18-49 years"
2023-24,DEC,,,Nebraska,,2-4 years,"2023-24, Nebraska: 2-4 years"
2023-24,DEC,3696,31095,Wyoming,0.1189,9-12 years,"2023-24, Wyoming: 9-12 years"
2023-24,JAN,11192,110338,Mississippi,0.1014,2-4 years,"2023-24, Mississippi: 2-4 years"
2024-25,SEP,47,7700,Marshall Islands,0.0061,50-64 years,"2024-25, Marshall Islands: 50-64 years"
2024-25,SEP,1387,54432.5,Arkansas,0.0255,6-23 months,"2024-25, Arkansas: 6-23 months"
2023-24,JUL,49,3752487,New York City,0,18-49 years,"2023-24, New York City: 18-49 years"
2023-24,JUL,166,4366564,Pennsylvania,0,18-49 years,"2023-24, Pennsylvania (excluding Philadelphia County): 18-49 years"
2023-24,MAY,315723,763750,Louisiana,0.4134,65+ years,"2023-24, Louisiana: 65+ years"
2024-25,DEC,97003,579166.5,Wyoming,0.1675,Overall,"2024-25, Wyoming: Overall"
2024-25,JUL,13,583680,North Dakota,0,18+ years,"2024-25, North Dakota: 18+ years"
2024-25,JUL,,,South Carolina,,18+ years,"2024-25, South Carolina: 18+ years"
2022-23,FEB,92441,440269.5,Idaho,0.21,6 months to 17 years,"2022-23, Idaho: 6 months to 17 years"
2022-23,MAR,117784,504671,North Carolina,0.2334,5-8 years,"2022-23, North Carolina: 5-8 years"
2022-23,MAY,36852,78981,Philadelphia,0.4666,5-8 years,"2022-23, Philadelphia: 5-8 years"
2022-23,NOV,38374,223108,Kentucky,0.172,9-12 years,"2022-23, Kentucky: 9-12 years"
2022-23,SEP,1967,201249,Arkansas,0.0098,13-17 years,"2022-23, Arkansas: 13-17 years"
2022-23,SEP,58592,701836,Connecticut,0.0835,6 months to 17 years,"2022-23, Connecticut: 6 months to 17 years"
2023-24,DEC,426620,3608589,New Jersey,0.1182,18-49 years,"2023-24, New Jersey: 18-49 years"
2023-24,NOV,511569,2225691,Pennsylvania,0.2298,6 months to 17 years,"2023-24, Pennsylvania (excluding Philadelphia County): 6 months to 17 years"
2024-25,JAN,234234,1335604.5,Missouri,0.1754,6 months to 17 years,"2024-25, Missouri: 6 months to 17 years"
2022-23,AUG,4092,3012504.5,Arkansas,0.0014,Overall,"2022-23, Arkansas: Overall"
2022-23,FEB,,,Nebraska,,Overall,"2022-23, Nebraska: Overall"
2022-23,FEB,2212222,5801275.5,Wisconsin,0.3813,Overall,"2022-23, Wisconsin: Overall"
2022-23,MAR,0,1574667,Georgia,0,65+ years,"2022-23, Georgia: 65+ years"
2022-23,OCT,51743,365609,Colorado,0.1415,13-17 years,"2022-23, Colorado: 13-17 years"
2022-23,OCT,81020,607964,Illinois,0.1333,5-8 years,"2022-23, Illinois: 5-8 years"
2023-24,DEC,674744,2427133,Illinois,0.278,50-64 years,"2023-24, Illinois: 50-64 years"
2023-24,DEC,708,6780,Marshall Islands,0.1044,9-12 years,"2023-24, Marshall Islands: 9-12 years"
2023-24,JAN,134292,226967,Philadelphia,0.5917,65+ years,"2023-24, Philadelphia: 65+ years"
2023-24,MAR,631349,2314476,Ohio,0.2728,50-64 years,"2023-24, Ohio: 50-64 years"
2023-24,MAR,27668,173878,Alaska,0.1591,6 months to 17 years,"2023-24, Alaska: 6 months to 17 years"
2024-25,DEC,,,Hawaii,,13-17 years,"2024-25, Hawaii: 13-17 years"
2022-23,NOV,1863021,21925627,Texas,0.085,18+ years,"2022-23, Texas: 18+ years"
2022-23,SEP,220850,5293195,Illinois,0.0417,18-49 years,"2022-23, Illinois: 18-49 years"
2022-23,SEP,47,5080,Marshall Islands,0.0093,2-4 years,"2022-23, Marshall Islands: 2-4 years"
2022-23,SEP,635125,8789112,New York State,0.0723,18+ years,"2022-23, New York (excluding New York City): 18+ years"
2023-24,DEC,426841,1415568,Washington,0.3015,50-64 years,"2023-24, Washington: 50-64 years"
2023-24,FEB,1865,3481,American Samoa,0.5358,5-8 years,"2023-24, American Samoa: 5-8 years"
2023-24,FEB,1040,12246,Federated States of Micronesia,0.0849,50-64 years,"2023-24, Federated States of Micronesia: 50-64 years"
2023-24,JUN,1024,4712,Guam,0.2173,6-23 months,"2023-24, Guam: 6-23 months"
2024-25,JAN,28518,164299,Kentucky,0.1736,2-4 years,"2024-25, Kentucky: 2-4 years"
2024-25,JAN,55219,339143,Tennessee,0.1628,9-12 years,"2024-25, Tennessee: 9-12 years"
2024-25,NOV,660773,1574667,Georgia,0.4196,65+ years,"2024-25, Georgia: 65+ years"
2022-23,DEC,616384,2095031,New Mexico,0.2942,Overall,"2022-23, New Mexico: Overall"
2022-23,JAN,57232,247042,Tennessee,0.2317,2-4 years,"2022-23, Tennessee: 2-4 years"
2023-24,APR,945,9444,Guam,0.1001,2-4 years,"2023-24, Guam: 2-4 years"
2023-24,JAN,80717,370797,Wisconsin,0.2177,13-17 years,"2023-24, Wisconsin: 13-17 years"
2023-24,JUL,0,467559,Michigan,0,5-8 years,"2023-24, Michigan: 5-8 years"
2023-24,JUL,4,34451,New Mexico,0.0001,6-23 months,"2023-24, New Mexico: 6-23 months"
2023-24,NOV,121010,226967,Philadelphia,0.5332,65+ years,"2023-24, Philadelphia: 65+ years"
2023-24,OCT,53063,332603,Florida,0.1595,6-23 months,"2023-24, Florida: 6-23 months"
2023-24,SEP,,,South Carolina,,13-17 years,"2023-24, South Carolina: 13-17 years"
2024-25,OCT,6503,149649,Mississippi,0.0435,5-8 years,"2024-25, Mississippi: 5-8 years"
2022-23,APR,70211,199448,Wisconsin,0.352,2-4 years,"2022-23, Wisconsin: 2-4 years"
2022-23,FEB,200951,962974,Alabama,0.2087,50-64 years,"2022-23, Alabama: 50-64 years"
2022-23,JUN,116621,270072,Philadelphia,0.4318,50-64 years,"2022-23, Philadelphia: 50-64 years"
2022-23,JUN,100293,364081,West Virginia,0.2755,50-64 years,"2022-23, West Virginia: 50-64 years"
2022-23,SEP,,,Hawaii,,50-64 years,"2022-23, Hawaii: 50-64 years"
2023-24,APR,207228,593437,Iowa,0.3492,50-64 years,"2023-24, Iowa: 50-64 years"
2023-24,AUG,9,21113,Wyoming,0.0004,2-4 years,"2023-24, Wyoming: 2-4 years"
2023-24,DEC,1042,7989,Federated States of Micronesia,0.1304,9-12 years,"2023-24, Federated States of Micronesia: 9-12 years"
2023-24,FEB,88190,157177,South Dakota,0.5611,65+ years,"2023-24, South Dakota: 65+ years"
2023-24,MAY,,,Chicago,,50-64 years,"2023-24, Chicago: 50-64 years"
2023-24,MAY,2601,3546,American Samoa,0.7335,9-12 years,"2023-24, American Samoa: 9-12 years"
2024-25,SEP,17011,460572,Washington,0.0369,13-17 years,"2024-25, Washington: 13-17 years"
2022-23,FEB,8584,26358,District of Columbia,0.3257,9-12 years,"2022-23, District of Columbia: 9-12 years"
2022-23,JUL,30,758237,Connecticut,0,50-64 years,"2022-23, Connecticut: 50-64 years"
2022-23,NOV,305696,1806245,Oregon,0.1692,18-49 years,"2022-23, Oregon: 18-49 years"
2022-23,OCT,,,Kansas,,9-12 years,"2022-23, Kansas: 9-12 years"
2022-23,SEP,32597,514913,New York State,0.0633,9-12 years,"2022-23, New York (excluding New York City): 9-12 years"
2023-24,AUG,27093,2220720,Pennsylvania,0.0122,65+ years,"2023-24, Pennsylvania (excluding Philadelphia County): 65+ years"
2023-24,MAR,207155,850894,Montana,0.2435,18+ years,"2023-24, Montana: 18+ years"
2023-24,NOV,4884,15564.5,North Dakota,0.3138,6-23 months,"2023-24, North Dakota: 6-23 months"
2024-25,DEC,,,Indiana,,2-4 years,"2024-25, Indiana: 2-4 years"
2024-25,SEP,26604,626171,Illinois,0.0425,9-12 years,"2024-25, Illinois: 9-12 years"
2022-23,FEB,306633,782153,Delaware,0.392,18+ years,"2022-23, Delaware: 18+ years"
2023-24,JAN,,,New Hampshire,,50-64 years,"2023-24, New Hampshire: 50-64 years"
2023-24,JUN,41065,245322,Alabama,0.1674,9-12 years,"2023-24, Alabama: 9-12 years"
2024-25,AUG,11724,3079500,Arizona,0.0038,18-49 years,"2024-25, Arizona: 18-49 years"
2024-25,AUG,1429,166917,Guam,0.0086,Overall,"2024-25, Guam: Overall"
2022-23,AUG,374,130262.5,Washington,0.0029,6-23 months,"2022-23, Washington: 6-23 months"
2022-23,FEB,,,Virginia,,13-17 years,"2022-23, Virginia: 13-17 years"
2022-23,JAN,11202,33304,Delaware,0.3364,2-4 years,"2022-23, Delaware: 2-4 years"
2022-23,MAY,416030,2857609,Tennessee,0.1456,18-49 years,"2022-23, Tennessee: 18-49 years"
2022-23,MAY,712920,1640786,New York City,0.4345,6 months to 17 years,"2022-23, New York City: 6 months to 17 years"
2022-23,MAY,118382,579166.5,Wyoming,0.2044,Overall,"2022-23, Wyoming: Overall"
2024-25,OCT,1892,66724,Federated States of Micronesia,0.0284,18+ years,"2024-25, Federated States of Micronesia: 18+ years"
2023-24,APR,0,4619939,Georgia,0,18-49 years,"2023-24, Georgia: 18-49 years"
2023-24,JAN,628402,3834249,Alabama,0.1639,18+ years,"2023-24, Alabama: 18+ years"
2024-25,JAN,,,Rhode Island,,13-17 years,"2024-25, Rhode Island: 13-17 years"
2024-25,JAN,,,Illinois,,6-23 months,"2024-25, Illinois: 6-23 months"
2024-25,NOV,182602,620682,Vermont,0.2942,Overall,"2024-25, Vermont: Overall"
2024-25,OCT,36391,222285,Connecticut,0.1637,13-17 years,"2024-25, Connecticut: 13-17 years"
2022-23,APR,32620,59557,Philadelphia,0.5477,2-4 years,"2022-23, Philadelphia: 2-4 years"
2022-23,MAY,376725,1278598,Indiana,0.2946,50-64 years,"2022-23, Indiana: 50-64 years"
2022-23,NOV,1634006,8567802,California,0.1907,6 months to 17 years,"2022-23, California: 6 months to 17 years"
2023-24,MAY,2965,47529,Marshall Islands,0.0624,18+ years,"2023-24, Marshall Islands: 18+ years"
2023-24,NOV,33648,222571,Kentucky,0.1512,5-8 years,"2023-24, Kentucky: 5-8 years"
2024-25,AUG,47,95451.5,Wisconsin,0.0005,6-23 months,"2024-25, Wisconsin: 6-23 months"
2024-25,DEC,492296,3752487,New York City,0.1312,18-49 years,"2024-25, New York City: 18-49 years"
2024-25,NOV,105844,514913,New York State,0.2056,9-12 years,"2024-25, New York (excluding New York City): 9-12 years"
2024-25,OCT,404084,4006528,Michigan,0.1009,18-49 years,"2024-25, Michigan: 18-49 years"
2022-23,APR,681,4712,Guam,0.1445,6-23 months,"2022-23, Guam: 6-23 months"
2022-23,DEC,31145,215130,Oklahoma,0.1448,5-8 years,"2022-23, Oklahoma: 5-8 years"
2022-23,JAN,110329,504671,North Carolina,0.2186,5-8 years,"2022-23, North Carolina: 5-8 years"
2022-23,JUN,2499,3481,American Samoa,0.7179,5-8 years,"2022-23, American Samoa: 5-8 years"
2022-23,MAR,746132,2320603,Utah,0.3215,18+ years,"2022-23, Utah: 18+ years"
2022-23,MAR,1481462,10541669,North Carolina,0.1405,Overall,"2022-23, North Carolina: Overall"
2024-25,JAN,34972,130824,North Dakota,0.2673,50-64 years,"2024-25, North Dakota: 50-64 years"
2024-25,NOV,78517,157177,South Dakota,0.4995,65+ years,"2024-25, South Dakota: 65+ years"
2024-25,NOV,1261040,6846888.5,Tennessee,0.1842,Overall,"2024-25, Tennessee: Overall"
2022-23,MAY,2420,70741,Guam,0.0342,18-49 years,"2022-23, Guam: 18-49 years"
2022-23,NOV,13042,49273,South Dakota,0.2647,5-8 years,"2022-23, South Dakota: 5-8 years"
2022-23,OCT,7863,149649,Mississippi,0.0525,5-8 years,"2022-23, Mississippi: 5-8 years"
2022-23,OCT,,,South Carolina,,6 months to 17 years,"2022-23, South Carolina: 6 months to 17 years"
2023-24,MAY,53689,247042,Tennessee,0.2173,2-4 years,"2023-24, Tennessee: 2-4 years"
2023-24,SEP,170,47529,Marshall Islands,0.0036,18+ years,"2023-24, Marshall Islands: 18+ years"
2023-24,AUG,15205,3564038,Louisiana,0.0043,18+ years,"2023-24, Louisiana: 18+ years"
2023-24,DEC,159673,373569,West Virginia,0.4274,65+ years,"2023-24, West Virginia: 65+ years"
2023-24,JUL,2,15564.5,North Dakota,0.0001,6-23 months,"2023-24, North Dakota: 6-23 months"
2023-24,OCT,32986,95876,Alaska,0.344,65+ years,"2023-24, Alaska: 65+ years"
2022-23,APR,,,Hawaii,,2-4 years,"2022-23, Hawaii: 2-4 years"
2022-23,APR,24176,112689,Nevada,0.2145,2-4 years,"2022-23, Nevada: 2-4 years"
2022-23,AUG,7,31095,Wyoming,0.0002,9-12 years,"2022-23, Wyoming: 9-12 years"
2022-23,DEC,119599,583228,District of Columbia,0.2051,18+ years,"2022-23, District of Columbia: 18+ years"
2022-23,JUL,,,Virginia,,18-49 years,"2022-23, Virginia: 18-49 years"
2022-23,JUN,163308,500397,Pennsylvania,0.3264,5-8 years,"2022-23, Pennsylvania (excluding Philadelphia County): 5-8 years"
2024-25,JAN,,,South Dakota,,65+ years,"2024-25, South Dakota: 65+ years"
2024-25,SEP,14479,198442,Colorado,0.073,2-4 years,"2024-25, Colorado: 2-4 years"
2022-23,MAR,,,Virginia,,2-4 years,"2022-23, Virginia: 2-4 years"
2022-23,MAY,,,Rhode Island,,50-64 years,"2022-23, Rhode Island: 50-64 years"
2022-23,NOV,51111,110266,Connecticut,0.4635,2-4 years,"2022-23, Connecticut: 2-4 years"
2023-24,DEC,30261,133827,Alaska,0.2261,50-64 years,"2023-24, Alaska: 50-64 years"
2023-24,FEB,,,Nebraska,,5-8 years,"2023-24, Nebraska: 5-8 years"
2023-24,FEB,,,Kansas,,9-12 years,"2023-24, Kansas: 9-12 years"
2022-23,JAN,19297,38454,Maine,0.5018,2-4 years,"2022-23, Maine: 2-4 years"
2022-23,SEP,35429,385957,New York City,0.0918,5-8 years,"2022-23, New York City: 5-8 years"
2023-24,JAN,93427,449237,Wyoming,0.208,18+ years,"2023-24, Wyoming: 18+ years"
2023-24,JUL,,,Nebraska,,18-49 years,"2023-24, Nebraska: 18-49 years"
2023-24,JUL,3,593437,Iowa,5.0553e-06,50-64 years,"2023-24, Iowa: 50-64 years"
2023-24,JUL,12,553690.5,Puerto Rico,0,6 months to 17 years,"2023-24, Puerto Rico: 6 months to 17 years"
2024-25,AUG,232,286356,Wisconsin,0.0008,9-12 years,"2024-25, Wisconsin: 9-12 years"
2024-25,JAN,373884,1966287,California,0.1901,5-8 years,"2024-25, California: 5-8 years"
2023-24,DEC,577,1258.5,American Samoa,0.4583,6-23 months,"2023-24, American Samoa: 6-23 months"
2023-24,DEC,18571,163198.5,Michigan,0.1138,6-23 months,"2023-24, Michigan: 6-23 months"
2023-24,JAN,5845,15641.5,American Samoa,0.3737,6 months to 17 years,"2023-24, American Samoa: 6 months to 17 years"
2023-24,JUN,737290,2427133,Illinois,0.3038,50-64 years,"2023-24, Illinois: 50-64 years"
2023-24,OCT,150014,1473455.5,Tennessee,0.1018,6 months to 17 years,"2023-24, Tennessee: 6 months to 17 years"
2024-25,JAN,207672,293776,Maine,0.7069,65+ years,"2024-25, Maine: 65+ years"
2024-25,JUL,0,54432.5,Arkansas,0,6-23 months,"2024-25, Arkansas: 6-23 months"
2024-25,JUL,114,1308751,New York City,0.0001,65+ years,"2024-25, New York City: 65+ years"
2024-25,NOV,1927,14422,Alaska,0.1336,6-23 months,"2024-25, Alaska: 6-23 months"
2022-23,FEB,2214573,8832618,New Jersey,0.2507,Overall,"2022-23, New Jersey: Overall"
2022-23,MAY,15490,49273,South Dakota,0.3144,5-8 years,"2022-23, South Dakota: 5-8 years"
2022-23,SEP,36347,570423.5,Texas,0.0637,6-23 months,"2022-23, Texas: 6-23 months"
2022-23,SEP,9520,245322,Alabama,0.0388,9-12 years,"2022-23, Alabama: 9-12 years"
2023-24,APR,82,4829.5,Republic of Palau,0.017,6 months to 17 years,"2023-24, Republic of Palau: 6 months to 17 years"
2023-24,FEB,200443,697429,Puerto Rico,0.2874,65+ years,"2023-24, Puerto Rico: 65+ years"
2023-24,FEB,13350,48907,South Dakota,0.273,9-12 years,"2023-24, South Dakota: 9-12 years"
2023-24,JAN,629,24141,U.S. Virgin Islands ,0.0261,6 months to 17 years,"2023-24, U.S. Virgin Islands : 6 months to 17 years"
2023-24,OCT,26130,133652,Vermont,0.1955,50-64 years,"2023-24, Vermont: 50-64 years"
2023-24,SEP,60485,1829101,Kentucky,0.0331,18-49 years,"2023-24, Kentucky: 18-49 years"
2024-25,SEP,139262,3956445.5,Oklahoma,0.0352,Overall,"2024-25, Oklahoma: Overall"
2022-23,MAY,2669208,7220373,California,0.3697,50-64 years,"2022-23, California: 50-64 years"
2022-23,NOV,11516,54115,Nevada,0.2128,6-23 months,"2022-23, Nevada: 6-23 months"
2022-23,OCT,628812,3873683,Texas,0.1623,65+ years,"2022-23, Texas: 65+ years"
2023-24,AUG,1344,504671,North Carolina,0.0027,5-8 years,"2023-24, North Carolina: 5-8 years"
2023-24,AUG,118373,4638094,Florida,0.0255,65+ years,"2023-24, Florida: 65+ years"
2023-24,JAN,1842698,5776181,Colorado,0.319,Overall,"2023-24, Colorado: Overall"
2023-24,OCT,3938,65539,Montana,0.0601,13-17 years,"2023-24, Montana: 13-17 years"
2024-25,NOV,44672,163419,Connecticut,0.2734,9-12 years,"2024-25, Connecticut: 9-12 years"
2024-25,SEP,750259,7220373,California,0.1039,50-64 years,"2024-25, California: 50-64 years"
2022-23,APR,1406626,4220498,Oregon,0.3333,Overall,"2022-23, Oregon: Overall"
2022-23,SEP,2376,36075,N. Mariana Islands,0.0659,18+ years,"2022-23, N. Mariana Islands: 18+ years"
2023-24,APR,,,Hawaii,,18+ years,"2023-24, Hawaii: 18+ years"
2023-24,JUN,89322,624694,Michigan,0.143,13-17 years,"2023-24, Michigan: 13-17 years"
2023-24,SEP,560996,7839742,Michigan,0.0716,18+ years,"2023-24, Michigan: 18+ years"
2024-25,AUG,0,684,Republic of Palau,0,2-4 years,"2024-25, Republic of Palau: 2-4 years"
2024-25,DEC,,,Nebraska,,5-8 years,"2024-25, Nebraska: 5-8 years"
2024-25,JAN,84,3278,American Samoa,0.0256,65+ years,"2024-25, American Samoa: 65+ years"
2022-23,JUL,24,155213,Nevada,0.0002,5-8 years,"2022-23, Nevada: 5-8 years"
2023-24,APR,38949,157739,Arkansas,0.2469,9-12 years,"2023-24, Arkansas: 9-12 years"
2023-24,DEC,177151,873539,Louisiana,0.2028,50-64 years,"2023-24, Louisiana: 50-64 years"
2023-24,JUL,4,163419,Connecticut,0,9-12 years,"2023-24, Connecticut: 9-12 years"
2023-24,JUN,82726,151155,New Jersey,0.5473,6-23 months,"2023-24, New Jersey: 6-23 months"
2024-25,JAN,102,5553,U.S. Virgin Islands ,0.0184,5-8 years,"2024-25, U.S. Virgin Islands : 5-8 years"
2024-25,JAN,,,Massachusetts,,6-23 months,"2024-25, Massachusetts: 6-23 months"
2024-25,SEP,43763,197594,Delaware,0.2215,65+ years,"2024-25, Delaware: 65+ years"
2022-23,JAN,43564,120410.5,Tennessee,0.3618,6-23 months,"2022-23, Tennessee: 6-23 months"
2022-23,JUN,,,Massachusetts,,5-8 years,"2022-23, Massachusetts: 5-8 years"
2022-23,NOV,792,10382,Federated States of Micronesia,0.0763,13-17 years,"2022-23, Federated States of Micronesia: 13-17 years"
2023-24,MAR,658420,2335478,Pennsylvania,0.2819,50-64 years,"2023-24, Pennsylvania (excluding Philadelphia County): 50-64 years"
2024-25,JAN,,,Hawaii,,50-64 years,"2024-25, Hawaii: 50-64 years"
2022-23,APR,733051,2707942,Illinois,0.2707,6 months to 17 years,"2022-23, Illinois: 6 months to 17 years"
2022-23,AUG,392,73520,Philadelphia,0.0053,9-12 years,"2022-23, Philadelphia: 9-12 years"
2022-23,JUL,65,328538.5,Philadelphia,0.0002,6 months to 17 years,"2022-23, Philadelphia: 6 months to 17 years"
2022-23,MAY,,,Rhode Island,,13-17 years,"2022-23, Rhode Island: 13-17 years"
2022-23,NOV,11067,80919,West Virginia,0.1368,9-12 years,"2022-23, West Virginia: 9-12 years"
2023-24,FEB,12461,79949,West Virginia,0.1559,5-8 years,"2023-24, West Virginia: 5-8 years"
2023-24,JAN,12315,80919,West Virginia,0.1522,9-12 years,"2023-24, West Virginia: 9-12 years"
2024-25,DEC,,,South Carolina,,18+ years,"2024-25, South Carolina: 18+ years"
2024-25,JAN,3325,16061,Guam,0.207,65+ years,"2024-25, Guam: 65+ years"
2024-25,JUL,,,Houston,,2-4 years,"2024-25, Houston: 2-4 years"
2022-23,NOV,42219,176399.5,North Dakota,0.2393,6 months to 17 years,"2022-23, North Dakota: 6 months to 17 years"
2023-24,JUN,49157,207146,Montana,0.2373,50-64 years,"2023-24, Montana: 50-64 years"
2023-24,MAR,499,2226,N. Mariana Islands,0.2242,2-4 years,"2023-24, N. Mariana Islands: 2-4 years"
2023-24,OCT,52308,377798,Washington,0.1385,9-12 years,"2023-24, Washington: 9-12 years"
