Current Season,Month,Numerator,Population,Jurisdiction,Estimate,Age_group_label,Legend
2024-25,AUG,696,187055,Puerto Rico,0.0037,13-17 years,"2024-25, Puerto Rico: 13-17 years"
2024-25,DEC,,,Virginia,,9-12 years,"2024-25, Virginia: 9-12 years"
2022-23,JAN,2,38581,U.S. Virgin Islands ,0.0001,18-49 years,"2022-23, U.S. Virgin Islands : 18-49 years"
2022-23,MAY,80628,200231,Ohio,0.4027,6-23 months,"2022-23, Ohio: 6-23 months"
2023-24,AUG,28,70741,Guam,0.0004,18-49 years,"2023-24, Guam: 18-49 years"
2023-24,FEB,8013,53615.5,Mississippi,0.1495,6-23 months,"2023-24, Mississippi: 6-23 months"
2023-24,MAR,167458,1059160,Alabama,0.1581,6 months to 17 years,"2023-24, Alabama: 6 months to 17 years"
2023-24,MAR,275563,886812,South Dakota,0.3107,Overall,"2023-24, South Dakota: Overall"
2023-24,MAY,16743,72986,New Mexico,0.2294,2-4 years,"2023-24, New Mexico: 2-4 years"
2022-23,APR,86822,322101,Idaho,0.2695,50-64 years,"2022-23, Idaho: 50-64 years"
2022-23,OCT,53201,201301,Delaware,0.2643,50-64 years,"2022-23, Delaware: 50-64 years"
2023-24,JUN,470240,2056433,North Carolina,0.2287,50-64 years,"2023-24, North Carolina: 50-64 years"
2023-24,MAR,136626,507668,Maine,0.2691,18-49 years,"2023-24, Maine: 18-49 years"
2023-24,MAR,22423,109896,New Mexico,0.204,9-12 years,"2023-24, New Mexico: 9-12 years"
2023-24,NOV,2225,14422,Alaska,0.1543,6-23 months,"2023-24, Alaska: 6-23 months"
2023-24,SEP,21298,365488,New York State,0.0583,2-4 years,"2023-24, New York (excluding New York City): 2-4 years"
2023-24,SEP,3000,136345,Puerto Rico,0.022,9-12 years,"2023-24, Puerto Rico: 9-12 years"
2024-25,NOV,30821,163445,Iowa,0.1886,9-12 years,"2024-25, Iowa: 9-12 years"
2022-23,AUG,47,20301,N. Mariana Islands,0.0023,18-49 years,"2022-23, N. Mariana Islands: 18-49 years"
2022-23,FEB,127135,552427,Alaska,0.2301,18+ years,"2022-23, Alaska: 18+ years"
2022-23,MAR,12012,34429,Vermont,0.3489,13-17 years,"2022-23, Vermont: 13-17 years"
2023-24,DEC,35854,239102,Alabama,0.15,5-8 years,"2023-24, Alabama: 5-8 years"
2023-24,JUL,,,Houston,,6 months to 17 years,"2023-24, Houston: 6 months to 17 years"
2023-24,JUN,187600,678480,New York State,0.2765,13-17 years,"2023-24, New York (excluding New York City): 13-17 years"
2023-24,MAY,71214,347351,Indiana,0.205,5-8 years,"2023-24, Indiana: 5-8 years"
2023-24,NOV,689048,1247874,Washington,0.5522,65+ years,"2023-24, Washington: 65+ years"
2024-25,DEC,228158,672299,California,0.3394,6-23 months,"2024-25, California: 6-23 months"
2022-23,MAY,51611,176399.5,North Dakota,0.2926,6 months to 17 years,"2022-23, North Dakota: 6 months to 17 years"
2022-23,SEP,133859,2225691,Pennsylvania,0.0601,6 months to 17 years,"2022-23, Pennsylvania (excluding Philadelphia County): 6 months to 17 years"
2023-24,JAN,18082,30010.5,Philadelphia,0.6025,6-23 months,"2023-24, Philadelphia: 6-23 months"
2023-24,JAN,1346264,3539890,Connecticut,0.3803,Overall,"2023-24, Connecticut: Overall"
2024-25,JUL,9,451792,Indiana,0,13-17 years,"2024-25, Indiana: 13-17 years"
2024-25,OCT,,,Nebraska,,Overall,"2024-25, Nebraska: Overall"
2022-23,APR,4806,31095,Wyoming,0.1546,9-12 years,"2022-23, Wyoming: 9-12 years"
2022-23,JAN,,,Houston,,65+ years,"2022-23, Houston: 65+ years"
2022-23,NOV,326234,1218497,Colorado,0.2677,6 months to 17 years,"2022-23, Colorado: 6 months to 17 years"
2023-24,APR,956,13771,Guam,0.0694,13-17 years,"2023-24, Guam: 13-17 years"
2023-24,JUN,1967595,6027818,Washington,0.3264,18+ years,"2023-24, Washington: 18+ years"
2023-24,MAY,205524,697429,Puerto Rico,0.2947,65+ years,"2023-24, Puerto Rico: 65+ years"
2024-25,AUG,19924,4356123,Minnesota,0.0046,18+ years,"2024-25, Minnesota: 18+ years"
2024-25,JAN,2644,20301,N. Mariana Islands,0.1302,18-49 years,"2024-25, N. Mariana Islands: 18-49 years"
2022-23,FEB,140022,197594,Delaware,0.7086,65+ years,"2022-23, Delaware: 65+ years"
2022-23,JUL,50,365609,Colorado,0.0001,13-17 years,"2022-23, Colorado: 13-17 years"
2022-23,JUN,747,5706,Federated States of Micronesia,0.1309,2-4 years,"2022-23, Federated States of Micronesia: 2-4 years"
2023-24,APR,,,Kansas,,Overall,"2023-24, Kansas: Overall"
2023-24,DEC,45060,268337,Utah,0.1679,13-17 years,"2023-24, Utah: 13-17 years"
2023-24,JUN,,,New Hampshire,,Overall,"2023-24, New Hampshire: Overall"
2023-24,MAR,37666,52209,Connecticut,0.7214,6-23 months,"2023-24, Connecticut: 6-23 months"
2023-24,OCT,516694,4893409,Alabama,0.1056,Overall,"2023-24, Alabama: Overall"
2024-25,AUG,0,6338,U.S. Virgin Islands ,0,13-17 years,"2024-25, U.S. Virgin Islands : 13-17 years"
2024-25,NOV,18556,198053,Nevada,0.0937,13-17 years,"2024-25, Nevada: 13-17 years"
2024-25,SEP,16091,377798,Washington,0.0426,9-12 years,"2024-25, Washington: 9-12 years"
2022-23,DEC,35548,242051,Louisiana,0.1469,5-8 years,"2022-23, Louisiana: 5-8 years"
2022-23,FEB,1546434,6559310,New York City,0.2358,18+ years,"2022-23, New York City: 18+ years"
