"Respiratory Virus Laboratory Emergency Department Network Surveillance (RESP-LENS) (downloaded on "Feb-20-2025)
Influenza Division - Centers for Disease Control and Prevention.
Week,Season,Virus,Region,RegionDescription,Age,Number_Tested,Number_Positive,Percent_Pos
202420,2023-24,Influenza,,National,,4943,107,2.16
202420,2023-24,RSV,,National,,4110,24,0.58
202421,2023-24,SARS-CoV-2,,National,,4966,300,6.04
202421,2023-24,Influenza,,National,,4735,95,2.01
202421,2023-24,RSV,,National,,4027,24,0.6
202422,2023-24,SARS-CoV-2,,National,,4750,348,7.33
202422,2023-24,Influenza,,National,,4480,88,1.96
202422,2023-24,RSV,,National,,3796,17,0.45
202423,2023-24,SARS-CoV-2,,National,,4356,399,9.16
202423,2023-24,Influenza,,National,,4034,81,2.01
202423,2023-24,RSV,,National,,3464,7,0.2
202424,2023-24,SARS-CoV-2,,National,,4218,504,11.95
202424,2023-24,Influenza,,National,,3838,48,1.25
202424,2023-24,RSV,,National,,3305,8,0.24
202425,2023-24,SARS-CoV-2,,National,,3677,479,13.03
202425,2023-24,Influenza,,National,,3297,58,1.76
202425,2023-24,RSV,,National,,2716,5,0.18
202426,2023-24,SARS-CoV-2,,National,,3684,540,14.66
202426,2023-24,Influenza,,National,,3335,33,0.99
202426,2023-24,RSV,,National,,2731,9,0.33
202427,2023-24,SARS-CoV-2,,National,,4276,866,20.25
202427,2023-24,Influenza,,National,,3780,39,1.03
202427,2023-24,RSV,,National,,3196,8,0.25
202428,2023-24,SARS-CoV-2,,National,,4359,1030,23.63
202428,2023-24,Influenza,,National,,3819,38,1
202428,2023-24,RSV,,National,,3183,7,0.22
202429,2023-24,SARS-CoV-2,,National,,4537,1210,26.67
202429,2023-24,Influenza,,National,,3933,40,1.02
202429,2023-24,RSV,,National,,3319,7,0.21
202430,2023-24,SARS-CoV-2,,National,,4092,1139,27.83
202430,2023-24,Influenza,,National,,3517,27,0.77
202430,2023-24,RSV,,National,,2780,13,0.47
202431,2023-24,SARS-CoV-2,,National,,3683,1164,31.6
202431,2023-24,Influenza,,National,,2984,20,0.67
202431,2023-24,RSV,,National,,2344,10,0.43
202432,2023-24,SARS-CoV-2,,National,,3767,1066,28.3
202432,2023-24,Influenza,,National,,3021,17,0.56
202432,2023-24,RSV,,National,,2313,9,0.39
202433,2023-24,SARS-CoV-2,,National,,3791,1062,28.01
202433,2023-24,Influenza,,National,,3121,25,0.8
202433,2023-24,RSV,,National,,2417,17,0.7
202434,2023-24,SARS-CoV-2,,National,,3848,1043,27.1
202434,2023-24,Influenza,,National,,3174,16,0.5
202434,2023-24,RSV,,National,,2355,10,0.42
202435,2023-24,SARS-CoV-2,,National,,3949,933,23.63
202435,2023-24,Influenza,,National,,3299,22,0.67
202435,2023-24,RSV,,National,,2518,10,0.4
