Influenza_Season,Start_Date,End_Date,Reporting_TimeFrame,Week_Ending_Date,Week_Sort_Order,Current_Season_Week_Ending_Label,Cumulative_Flu_Doses_Distributed,Current_Through
2022-2023,01/08/2023 12:00:00 AM,01/14/2023 12:00:00 AM,2023-01-08 - 2023-01-14,01/14/2023 12:00:00 AM,25,01/11/2025 12:00:00 AM,171.52,02/01/2025 12:00:00 AM
2022-2023,01/15/2023 12:00:00 AM,01/21/2023 12:00:00 AM,2023-01-15 - 2023-01-21,01/21/2023 12:00:00 AM,26,01/18/2025 12:00:00 AM,171.8,02/01/2025 12:00:00 AM
2022-2023,01/22/2023 12:00:00 AM,01/28/2023 12:00:00 AM,2023-01-22 - 2023-01-28,01/28/2023 12:00:00 AM,27,01/25/2025 12:00:00 AM,171.97,02/01/2025 12:00:00 AM
2022-2023,01/29/2023 12:00:00 AM,02/04/2023 12:00:00 AM,2023-01-29 - 2023-02-04,02/04/2023 12:00:00 AM,28,02/01/2025 12:00:00 AM,172.76,02/01/2025 12:00:00 AM
2022-2023,02/05/2023 12:00:00 AM,02/11/2023 12:00:00 AM,2023-02-05 - 2023-02-11,02/11/2023 12:00:00 AM,29,02/08/2025 12:00:00 AM,173.02,02/01/2025 12:00:00 AM
2022-2023,02/12/2023 12:00:00 AM,02/18/2023 12:00:00 AM,2023-02-12 - 2023-02-18,02/18/2023 12:00:00 AM,30,02/15/2025 12:00:00 AM,173.16,02/01/2025 12:00:00 AM
2022-2023,02/19/2023 12:00:00 AM,02/25/2023 12:00:00 AM,2023-02-19 - 2023-02-25,02/25/2023 12:00:00 AM,31,02/22/2025 12:00:00 AM,173.26,02/01/2025 12:00:00 AM
2022-2023,02/26/2023 12:00:00 AM,03/04/2023 12:00:00 AM,2023-02-26 - 2023-03-04,03/04/2023 12:00:00 AM,32,03/01/2025 12:00:00 AM,173.37,02/01/2025 12:00:00 AM
2023-2024,07/23/2023 12:00:00 AM,07/29/2023 12:00:00 AM,2023-07-23 - 2023-07-29,07/29/2023 12:00:00 AM,1,07/27/2024 12:00:00 AM,4.65,02/01/2025 12:00:00 AM
2023-2024,07/30/2023 12:00:00 AM,08/05/2023 12:00:00 AM,2023-07-30 - 2023-08-05,08/05/2023 12:00:00 AM,2,08/03/2024 12:00:00 AM,12.17,02/01/2025 12:00:00 AM
2023-2024,08/06/2023 12:00:00 AM,08/12/2023 12:00:00 AM,2023-08-06 - 2023-08-12,08/12/2023 12:00:00 AM,3,08/10/2024 12:00:00 AM,19.21,02/01/2025 12:00:00 AM
2023-2024,08/13/2023 12:00:00 AM,08/19/2023 12:00:00 AM,2023-08-13 - 2023-08-19,08/19/2023 12:00:00 AM,4,08/17/2024 12:00:00 AM,30.38,02/01/2025 12:00:00 AM
2023-2024,08/20/2023 12:00:00 AM,08/26/2023 12:00:00 AM,2023-08-20 - 2023-08-26,08/26/2023 12:00:00 AM,5,08/24/2024 12:00:00 AM,42.93,02/01/2025 12:00:00 AM
2023-2024,08/27/2023 12:00:00 AM,09/02/2023 12:00:00 AM,2023-08-27 - 2023-09-02,09/02/2023 12:00:00 AM,6,08/31/2024 12:00:00 AM,54.54,02/01/2025 12:00:00 AM
2023-2024,09/03/2023 12:00:00 AM,09/09/2023 12:00:00 AM,2023-09-03 - 2023-09-09,09/09/2023 12:00:00 AM,7,09/07/2024 12:00:00 AM,68.65,02/01/2025 12:00:00 AM
2023-2024,09/10/2023 12:00:00 AM,09/16/2023 12:00:00 AM,2023-09-10 - 2023-09-16,09/16/2023 12:00:00 AM,8,09/14/2024 12:00:00 AM,83.59,02/01/2025 12:00:00 AM
2023-2024,09/17/2023 12:00:00 AM,09/23/2023 12:00:00 AM,2023-09-17 - 2023-09-23,09/23/2023 12:00:00 AM,9,09/21/2024 12:00:00 AM,100.51,02/01/2025 12:00:00 AM
2023-2024,09/24/2023 12:00:00 AM,09/30/2023 12:00:00 AM,2023-09-24 - 2023-09-30,09/30/2023 12:00:00 AM,10,09/28/2024 12:00:00 AM,116.29,02/01/2025 12:00:00 AM
2023-2024,10/01/2023 12:00:00 AM,10/07/2023 12:00:00 AM,2023-10-01 - 2023-10-07,10/07/2023 12:00:00 AM,11,10/05/2024 12:00:00 AM,128.35,02/01/2025 12:00:00 AM
2023-2024,10/08/2023 12:00:00 AM,10/14/2023 12:00:00 AM,2023-10-08 - 2023-10-14,10/14/2023 12:00:00 AM,12,10/12/2024 12:00:00 AM,136.94,02/01/2025 12:00:00 AM
2023-2024,10/15/2023 12:00:00 AM,10/21/2023 12:00:00 AM,2023-10-15 - 2023-10-21,10/21/2023 12:00:00 AM,13,10/19/2024 12:00:00 AM,142.16,02/01/2025 12:00:00 AM
2023-2024,10/22/2023 12:00:00 AM,10/28/2023 12:00:00 AM,2023-10-22 - 2023-10-28,10/28/2023 12:00:00 AM,14,10/26/2024 12:00:00 AM,145.42,02/01/2025 12:00:00 AM
2023-2024,10/29/2023 12:00:00 AM,11/04/2023 12:00:00 AM,2023-10-29 - 2023-11-04,11/04/2023 12:00:00 AM,15,11/02/2024 12:00:00 AM,147.47,02/01/2025 12:00:00 AM
2023-2024,11/05/2023 12:00:00 AM,11/11/2023 12:00:00 AM,2023-11-05 - 2023-11-11,11/11/2023 12:00:00 AM,16,11/09/2024 12:00:00 AM,148.95,02/01/2025 12:00:00 AM
2023-2024,11/12/2023 12:00:00 AM,11/18/2023 12:00:00 AM,2023-11-12 - 2023-11-18,11/18/2023 12:00:00 AM,17,11/16/2024 12:00:00 AM,150.63,02/01/2025 12:00:00 AM
2023-2024,11/19/2023 12:00:00 AM,11/25/2023 12:00:00 AM,2023-11-19 - 2023-11-25,11/25/2023 12:00:00 AM,18,11/23/2024 12:00:00 AM,151.3,02/01/2025 12:00:00 AM
2023-2024,11/26/2023 12:00:00 AM,12/02/2023 12:00:00 AM,2023-11-26 - 2023-12-02,12/02/2023 12:00:00 AM,19,11/30/2024 12:00:00 AM,152.42,02/01/2025 12:00:00 AM
2023-2024,12/03/2023 12:00:00 AM,12/09/2023 12:00:00 AM,2023-12-03 - 2023-12-09,12/09/2023 12:00:00 AM,20,12/07/2024 12:00:00 AM,153.62,02/01/2025 12:00:00 AM
2023-2024,12/10/2023 12:00:00 AM,12/16/2023 12:00:00 AM,2023-12-10 - 2023-12-16,12/16/2023 12:00:00 AM,21,12/14/2024 12:00:00 AM,154.38,02/01/2025 12:00:00 AM
2023-2024,12/17/2023 12:00:00 AM,12/23/2023 12:00:00 AM,2023-12-17 - 2023-12-23,12/23/2023 12:00:00 AM,22,12/21/2024 12:00:00 AM,155.2,02/01/2025 12:00:00 AM
2023-2024,12/24/2023 12:00:00 AM,12/31/2023 12:00:00 AM,2023-12-24 - 2023-12-31,12/31/2023 12:00:00 AM,23,12/31/2024 12:00:00 AM,155.36,02/01/2025 12:00:00 AM
2023-2024,01/01/2024 12:00:00 AM,01/06/2024 12:00:00 AM,2024-01-01 - 2024-01-06,01/06/2024 12:00:00 AM,24,01/04/2025 12:00:00 AM,156.26,01/13/2024 12:00:00 AM
2023-2024,01/01/2024 12:00:00 AM,01/13/2024 12:00:00 AM,2024-01-01 - 2024-01-13,01/13/2024 12:00:00 AM,25,01/11/2025 12:00:00 AM,156.26,02/01/2025 12:00:00 AM
2023-2024,01/14/2024 12:00:00 AM,01/20/2024 12:00:00 AM,2024-01-14 - 2024-01-20,01/20/2024 12:00:00 AM,25,01/18/2025 12:00:00 AM,156.42,02/01/2025 12:00:00 AM
2023-2024,01/21/2024 12:00:00 AM,01/27/2024 12:00:00 AM,2024-01-21 - 2024-01-27,01/27/2024 12:00:00 AM,26,01/25/2025 12:00:00 AM,156.76,02/01/2025 12:00:00 AM
2023-2024,01/28/2024 12:00:00 AM,02/03/2024 12:00:00 AM,2024-01-28 - 2024-02-03,02/03/2024 12:00:00 AM,27,02/01/2025 12:00:00 AM,156.96,02/01/2025 12:00:00 AM
2023-2024,02/04/2024 12:00:00 AM,02/10/2024 12:00:00 AM,2024-02-04 - 2024-02-10,02/10/2024 12:00:00 AM,28,02/08/2025 12:00:00 AM,157.19,02/01/2025 12:00:00 AM
2023-2024,02/11/2024 12:00:00 AM,02/17/2024 12:00:00 AM,2024-02-11 - 2024-02-17,02/17/2024 12:00:00 AM,29,02/15/2025 12:00:00 AM,157.35,02/01/2025 12:00:00 AM
2023-2024,02/18/2024 12:00:00 AM,02/24/2024 12:00:00 AM,2024-02-18 - 2024-02-24,02/24/2024 12:00:00 AM,30,02/22/2025 12:00:00 AM,157.52,02/01/2025 12:00:00 AM
2023-2024,02/25/2024 12:00:00 AM,03/02/2024 12:00:00 AM,2024-02-25 - 2024-03-02,03/02/2024 12:00:00 AM,31,03/01/2025 12:00:00 AM,157.62,02/01/2025 12:00:00 AM
2023-2024,03/03/2024 12:00:00 AM,03/09/2024 12:00:00 AM,2024-03-03 - 2024-03-09,03/09/2024 12:00:00 AM,32,03/08/2025 12:00:00 AM,157.72,02/01/2025 12:00:00 AM
2024-2025,07/21/2024 12:00:00 AM,07/27/2024 12:00:00 AM,2024-07-21 - 2024-07-27,07/27/2024 12:00:00 AM,1,07/27/2024 12:00:00 AM,5.58,02/01/2025 12:00:00 AM
2024-2025,07/28/2024 12:00:00 AM,08/03/2024 12:00:00 AM,2024-07-28 - 2024-08-03,08/03/2024 12:00:00 AM,2,08/03/2024 12:00:00 AM,10.09,02/01/2025 12:00:00 AM
2024-2025,08/04/2024 12:00:00 AM,08/10/2024 12:00:00 AM,2024-08-04 - 2024-08-10,08/10/2024 12:00:00 AM,3,08/10/2024 12:00:00 AM,16.47,02/01/2025 12:00:00 AM
2024-2025,08/11/2024 12:00:00 AM,08/17/2024 12:00:00 AM,2024-08-11 - 2024-08-17,08/17/2024 12:00:00 AM,4,08/17/2024 12:00:00 AM,26.33,02/01/2025 12:00:00 AM
2024-2025,08/18/2024 12:00:00 AM,08/24/2024 12:00:00 AM,2024-08-18 - 2024-08-24,08/24/2024 12:00:00 AM,5,08/24/2024 12:00:00 AM,39.71,02/01/2025 12:00:00 AM
2024-2025,08/25/2024 12:00:00 AM,08/31/2024 12:00:00 AM,2024-08-25 - 2024-08-31,08/31/2024 12:00:00 AM,6,08/31/2024 12:00:00 AM,54.27,02/01/2025 12:00:00 AM
2024-2025,09/01/2024 12:00:00 AM,09/07/2024 12:00:00 AM,2024-09-01 - 2024-09-07,09/07/2024 12:00:00 AM,7,09/07/2024 12:00:00 AM,65.89,02/01/2025 12:00:00 AM
2024-2025,09/08/2024 12:00:00 AM,09/14/2024 12:00:00 AM,2024-09-08 - 2024-09-14,09/14/2024 12:00:00 AM,8,09/14/2024 12:00:00 AM,78.12,02/01/2025 12:00:00 AM
2024-2025,09/15/2024 12:00:00 AM,09/21/2024 12:00:00 AM,2024-09-15 - 2024-09-21,09/21/2024 12:00:00 AM,9,09/21/2024 12:00:00 AM,92.35,02/01/2025 12:00:00 AM
2024-2025,09/22/2024 12:00:00 AM,09/28/2024 12:00:00 AM,2024-09-22 - 2024-09-28,09/28/2024 12:00:00 AM,10,09/28/2024 12:00:00 AM,108.04,02/01/2025 12:00:00 AM
2024-2025,09/29/2024 12:00:00 AM,10/05/2024 12:00:00 AM,2024-09-29 - 2024-10-05,10/05/2024 12:00:00 AM,11,10/05/2024 12:00:00 AM,116.01,02/01/2025 12:00:00 AM
2024-2025,10/06/2024 12:00:00 AM,10/12/2024 12:00:00 AM,2024-10-06 - 2024-10-12,10/12/2024 12:00:00 AM,12,10/12/2024 12:00:00 AM,122.93,02/01/2025 12:00:00 AM
2024-2025,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM,2024-10-13 - 2024-10-19,10/19/2024 12:00:00 AM,13,10/19/2024 12:00:00 AM,127.31,02/01/2025 12:00:00 AM
2024-2025,10/20/2024 12:00:00 AM,10/26/2024 12:00:00 AM,2024-10-20 - 2024-10-26,10/26/2024 12:00:00 AM,14,10/26/2024 12:00:00 AM,131.4,02/01/2025 12:00:00 AM
2024-2025,10/27/2024 12:00:00 AM,11/02/2024 12:00:00 AM,2024-10-27 - 2024-11-02,11/02/2024 12:00:00 AM,15,11/02/2024 12:00:00 AM,134.19,02/01/2025 12:00:00 AM
2024-2025,11/03/2024 12:00:00 AM,11/09/2024 12:00:00 AM,2024-11-03 - 2024-11-09,11/09/2024 12:00:00 AM,16,11/09/2024 12:00:00 AM,136.16,02/01/2025 12:00:00 AM
2024-2025,11/10/2024 12:00:00 AM,11/16/2024 12:00:00 AM,2024-11-10 - 2024-11-16,11/16/2024 12:00:00 AM,17,11/16/2024 12:00:00 AM,138.21,02/01/2025 12:00:00 AM
2024-2025,11/17/2024 12:00:00 AM,11/23/2024 12:00:00 AM,2024-11-17 - 2024-11-23,11/23/2024 12:00:00 AM,18,11/23/2024 12:00:00 AM,139.24,02/01/2025 12:00:00 AM
2024-2025,11/24/2024 12:00:00 AM,11/30/2024 12:00:00 AM,2024-11-24 - 2024-11-30,11/30/2024 12:00:00 AM,19,11/30/2024 12:00:00 AM,139.65,02/01/2025 12:00:00 AM
2024-2025,12/01/2024 12:00:00 AM,12/07/2024 12:00:00 AM,2024-12-01 - 2024-12-07,12/07/2024 12:00:00 AM,20,12/07/2024 12:00:00 AM,142.89,02/01/2025 12:00:00 AM
2024-2025,12/08/2024 12:00:00 AM,12/14/2024 12:00:00 AM,2024-12-08 - 2024-12-14,12/14/2024 12:00:00 AM,21,12/14/2024 12:00:00 AM,143.78,02/01/2025 12:00:00 AM
2024-2025,12/15/2024 12:00:00 AM,12/21/2024 12:00:00 AM,2024-12-15 - 2024-12-21,12/21/2024 12:00:00 AM,22,12/21/2024 12:00:00 AM,144.58,02/01/2025 12:00:00 AM
2024-2025,12/22/2024 12:00:00 AM,12/31/2024 12:00:00 AM,2024-12-22 - 2024-12-31,12/31/2024 12:00:00 AM,23,12/31/2024 12:00:00 AM,144.88,02/01/2025 12:00:00 AM
2024-2025,01/01/2025 12:00:00 AM,01/04/2025 12:00:00 AM,2025-01-01 - 2025-01-04,01/04/2025 12:00:00 AM,24,01/04/2025 12:00:00 AM,145.54,01/11/2025 12:00:00 AM
2024-2025,01/01/2025 12:00:00 AM,01/11/2025 12:00:00 AM,2025-01-01 - 2025-01-11,01/11/2025 12:00:00 AM,25,01/11/2025 12:00:00 AM,145.54,02/01/2025 12:00:00 AM
2024-2025,01/12/2025 12:00:00 AM,01/18/2025 12:00:00 AM,2025-01-12 - 2025-01-18,01/18/2025 12:00:00 AM,25,01/18/2025 12:00:00 AM,145.92,02/01/2025 12:00:00 AM
2024-2025,01/19/2025 12:00:00 AM,01/25/2025 12:00:00 AM,2025-01-19 - 2025-01-25,01/25/2025 12:00:00 AM,26,01/25/2025 12:00:00 AM,146.22,02/01/2025 12:00:00 AM
2024-2025,01/26/2025 12:00:00 AM,02/01/2025 12:00:00 AM,2025-01-26 - 2025-02-01,02/01/2025 12:00:00 AM,27,02/01/2025 12:00:00 AM,146.47,02/01/2025 12:00:00 AM
