Week Ending,Influenza_Season,Estimate,MMWR_Year,MMWR_Week,As of date,Race and ethnicity,Current_Season_Week_Ending_Label
09/09/2023 12:00:00 AM,2023-2024,3.03,2023,36,,Hispanic,2024-09-07
09/07/2024 12:00:00 AM,2024-2025,2.7,2024,36,,Hispanic,2024-09-07
08/31/2024 12:00:00 AM,2024-2025,1.54,2024,35,,Hispanic,2024-08-31
09/21/2024 12:00:00 AM,2024-2025,6.72,2024,38,,Hispanic,2024-09-21
09/28/2024 12:00:00 AM,2024-2025,9.11,2024,39,,Hispanic,2024-09-28
09/14/2024 12:00:00 AM,2024-2025,4.53,2024,37,,Hispanic,2024-09-14
08/03/2024 12:00:00 AM,2024-2025,0.0439,2024,31,,Overall,2024-08-03
08/10/2024 12:00:00 AM,2024-2025,0.185,2024,32,,Overall,2024-08-10
08/31/2024 12:00:00 AM,2024-2025,1.82,2024,35,,Overall,2024-08-31
08/17/2024 12:00:00 AM,2024-2025,0.445,2024,33,,Overall,2024-08-17
08/24/2024 12:00:00 AM,2024-2025,0.868,2024,34,,Overall,2024-08-24
08/03/2024 12:00:00 AM,2024-2025,0.0432,2024,31,,Hispanic,2024-08-03
09/14/2024 12:00:00 AM,2024-2025,6.73,2024,37,,Overall,2024-09-14
08/10/2024 12:00:00 AM,2024-2025,0.183,2024,32,,Hispanic,2024-08-10
09/07/2024 12:00:00 AM,2024-2025,3.68,2024,36,,Overall,2024-09-07
11/02/2024 12:00:00 AM,2024-2025,35.97,2024,44,,Overall,2024-11-02
11/16/2024 12:00:00 AM,2024-2025,40.31,2024,46,,Overall,2024-11-16
11/09/2024 12:00:00 AM,2024-2025,38.32,2024,45,,Overall,2024-11-09
11/23/2024 12:00:00 AM,2024-2025,41.93,2024,47,,Overall,2024-11-23
11/30/2024 12:00:00 AM,2024-2025,42.63,2024,48,,Overall,2024-11-30
11/02/2024 12:00:00 AM,2024-2025,20.54,2024,44,,Hispanic,2024-11-02
11/09/2024 12:00:00 AM,2024-2025,21.92,2024,45,,Hispanic,2024-11-09
11/16/2024 12:00:00 AM,2024-2025,23.14,2024,46,,Hispanic,2024-11-16
11/23/2024 12:00:00 AM,2024-2025,24.24,2024,47,,Hispanic,2024-11-23
11/30/2024 12:00:00 AM,2024-2025,24.8,2024,48,,Hispanic,2024-11-30
11/18/2023 12:00:00 AM,2023-2024,24.91,2023,46,,Hispanic,2024-11-16
11/25/2023 12:00:00 AM,2023-2024,25.64,2023,47,,Hispanic,2024-11-23
11/11/2023 12:00:00 AM,2023-2024,23.56,2023,45,,Hispanic,2024-11-09
12/16/2023 12:00:00 AM,2023-2024,48.05,2023,50,,Overall,2024-12-14
12/02/2023 12:00:00 AM,2023-2024,46.04,2023,48,,Overall,2024-11-30
12/09/2023 12:00:00 AM,2023-2024,47.15,2023,49,,Overall,2024-12-07
12/30/2023 12:00:00 AM,2023-2024,49.02,2023,52,,Overall,2024-12-28
12/23/2023 12:00:00 AM,2023-2024,48.69,2023,51,,Overall,2024-12-21
12/02/2023 12:00:00 AM,2023-2024,26.71,2023,48,,Hispanic,2024-11-30
12/09/2023 12:00:00 AM,2023-2024,27.59,2023,49,,Hispanic,2024-12-07
12/16/2023 12:00:00 AM,2023-2024,28.32,2023,50,,Hispanic,2024-12-14
12/23/2023 12:00:00 AM,2023-2024,28.87,2023,51,,Hispanic,2024-12-21
12/30/2023 12:00:00 AM,2023-2024,29.16,2023,52,,Hispanic,2024-12-28
01/13/2024 12:00:00 AM,2023-2024,49.81,2024,2,,Overall,2025-01-11
01/20/2024 12:00:00 AM,2023-2024,50.05,2024,3,,Overall,2025-01-18
01/06/2024 12:00:00 AM,2023-2024,49.42,2024,1,,Overall,2025-01-04
01/27/2024 12:00:00 AM,2023-2024,50.28,2024,4,,Overall,2025-01-25
01/06/2024 12:00:00 AM,2023-2024,29.48,2024,1,,Hispanic,2025-01-04
01/13/2024 12:00:00 AM,2023-2024,29.84,2024,2,,Hispanic,2025-01-11
01/20/2024 12:00:00 AM,2023-2024,30.09,2024,3,,Hispanic,2025-01-18
01/27/2024 12:00:00 AM,2023-2024,30.35,2024,4,,Hispanic,2025-01-25
02/03/2024 12:00:00 AM,2023-2024,50.46,2024,5,,Overall,2025-02-01
02/10/2024 12:00:00 AM,2023-2024,50.61,2024,6,,Overall,2025-02-08
02/17/2024 12:00:00 AM,2023-2024,50.71,2024,7,,Overall,2025-02-15
03/23/2024 12:00:00 AM,2023-2024,31.36,2024,12,,Hispanic,2025-03-22
03/09/2024 12:00:00 AM,2023-2024,31.23,2024,10,,Hispanic,2025-03-08
03/16/2024 12:00:00 AM,2023-2024,31.3,2024,11,,Hispanic,2025-03-15
03/30/2024 12:00:00 AM,2023-2024,31.42,2024,13,,Hispanic,2025-03-29
03/02/2024 12:00:00 AM,2023-2024,50.87,2024,9,,Overall,2025-03-01
03/09/2024 12:00:00 AM,2023-2024,50.92,2024,10,,Overall,2025-03-08
10/05/2024 12:00:00 AM,2024-2025,11.84,2024,40,,Hispanic,2024-10-05
10/12/2024 12:00:00 AM,2024-2025,14.39,2024,41,,Hispanic,2024-10-12
10/19/2024 12:00:00 AM,2024-2025,16.81,2024,42,,Hispanic,2024-10-19
10/26/2024 12:00:00 AM,2024-2025,18.84,2024,43,,Hispanic,2024-10-26
04/13/2024 12:00:00 AM,2023-2024,51.05,2024,15,,Overall,2025-04-12
04/06/2024 12:00:00 AM,2023-2024,51.04,2024,14,,Overall,2025-04-05
04/27/2024 12:00:00 AM,2023-2024,51.07,2024,17,,Overall,2025-04-26
04/20/2024 12:00:00 AM,2023-2024,51.06,2024,16,,Overall,2025-04-19
04/06/2024 12:00:00 AM,2023-2024,31.45,2024,14,,Hispanic,2025-04-05
05/04/2024 12:00:00 AM,2023-2024,51.08,2024,18,,Overall,2025-05-03
05/18/2024 12:00:00 AM,2023-2024,51.09,2024,20,,Overall,2025-05-17
05/11/2024 12:00:00 AM,2023-2024,51.09,2024,19,,Overall,2025-05-10
04/20/2024 12:00:00 AM,2023-2024,31.49,2024,16,,Hispanic,2025-04-19
04/13/2024 12:00:00 AM,2023-2024,31.47,2024,15,,Hispanic,2025-04-12
05/25/2024 12:00:00 AM,2023-2024,51.1,2024,21,,Overall,2025-05-24
05/04/2024 12:00:00 AM,2023-2024,31.52,2024,18,,Hispanic,2025-05-03
05/11/2024 12:00:00 AM,2023-2024,31.53,2024,19,,Hispanic,2025-05-10
04/27/2024 12:00:00 AM,2023-2024,31.51,2024,17,,Hispanic,2025-04-26
05/25/2024 12:00:00 AM,2023-2024,31.55,2024,21,,Hispanic,2025-05-24
05/18/2024 12:00:00 AM,2023-2024,31.54,2024,20,,Hispanic,2025-05-17
10/07/2023 12:00:00 AM,2023-2024,21.0,2023,40,,Overall,2024-10-05
10/14/2023 12:00:00 AM,2023-2024,26.64,2023,41,,Overall,2024-10-12
10/21/2023 12:00:00 AM,2023-2024,31.71,2023,42,,Overall,2024-10-19
